#logical cores: 8
Parallel load (N=500000, theta=0.01):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_node_map;boost::concurrent_node_map bulk
1;15.4158;21.2917;27.4142;39.2507;26.2853;37.3253
2;29.0647;37.7906;49.6012;69.761;48.2908;67.208
3;42.2961;51.8804;68.7464;95.3767;67.667;92.9434
4;55.4527;67.568;88.2224;120.753;86.7558;117.689
5;52.6729;64.276;71.7557;101.205;74.1896;102.409
6;55.3843;60.4914;69.3273;101.895;70.8559;96.2713
7;55.7264;59.9486;79.4034;103.194;64.9155;97.2699
8;55.4383;61.1797;67.453;93.8309;70.4;107.462
9;57.9139;63.7199;69.0788;95.0899;66.8782;99.1033
10;57.319;65.3263;68.8767;99.0633;72.4513;106.029
11;56.8851;65.8173;75.6765;106.026;76.0993;106.886
12;58.0309;64.9724;79.7236;111.923;77.8477;109.203
13;56.83;66.1385;70.3816;91.4689;70.955;104.361
14;56.8987;64.9394;79.2551;101.981;73.14;98.4366
15;57.8643;66.2547;72.7577;103.494;70.918;96.2632
16;57.8818;66.5027;74.904;100.074;73.0497;96.841
Parallel load (N=500000, theta=0.5):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_node_map;boost::concurrent_node_map bulk
1;16.0643;20.944;26.7074;38.7934;26.2127;37.5701
2;30.5817;37.2746;48.6679;69.207;47.5345;67.0348
3;43.5931;51.7179;68.0909;94.2108;66.3314;91.8938
4;57.0807;67.2283;84.3539;120.758;84.8312;115.778
5;54.7255;63.5261;70.7158;101.647;71.4887;107.361
6;56.5575;60.9584;64.8076;99.7779;65.3821;95.6269
7;57.5703;59.6976;65.5564;95.0252;75.3775;105.46
8;58.6613;58.685;73.0156;106.49;70.131;98.9455
9;58.8754;63.5948;67.851;101.902;70.9214;106.694
10;57.0509;65.6606;77.1976;108.314;71.8402;107.103
11;57.1356;65.6838;69.7458;85.0122;60.428;89.5567
