Running erasure:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;0.0648848;0.266535;0.280924;0.0641614;0.237712
10500;0.0644763;0.264827;0.282628;0.063522;0.23817
11025;0.0642172;0.262024;0.283528;0.0641067;0.234932
11576;0.0639206;0.25706;0.285274;0.0632347;0.234408
12154;0.0642231;0.253196;0.285864;0.0629792;0.233738
12760;0.0645204;0.25168;0.275686;0.0643544;0.231668
13396;0.0650149;0.24483;0.277732;0.0614518;0.231805
14063;0.0655489;0.242492;0.276977;0.105272;0.257658
14763;0.0918867;0.28805;0.281542;0.113226;0.256061
15498;0.095357;0.285567;0.282525;0.109673;0.254273
16269;0.0952498;0.285628;0.285017;0.110822;0.252277
17078;0.0936793;0.283255;0.286187;0.107084;0.25077
17927;0.0950565;0.28182;0.288428;0.105924;0.248552
18818;0.0939914;0.281775;0.289543;0.105604;0.246708
19753;0.0914953;0.27801;0.29103;0.105829;0.245886
20734;0.090473;0.276029;0.291137;0.10258;0.244143
21764;0.0894112;0.272456;0.292608;0.101991;0.243415
22845;0.0887927;0.270525;0.293934;0.0999898;0.241477
23980;0.0860495;0.266515;0.2944;0.100434;0.24101
25171;0.085694;0.260239;0.283503;0.0950996;0.238936
26421;0.0828112;0.25503;0.284494;0.0922505;0.237361
27733;0.0817581;0.248198;0.285131;0.124598;0.266209
29110;0.136272;0.297601;0.286827;0.124478;0.264233
30555;0.133905;0.296557;0.286923;0.123194;0.262229
32072;0.13257;0.295314;0.288097;0.122483;0.260352
33664;0.129848;0.292677;0.289222;0.120804;0.258295
35335;0.126664;0.291013;0.290737;0.119253;0.25658
37089;0.123628;0.287428;0.293653;0.117889;0.254487
38930;0.12085;0.285367;0.294272;0.117885;0.25228
40863;0.117031;0.281924;0.295672;0.114116;0.250666
42892;0.113371;0.278876;0.296903;0.11359;0.248511
45022;0.109537;0.275761;0.29683;0.110672;0.246667
47258;0.10541;0.270638;0.299042;0.108133;0.244875
49605;0.100906;0.267411;0.286288;0.105288;0.242222
52069;0.0965527;0.262185;0.286998;0.103595;0.240414
54656;0.0927381;0.255243;0.288511;0.134868;0.270274
57372;0.156784;0.302422;0.288181;0.132577;0.267608
60223;0.154223;0.300684;0.2892;0.130272;0.265593
63216;0.149903;0.298849;0.291642;0.128093;0.26325
66358;0.145838;0.296832;0.291781;0.126272;0.261163
69657;0.141832;0.294206;0.294206;0.124524;0.258936
73120;0.137905;0.292197;0.295186;0.122813;0.256953
76756;0.133499;0.289597;0.29631;0.120548;0.254702
80573;0.128716;0.286116;0.297534;0.118743;0.252549
84580;0.124266;0.282567;0.298712;0.11641;0.250192
88787;0.119315;0.279239;0.298844;0.114378;0.248539
93204;0.114339;0.274239;0.299414;0.112677;0.246001
97841;0.109109;0.269467;0.300662;0.1095;0.243827
102709;0.104357;0.263061;0.288814;0.107427;0.241826
