Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;0.0193451;0.0177992;0.0358831;0.0196785;0.0198629
10500;0.0196329;0.0178937;0.0384021;0.0198722;0.0199992
11025;0.0198104;0.017848;0.0443422;0.0199082;0.0202412
11576;0.01971;0.0181224;0.0480356;0.0200201;0.0201874
12154;0.0198764;0.0182574;0.0516876;0.0199779;0.0203932
12760;0.0201194;0.0188099;0.0352256;0.0202151;0.0202555
13396;0.0205008;0.0186936;0.0359883;0.0207283;0.0206143
14063;0.0210871;0.0196654;0.0378443;0.0194433;0.0200478
14763;0.0194456;0.0183439;0.0391274;0.0197822;0.0204402
15498;0.0194811;0.0182269;0.0398329;0.0198574;0.0204951
16269;0.0196909;0.0187886;0.0435009;0.020062;0.020668
17078;0.0199078;0.0184459;0.0462096;0.0203128;0.0208843
17927;0.0202413;0.0188489;0.0511146;0.0204352;0.0211644
18818;0.0201682;0.0190652;0.0530944;0.0208395;0.0213911
19753;0.0203134;0.0190294;0.0573923;0.0209714;0.0217188
20734;0.0204962;0.0191392;0.0597901;0.0211308;0.021755
21764;0.0207619;0.0197004;0.0633988;0.021249;0.0219134
22845;0.0208804;0.0196695;0.0670891;0.0213842;0.0224112
23980;0.021226;0.0200872;0.0697796;0.0214762;0.0223983
25171;0.0218184;0.0207423;0.0454302;0.0217378;0.0232416
26421;0.0226995;0.0220409;0.0465452;0.0232687;0.0254537
27733;0.025987;0.0254511;0.0485867;0.0209119;0.0215038
29110;0.020528;0.0196052;0.0537105;0.0210916;0.0217536
30555;0.0205743;0.0196953;0.0554747;0.0212984;0.0218937
32072;0.0208844;0.0199826;0.0586022;0.0215735;0.022208
33664;0.0209457;0.0200759;0.0615476;0.0217617;0.0224692
35335;0.0212056;0.0202741;0.0632172;0.0220612;0.0227904
37089;0.0214781;0.0205463;0.0665996;0.022373;0.0231414
38930;0.0216829;0.0207986;0.0694032;0.0226221;0.0233404
40863;0.0220546;0.0210636;0.0707984;0.0229182;0.0237183
42892;0.0226288;0.0217319;0.074215;0.0233218;0.0241474
45022;0.0229936;0.0223605;0.0774579;0.0236933;0.0246455
47258;0.0238266;0.0231811;0.0796422;0.0243152;0.0255229
49605;0.0252466;0.024858;0.0507421;0.0258339;0.0272109
52069;0.0284304;0.0275938;0.0535576;0.0288238;0.0316375
54656;0.0336759;0.032474;0.0551766;0.0221854;0.0224432
57372;0.0216141;0.0207659;0.057535;0.0224156;0.0226654
60223;0.0217485;0.0208835;0.0594657;0.0226048;0.022922
63216;0.0219717;0.021192;0.0616313;0.0228978;0.0232954
66358;0.022179;0.0214188;0.0639875;0.0231617;0.023513
69657;0.0224431;0.0215226;0.0667191;0.0236457;0.0238007
73120;0.0227811;0.022045;0.0695881;0.0237991;0.0241517
76756;0.0231468;0.0221895;0.0726884;0.0241223;0.0245999
80573;0.0234802;0.0225763;0.0747228;0.0245288;0.0249353
84580;0.024019;0.0232869;0.0771272;0.0250389;0.0255739
88787;0.0247304;0.0239958;0.0792058;0.0257556;0.0265022
93204;0.0260315;0.0254323;0.0817992;0.0271298;0.0280508
97841;0.0279766;0.0275184;0.0840957;0.0289143;0.0304797
102709;0.0308049;0.0301572;0.0568453;0.0327209;0.0341107
107820;0.0353094;0.0344571;0.0590944;0.0230689;0.0231378
113186;0.0406679;0.0401616;0.0611706;0.0231439;0.0233767
118820;0.0230678;0.0218381;0.0631419;0.0234171;0.023632
124735;0.0233056;0.0220194;0.0655084;0.0236754;0.0239197
130945;0.0234566;0.0224072;0.0685662;0.0239987;0.0243306
137465;0.0242464;0.0225168;0.0710747;0.0242951;0.024602
144311;0.024035;0.0229786;0.073796;0.024737;0.0251444
151499;0.0244699;0.0232909;0.0758523;0.0251193;0.0256202
159046;0.0249319;0.0238214;0.0787543;0.0256653;0.0262254
166970;0.0255962;0.024586;0.0816889;0.0263301;0.0270293
175290;0.0265141;0.0255568;0.0844113;0.0272913;0.0281416
184026;0.028281;0.0272023;0.0869766;0.0289744;0.0298811
193198;0.0301475;0.0293537;0.0896789;0.0315642;0.0323718
202828;0.0330302;0.0322856;0.0642325;0.0347167;0.0359482
212939;0.0367618;0.0360961;0.0666967;0.0404911;0.0417547
223555;0.0422075;0.0414117;0.0699374;0.025355;0.0244254
234701;0.0289218;0.0242649;0.0724631;0.0249304;0.0247813
246404;0.028991;0.0244915;0.0766236;0.0259045;0.0254305
258692;0.0292753;0.0248606;0.0805101;0.02612;0.0257565
271594;0.0294685;0.0253697;0.0837268;0.0263696;0.0259221
285141;0.0296;0.0255599;0.0878371;0.0266921;0.0267963
299365;0.0300037;0.0259983;0.0906321;0.0272897;0.0271198
314300;0.0305679;0.0266911;0.0948623;0.0274243;0.0277912
329981;0.0309737;0.0279279;0.100034;0.0285559;0.0286921
346446;0.0318117;0.0289111;0.103437;0.0291088;0.030376
363734;0.0330835;0.030381;0.108381;0.031078;0.0321307
381886;0.0349342;0.0329194;0.11286;0.033068;0.0349058
400945;0.0375096;0.0354785;0.0971322;0.0364343;0.0380852
420956;0.0409537;0.0395071;0.101033;0.0411943;0.0431766
441967;0.0455619;0.045332;0.106445;0.0357222;0.0316956
464028;0.0551143;0.0354235;0.111537;0.0364022;0.0321814
487192;0.0552725;0.0357981;0.115787;0.0372234;0.0326095
511514;0.0556222;0.0361116;0.120488;0.0379656;0.0329763
