Running erasure:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;35.2946;155.646;138.383;17.3362;136.038
10500;34.699;177.871;171.873;16.9524;138.016
11025;34.218;213.724;166.721;16.7545;157.069
11576;33.6399;159.952;177.928;16.5191;137.952
12154;33.1025;160.385;182.968;16.1593;138.646
12760;32.5565;185.005;146.527;15.8181;159.875
13396;31.8595;161.734;177.077;15.6097;165.133
14063;31.0769;193.003;179.437;22.2174;147.876
14763;38.3083;168.749;198.058;21.736;150.024
15498;37.9953;169.717;152.829;21.4395;151.952
16269;37.5404;171.143;154.299;20.9727;247.89
17078;37.0705;171.863;158.268;20.583;192.843
17927;36.5715;173.044;201.116;20.1525;157.13
18818;36.0196;175.092;206.313;19.7083;160.078
19753;35.4651;177.396;169.27;19.3312;162.761
20734;34.9477;179.622;235.384;18.9518;165.919
21764;34.4296;220.923;224.16;18.6393;216.333
22845;33.8826;185.584;225.255;18.1807;210.542
23980;33.4146;214.652;243.085;17.9216;216.741
25171;32.8425;192.818;190.99;17.4402;203.701
26421;32.1995;222.813;194.999;17.0954;182.644
27733;31.4511;237.705;198.805;22.6372;199.625
29110;38.3908;199.667;202.555;22.124;203.733
30555;38.0432;201.861;207.864;21.6475;207.235
32072;37.6101;203.707;256.076;21.2526;209.706
33664;37.1334;206.367;217.547;20.7181;214.551
35335;36.6563;208.44;236.1;20.2856;218.42
37089;36.1437;211.699;306.91;19.9537;222.512
38930;35.5991;215.206;309.804;19.5576;227.618
40863;35.0418;218.713;236.954;19.2609;230.983
42892;34.5479;223.65;365.224;18.8368;236.335
45022;34.0361;313.489;246.475;18.4493;271.937
47258;33.5056;233.744;358.042;18.0653;321.598
49605;32.9526;273.482;250.794;17.6914;248.805
52069;32.3447;270.855;254.197;17.3146;295.518
54656;31.6412;290.711;259.208;22.7514;276.75
57372;38.172;232.877;263.484;22.2473;278.88
60223;37.8857;234.384;266.712;21.8127;281.702
63216;37.5132;236.899;301.63;21.3471;285.156
66358;37.0676;239.061;274.548;20.9095;285.607
69657;36.605;241.836;374.115;20.4734;286.197
73120;36.084;245.204;358.385;20.1136;286.442
76756;35.5503;250.049;358.927;19.6862;287.887
80573;35.015;253.092;307.03;19.2945;287.376
84580;34.508;255.862;356.708;18.9163;286.995
88787;33.9484;281.554;364.174;18.4812;287.043
93204;33.4424;266.998;371.266;18.1135;286.005
97841;32.8984;271.415;320.309;17.7263;286.264
102709;32.3356;277.432;376.345;17.3526;289.316
107820;31.6606;302.681;298.206;23.3691;304.959
113186;30.9628;287.64;364.394;22.7859;324.397
118820;38.0783;253.522;447.263;22.2358;301.063
124735;37.7381;293.559;303.522;21.6562;299.475
130945;37.3041;252.069;371.214;21.1364;300.282
137465;36.7947;245.804;327.612;20.7403;298.067
144311;36.2811;255.672;325.011;20.3079;374.144
151499;35.7289;257.669;395.532;19.8831;293.441
159046;35.1985;261.04;313.537;19.4723;292.712
166970;34.6965;262.734;450.845;19.0286;291.94
175290;34.1701;340.007;353.807;18.6423;294.055
184026;33.6572;270.927;407.284;18.2747;304.652
193198;33.115;276.783;414.284;17.9038;359.624
202828;32.5465;346.303;318.024;17.4868;285.14
212939;31.9274;283.954;318.529;17.0425;282.197
223555;31.1947;298.919;393.942;23.3899;302.589
234701;38.1949;252.776;375.909;22.7051;303.977
246404;37.8546;252.825;340.808;22.0995;301.699
258692;37.427;254.17;396.268;21.5273;299.207
271594;36.9332;255.234;371.757;21.0292;299.776
285141;36.4355;256.563;367.71;20.4579;295.874
299365;35.9067;258.897;419.737;19.9746;295.065
314300;35.3626;289.41;466.537;19.502;293.341
329981;34.8266;280.49;462.395;19.1175;342.057
346446;34.3152;308.524;345.912;18.6733;292.446
363734;33.791;270.11;332.703;18.3591;291.424
381886;33.2465;344.813;386.151;17.9782;287.752
400945;32.6732;295.04;327.105;17.6047;332.256
420956;32.0519;361.487;345.103;17.1305;282.819
441967;31.3986;289.635;422.406;22.7715;307.263
464028;38.3619;322.929;330.149;22.2167;303.767
487192;38.0049;253.321;391.904;21.7692;301.213
511514;37.602;254.053;393.097;21.286;301.477
537052;37.1194;294.743;397.606;20.7667;328.479
563866;36.6028;300.274;460.283;20.3431;322.384
592020;36.0757;260.002;383.585;19.916;326.564
621581;35.5369;307.133;351.308;19.5279;325.942
652620;34.9876;337.518;498.938;19.1049;336.258
685210;34.4716;267.562;507.87;18.7534;317.302
719429;33.9463;322.31;390.505;18.3905;291.111
755358;33.4211;272.45;353.188;17.986;288.092
793083;32.8566;276.808;327.667;17.6008;326.434
832694;32.2431;357.622;361.326;17.3064;282.983
874285;31.5569;288.515;367.64;22.8193;306.619
917955;38.403;252.724;460.943;22.308;303.878
963808;38.0584;253.382;443.906;21.7952;302.887
1011953;37.6585;254.226;329.614;21.3515;300.565
1062505;37.2136;255.263;368.468;20.8763;298.884
1115584;36.715;256.424;367.006;20.449;297.569
1171316;36.1939;257.713;391.652;20.0702;296.13
1229834;35.6545;286.072;423.439;19.6705;295.052
1291277;35.1117;263.404;369.914;19.2184;318.896
1355792;34.5837;320.291;335.632;18.8919;290.695
1423532;34.0564;356.854;344.507;18.524;303.765
1494659;33.5219;274.725;352.909;18.1495;324.333
1569342;32.9646;273.047;337.455;17.7614;285.38
1647759;32.3732;307.069;330.035;17.3816;306.208
1730096;31.7035;287.722;414.714;22.9711;306.606
1816549;30.9263;290.666;412.541;22.4097;305.32
1907324;38.1421;254.977;458.704;21.9232;304.177
2002637;37.7612;254.95;403.801;21.4023;302.012
2102715;37.3078;318.256;403.568;20.895;300.661
2207796;36.8158;257.513;389.227;20.5427;299.008
2318131;36.2945;305.774;366.184;20.1195;359.545
2433982;35.7623;292.248;346.552;19.7141;341.715
2555625;35.2272;278.961;334.902;19.3349;323.422
2683350;34.7028;265.691;384.792;19.0059;302.217
2817461;34.1814;266.273;381.617;18.6215;290.459
2958277;33.6514;269.759;382.729;18.2394;288.767
3106133;33.1155;273.014;385.269;17.8583;287.225
3261381;32.5185;325.95;395.339;17.4737;285.478
3424391;31.8584;325.896;386.047;17.0979;334.258
3595551;31.088;332.003;375.505;22.4328;335.829
3775269;38.2273;254.258;365.812;21.9479;328.466
3963972;37.8563;255.374;354.683;21.488;317.061
4162110;37.416;255.99;344.096;21.0318;302.705
4370154;36.9198;256.002;334.97;20.4897;301.146
4588600;36.3884;260.367;362.963;20.1311;300.012
4817968;35.8527;260.734;362.284;19.7225;298.633
5058804;35.3251;259.962;392.806;19.347;296.151
5311681;34.7891;262.784;391.304;18.9169;296.587
5577201;34.2648;297.354;418.778;18.5777;329.444
5855997;33.7434;300.281;419.547;18.2397;326.584
6148732;33.1997;333.661;427.322;17.9511;324.268
6456103;32.631;335.378;440.358;17.5525;351.731
6778842;31.9718;337.049;436.557;17.1607;348.309
7117717;31.2532;368.638;430.686;22.6219;398.839
7473535;38.2907;341.525;421.185;22.086;394.753
7847143;37.9282;337.782;418.375;21.6085;389.052
8239431;37.504;334.075;434.721;21.1198;382.789
8651333;37.0301;332.458;432.053;20.6866;374.709
9083830;36.5146;338.552;430.129;20.2303;388.12
9537951;35.9954;337.115;427.843;19.8518;382.7
