Running insertion:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;105.667;245.779;252.254;59.1315;202.657
10500;101.035;245.865;243.917;56.6276;200.765
11025;97.6117;243.967;243.859;54.5941;200.467
11576;94.2769;244.838;248.93;60.48;216.009
12154;91.1642;244.22;243.866;50.8181;202.312
12760;88.2743;243.911;293.702;56.6151;203.674
13396;85.7064;244.822;308.55;47.8155;205.672
14063;83.464;245.903;289.385;96.2842;237.027
14763;137.165;300.966;281.391;93.4435;236.052
15498;151.172;300.138;317.476;76.0012;243.7
16269;145.699;302.214;279.483;85.5822;245.908
17078;122.178;301.508;286.751;83.2403;245.343
17927;135.768;303.346;283.004;79.3633;248.653
18818;113.389;301.52;284.335;76.2652;249.416
19753;128.638;317.976;327.885;75.8721;250.057
20734;105.375;302.498;283.247;59.7596;249.331
21764;101.782;302.336;286.66;57.5955;250.56
22845;98.3194;302.031;287.678;55.4964;252.879
23980;95.0351;301.825;289.287;53.6147;252.859
25171;91.9536;301.81;330.402;60.8707;271.704
26421;110.017;302.276;332.551;50.7509;255.525
27733;86.8285;302.51;333.836;93.2697;294.838
29110;149.292;367.781;342.096;89.4076;296.846
30555;143.983;365.001;355.03;85.7689;297.744
32072;138.928;374.819;336.908;82.0105;302.03
33664;133.759;367.278;344.699;79.2143;297.759
35335;138.717;364.129;360.486;82.9935;303.957
37089;124.398;365.228;341.479;72.2581;304.018
38930;118.395;359.342;340.672;76.3246;300.924
40863;122.266;359.129;341.087;75.293;297.236
42892;108.857;357.384;339.47;72.2095;297.709
45022;111.615;355.016;340.39;62.244;296.707
47258;107.793;352.88;338.733;68.8895;297.313
49605;102.024;350.472;388.917;58.2982;295.109
52069;101.539;348.221;387.943;56.6977;294.6
54656;95.7304;347.577;388.53;89.1525;342.392
57372;158.832;437.07;389.772;86.3952;343.725
60223;155.507;435.714;388.909;82.2067;348.825
63216;152.955;432.332;385.993;78.9138;341.271
66358;148.255;429.807;384.932;78.6066;351.094
69657;128.784;421.509;382.902;75.6897;336.095
73120;129.359;419.961;391.057;71.9829;349.777
76756;124.362;414.72;388.705;70.6683;333.465
80573;121.815;411.37;379.236;64.9121;333.137
84580;124.931;408.129;379.199;62.5447;329.587
88787;114.687;402.305;376.953;60.3314;326.665
93204;112.254;398.936;378.342;60.8615;328.874
97841;124.525;398.1;376.276;56.4338;324.894
102709;101.51;391.462;461.71;56.6976;325.1
107820;99.039;387.517;450.279;100.695;398.111
113186;98.8986;385.35;550.955;93.2091;395.342
118820;161.852;544.911;447.152;90.4118;398.257
124735;156.612;534.187;445.317;85.9156;389.004
130945;152.554;526.324;447.331;85.3075;385.245
137465;145.415;515.16;448.39;82.5635;379.728
144311;136.446;506.741;440.516;76.2234;375.026
151499;140.722;499.434;438.283;77.1462;372.689
159046;127.503;490.584;439.206;73.6626;366.829
166970;129.303;480.966;436.332;72.8528;364.296
175290;122.227;478.294;433.01;69.939;360.98
184026;118.094;467.201;433.912;66.2295;356.161
193198;115.712;458.594;447.803;64.2849;353.361
202828;112.146;453.522;551.107;61.1615;354.107
