Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;7.51355;8.29894;13.8802;7.78073;7.99174
10500;7.7822;8.17251;14.8623;7.65691;7.76418
11025;7.52889;8.19677;14.8473;7.70425;7.76027
11576;7.29713;8.13347;15.8018;7.73542;7.88056
12154;7.45748;8.24313;16.6708;7.78842;7.86113
12760;7.64334;8.2944;11.8233;7.97158;8.05579
13396;7.49219;8.52685;12.516;8.07906;8.29434
14063;7.53352;8.47785;13.2539;7.97172;8.15706
14763;8.71107;9.24262;13.7811;8.02543;8.50929
15498;8.3434;9.02964;14.3322;7.83951;8.06569
16269;9.04929;9.72487;16.0316;8.40029;8.36582
17078;8.82084;9.21131;15.3612;7.93485;8.06203
17927;8.52336;9.20667;16.3115;7.95833;8.12696
18818;8.6089;9.18415;16.5803;8.00239;8.1245
19753;8.51572;9.21927;17.4376;8.06129;8.2354
20734;8.57872;9.34422;17.8951;8.26521;8.25063
21764;8.51367;9.25708;19.5454;8.62183;9.00873
22845;9.05235;9.94297;20.1814;8.77171;9.11442
23980;9.05587;10.0212;20.0255;8.25687;8.55445
25171;8.67558;9.42793;15.3823;8.44331;8.80739
26421;8.77172;9.47486;15.518;8.98198;9.59556
27733;8.844;9.57747;15.8761;8.61405;9.38039
29110;10.3156;11.0234;17.2188;9.19192;8.67591
30555;9.19323;10.2085;17.2203;8.62755;8.78326
32072;9.37668;10.0288;17.5192;8.5566;8.83081
33664;9.14044;11.2545;18.4812;9.44111;9.4405
35335;10.0985;11.2674;18.9564;9.41423;9.32639
37089;10.2819;11.1523;19.0496;8.74782;8.87972
38930;9.50871;10.2944;18.9929;8.77112;9.00405
40863;9.4981;10.1536;19.8563;8.85253;8.96462
42892;9.45275;10.3679;20.2298;8.94771;9.12332
45022;9.29933;10.378;20.2245;9.72815;9.93746
47258;10.7053;11.2888;21.4128;9.91256;10.1819
49605;10.2132;11.3391;16.7103;9.44813;10.016
