#logical cores: 16
Parallel load (N=500000, theta=0.01):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;9.51811;13.8974;16.4699;20.6271
2;8.83369;18.6576;17.3046;23.7293
3;10.6141;12.5888;20.735;29.356
4;12.2127;15.0803;24.3882;27.6819
5;13.5203;13.9422;25.7119;25.6874
6;13.8534;19.3315;19.882;36.0294
7;14.4184;17.5955;23.893;48.902
8;13.4534;18.3375;26.2378;49.9573
9;13.2074;18.8711;28.0159;51.1699
10;13.6291;20.1086;26.659;43.2208
11;13.7666;19.7285;24.0895;43.7088
12;15.186;20.3944;31.4867;36.8894
13;15.1602;19.4416;19.9934;56.61
14;14.0265;20.3313;33.0345;32.6913
15;15.6494;19.4837;21.0904;53.1221
16;15.3337;21.3889;33.7902;26.9574
Parallel load (N=500000, theta=0.5):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;9.96004;13.7428;16.5761;20.4291
2;8.85668;10.8679;15.8977;21.3511
3;9.18245;12.0903;20.9261;22.4371
4;10.7898;14.0891;26.1676;22.3194
5;11.5395;15.9261;22.5209;44.1701
6;12.4478;14.9762;33.4138;33.8661
7;13.8972;15.6065;27.8724;34.3806
8;15.1873;17.3549;27.2513;36.8564
9;14.5043;18.918;29.9764;36.5549
10;14.8516;17.8515;33.5668;32.2
11;15.1981;19.1848;26.1579;36.9721
12;15.4051;19.131;26.3968;41.2074
13;14.3599;19.7719;28.9733;36.338
14;15.0881;21.3537;27.2701;37.6324
15;15.3241;22.2348;25.0799;46.4235
16;15.5728;20.9292;22.7843;50.5913
Parallel load (N=500000, theta=0.99):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;12.5911;14.5283;18.0184;21.6548
2;11.3845;11.4121;18.1559;22.5502
3;11.2649;13.2913;22.7383;21.1938
4;13.6304;15.9893;23.0933;37.0493
5;14.9763;15.66;32.7779;28.9868
6;16.7266;16.0884;26.9296;33.3783
7;17.9836;18.1973;26.2768;34.1206
8;17.4534;18.6255;27.7237;34.8096
9;17.2769;19.2068;29.1082;35.214
10;18.6055;18.5398;24.2446;47.1796
11;15.6181;20.5819;31.8845;32.8818
12;18.819;19.2679;28.0208;39.0805
13;16.7648;22.2458;36.964;28.6259
14;17.8103;22.9236;27.6343;38.8323
15;20.0853;19.756;27.9524;39.757
16;17.7279;22.1698;33.9127;24.5326
Parallel load (N=5000000, theta=0.01):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;3.27031;8.83039;10.0418;13.9253
2;5.00732;8.71107;14.7733;19.53
3;6.27748;10.1566;16.3075;26.3269
4;7.33407;11.305;19.4481;29.3658
5;8.78972;12.9043;22.9506;46.42
6;15.4394;22.7434;44.8824;65.3418
7;15.5578;23.1469;45.8578;71.2496
8;16.0075;22.3531;44.9495;66.1773
9;16.063;22.6612;44.0176;64.3321
10;15.9191;21.4804;42.0311;62.7038
11;15.0106;21.9419;42.8076;63.7824
12;15.775;22.8584;42.5506;62.3189
13;15.8896;23.0097;43.2546;61.554
14;14.9887;21.9046;38.4645;58.2281
15;14.5903;23.1455;42.4836;58.4595
16;15.1589;23.1355;40.1136;56.7432
Parallel load (N=5000000, theta=0.5):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;3.92267;10.7357;12.6485;17.932
2;5.94979;9.89882;16.6092;24.7085
3;7.58912;11.7117;20.229;27.6581
4;8.89523;13.0105;23.0718;33.4118
5;9.8274;14.7912;27.7154;38.2079
6;10.757;16.1148;33.0022;45.3229
7;10.881;16.4177;29.2208;45.4909
8;11.9922;16.5094;29.6688;40.6995
9;12.142;17.1067;31.8823;41.8277
10;10.5454;17.2097;30.6133;46.7988
11;12.556;16.6958;31.8175;44.7451
12;12.71;18.0432;28.3435;43.6908
13;12.0706;17.2589;32.7064;49.1644
14;12.4117;18.094;31.7292;46.4504
15;12.2224;19.3506;39.1669;64.4565
16;16.5807;25.0047;44.8571;65.0814
Parallel load (N=5000000, theta=0.99):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;8.0913;14.1995;17.228;21.3483
2;9.44684;11.5986;18.864;27.2759
3;12.8539;16.7859;27.1295;38.4376
4;17.4511;18.9778;33.5853;49.4503
5;18.1458;20.2375;36.3117;54.0713
6;18.9799;20.6279;39.4019;54.4308
7;19.8824;21.46;40.0938;57.3004
8;20.4155;20.494;37.3485;52.8973
9;19.5799;21.9339;39.8353;56.0208
10;19.8833;22.3186;43.4849;55.7023
11;20.065;21.9579;40.5479;53.3518
12;19.956;22.7612;41.4451;56.2238
13;20.1571;23.0989;43.44;52.1402
14;18.4325;22.9203;40.3726;53.9389
15;19.0734;23.5687;36.1933;55.4322
16;19.9412;23.3646;36.892;50.6509
