Running erasure:
absl::flat_hash_map;indivi::flat_wmap;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;18.2265;13.1032;30.0166;13.3302;25.6761
10500;18.2289;13.2184;30.1882;12.9159;25.3171
11025;17.6129;13.6816;30.2933;12.6925;25.0854
11576;17.0845;13.5485;30.398;12.5671;25.3971
12154;16.5829;13.7183;30.5154;12.4511;25.4158
12760;15.9351;14.1352;29.5314;12.3285;24.5263
13396;15.6515;15.6016;29.5533;11.9939;24.1623
14063;14.853;15.8157;29.6394;18.342;29.5395
14763;21.6972;15.6779;29.8735;17.8787;29.1363
15498;21.4904;15.9159;29.8719;17.6261;28.8797
16269;21.1886;16.0036;30.0152;17.221;28.6622
17078;20.9283;16.1948;30.0675;16.9617;28.327
17927;20.5346;16.3277;30.1705;16.6159;27.9793
18818;20.1198;16.1671;30.2284;16.3405;27.501
19753;19.7477;16.3891;30.3954;15.9616;27.1831
20734;19.3977;16.1913;30.5727;15.7278;26.8599
21764;18.9274;16.3056;30.8394;15.4465;26.5035
22845;18.4353;16.3425;30.9507;15.0664;26.1652
23980;17.899;16.2242;31.031;14.7868;25.9056
25171;17.3032;16.2391;30.327;14.3751;25.4304
26421;16.6567;17.7663;30.1837;14.0757;25.0287
27733;16.0932;17.6209;30.2919;19.4636;30.2095
29110;22.5609;17.5192;30.3509;19.0664;29.8352
30555;22.3329;17.4813;30.4821;18.6248;29.3885
32072;21.9734;17.3553;30.5251;18.1651;29.0727
33664;21.4807;17.3171;30.501;17.7442;28.7921
35335;21.1349;17.2056;30.6258;17.332;28.2878
37089;20.8415;17.1069;30.6652;16.9082;27.8476
38930;20.465;17.1466;30.5879;16.595;27.6456
40863;19.9781;17.0532;30.7139;16.2408;27.2112
42892;19.3862;17.0208;30.8655;15.833;26.8502
45022;18.8638;16.9007;31.0683;15.5499;26.5069
47258;18.392;16.8724;31.1161;15.2562;26.1706
49605;17.9664;16.8151;30.5875;14.8808;25.7549
52069;17.2848;16.7993;30.6468;14.6055;25.3972
54656;16.6125;18.2226;30.7911;19.7071;30.4648
57372;23.0424;18.0532;30.8511;19.1632;30.0575
60223;22.7807;17.9016;30.7697;18.7095;29.6292
63216;22.5116;17.7776;30.7237;18.2937;29.4043
66358;22.1131;17.6547;30.7906;17.9168;29.0774
69657;21.5867;17.549;30.8252;17.5759;28.6714
73120;21.151;17.4431;30.8754;17.2366;28.2406
76756;20.6802;17.3793;31.0404;16.8429;27.9016
