Running insertion:
absl::flat_hash_map;indivi::flat_wmap;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;22.0502;24.5457;55.1367;17.8657;32.8512
10500;21.4412;24.0145;54.4838;18.0432;32.4597
11025;20.8561;23.5724;54.0194;16.9842;32.0533
11576;20.6651;23.0877;53.574;16.6624;31.8282
12154;19.8558;22.7956;53.1301;16.3227;31.7264
12760;19.5915;22.4726;67.8221;25.059;41.5025
13396;19.3022;30.8979;66.3626;24.298;38.7482
14063;19.0404;30.1225;65.0593;23.7309;38.0949
14763;27.7929;29.4431;63.7862;22.5676;38.8847
15498;26.9369;28.5652;62.7637;22.0544;36.5844
16269;26.3719;27.7777;61.682;21.4661;35.5941
17078;25.3987;27.1342;60.743;20.6052;36.5114
17927;24.4074;26.5387;59.9445;20.0646;35.925
18818;23.8314;25.8867;59.329;19.5903;35.2162
19753;23.1727;25.3049;58.7677;19.0031;33.4666
20734;22.4925;24.7598;58.2481;18.6557;34.1527
21764;21.9414;24.2653;57.7173;18.1294;33.7077
22845;21.4023;23.812;56.9637;17.7402;33.2577
23980;20.9571;23.4335;56.7192;17.4183;32.1611
25171;20.4874;23.1261;74.4533;26.3878;40.2052
26421;20.5597;31.6075;72.6917;25.4279;39.3856
27733;20.2586;30.8039;71.2976;24.8427;38.5591
29110;28.4411;30.0641;70.2191;23.7717;37.684
30555;27.5532;29.2419;69.0361;23.0114;37.0106
32072;27.0238;28.5638;67.808;22.6148;36.5139
33664;26.724;27.8769;66.9708;21.9022;35.7597
35335;25.6235;27.2198;65.8131;20.842;35.2136
37089;24.6909;26.5819;65.0909;20.4586;34.7188
38930;24.193;26.0149;64.4482;19.7528;34.1968
40863;23.2278;25.4587;63.9301;19.3152;33.5664
42892;22.5723;24.9389;63.474;19.0245;33.1836
45022;22.4436;24.5002;63.0446;18.6055;32.6759
47258;21.4478;24.0586;62.4313;18.2114;32.5511
49605;21.9296;23.6875;80.6356;27.2123;40.9453
52069;21.1215;23.4313;78.9008;26.1581;40.2198
54656;20.8839;31.6759;77.3518;25.4355;39.3322
57372;29.5304;30.9161;75.8581;24.8175;38.3835
60223;28.1925;30.08;74.5303;24.0177;37.6671
63216;28.308;29.2694;73.3;23.1325;37.015
66358;26.6733;28.7713;72.1061;22.3792;36.3379
69657;25.698;28.0844;71.1896;21.8222;35.7454
73120;25.4262;27.3963;70.0618;21.1425;35.2863
76756;24.2181;26.8941;69.2438;20.767;34.7564
80573;23.4983;26.3601;68.6301;20.1625;34.3166
84580;23.1844;25.6013;68.1215;19.7271;34.0032
88787;22.5787;25.1223;67.6296;19.3543;33.7053
93204;22.1937;24.9422;66.8355;18.8718;33.3649
97841;21.7935;24.5756;66.4626;18.7519;33.2227
102709;21.3012;24.501;83.6014;27.2817;42.3811
107820;21.3654;32.5437;81.9657;26.569;40.8939
113186;21.1481;32.0609;80.3235;25.5974;40.1007
118820;29.5747;31.1473;78.842;24.8938;39.4784
124735;28.2847;30.6975;77.4699;24.1349;38.7871
130945;27.588;29.9519;76.2592;23.4787;38.1577
137465;26.6375;29.3943;75.1768;22.7208;37.5571
144311;26.0058;28.8468;74.0337;22.3595;37.1313
151499;25.3223;28.3915;73.2469;21.9043;36.6239
159046;24.8113;27.8416;72.4064;21.5197;36.1206
166970;24.299;27.532;71.7625;20.7135;35.7212
175290;23.8875;26.9748;71.0539;20.4336;35.3997
184026;23.1153;26.6658;70.4368;20.3346;35.1715
193198;22.9037;26.3016;70.0666;19.9749;35.0168
202828;22.083;26.0467;91.6779;36.2263;45.0211
212939;22.5819;34.904;89.447;34.5113;44.5237
223555;22.2547;34.5263;87.6587;34.2513;44.1488
234701;37.5748;33.9734;86.0805;33.1789;43.5607
246404;36.0287;33.5528;84.5622;31.6872;43.0717
258692;35.4228;33.5276;83.3511;29.1358;42.4703
271594;35.4987;32.8969;82.488;31.333;41.8995
285141;34.2428;32.6199;81.6714;29.5909;41.5855
299365;34.2072;32.4431;81.149;30.6476;41.2115
314300;32.6568;32.0469;80.6902;30.237;40.7886
329981;33.3265;31.6888;80.4561;28.0482;40.4455
346446;31.4925;31.4975;79.4539;27.7447;40.1851
363734;32.7071;31.0086;79.5516;26.6742;40.0054
381886;30.3985;30.7533;79.5116;27.5586;39.9112
400945;29.8452;30.5181;129.958;47.1863;66.4547
420956;32.9693;40.2017;125.564;46.2901;67.3362
441967;30.0103;41.0768;125.902;44.8514;65.8982
464028;43.8315;41.3263;123.845;43.5949;65.0284
487192;42.1462;41.6069;122.408;43.5967;64.3324
511514;44.3565;41.7687;121.558;41.6673;63.7275
537052;42.2822;41.7869;121.122;41.3879;62.674
563866;40.7096;42.0651;120.847;39.7192;61.9124
592020;42.0583;41.988;120.878;40.4401;60.8514
621581;42.8458;41.8994;121.055;38.4227;59.9109
652620;40.8682;41.8175;121.53;36.3852;58.8915
685210;39.714;41.6709;121.88;37.0246;58.5755
719429;37.7659;41.5461;123.07;36.3626;57.1096
755358;38.8268;41.5325;123.945;34.9707;57.1426
793083;36.9601;41.4329;185.957;70.192;91.8165
832694;41.6795;41.2114;184.917;68.8187;91.7995
874285;41.9143;74.8625;183.343;66.6865;90.5657
917955;70.9107;74.3195;182.236;65.7644;85.3269
963808;73.33;73.414;181.587;63.9464;84.3954
1011953;69.6699;72.6938;180.601;61.8144;84.1397
1062505;68.3633;71.9825;179.909;60.8734;82.9156
1115584;64.6037;71.4346;179.118;58.8074;82.7741
1171316;65.1745;70.7571;179.789;56.8344;84.8992
1229834;63.5238;69.8429;179.725;54.8966;82.3576
1291277;61.8105;69.19;180.558;54.2476;80.4227
1355792;59.2693;68.5551;181.756;52.6193;82.6166
1423532;59.8778;67.9518;182.755;51.3842;79.9608
1494659;57.2431;67.3759;184.86;50.3057;80.5247
1569342;55.9027;66.7605;186.287;49.7739;78.5984
1647759;56.0654;66.1418;252.756;87.0976;242.728
1730096;47.0636;87.2436;249.033;83.6201;241.546
1816549;49.417;86.2538;246.142;81.7224;242.049
1907324;85.1883;98.8376;244.543;79.2222;242.096
2002637;85.0369;97.2968;242.705;77.2857;243.049
2102715;83.7877;95.8234;241.511;66.139;243.931
2207796;80.3482;94.3821;242.637;73.3409;243.948
2318131;78.0974;93.0932;248.598;70.4669;244.4
2433982;70.0912;81.5102;250.561;69.1161;243.832
2555625;68.4365;80.9184;252.843;67.5691;243.961
2683350;72.875;89.3993;254.179;66.0086;245.302
2817461;71.1236;88.3928;239.992;58.5425;246.152
2958277;64.1113;78.9845;240.701;57.2308;198.185
3106133;63.7163;78.3968;241.643;56.1602;100.714
3261381;63.3695;77.9466;319.314;93.5447;293.749
3424391;66.7574;120.432;314.291;91.4722;292.528
3595551;61.3977;111.891;309.989;88.9403;291.904
3775269;92.1396;111.235;305.903;85.7848;291.233
3963972;90.6182;109.964;302.598;85.2132;290.278
4162110;89.9809;108.63;299.671;83.1379;289.792
4370154;88.9967;107.77;297.383;85.2419;288.813
4588600;86.6738;106.616;294.833;79.5025;289.055
4817968;88.0973;110.744;292.916;78.0655;288.696
5058804;83.7066;104.599;291.833;76.4817;287.998
5311681;81.896;103.744;290.643;75.0222;287.896
5577201;79.8006;102.92;289.842;73.449;288.633
5855997;79.3627;102.279;284.484;66.7642;288.17
6148732;78.0265;101.445;284.529;65.4333;261.698
6456103;72.6348;92.6889;366.255;103.458;332.271
6778842;70.1865;127.992;358.97;101.319;329.818
7117717;69.6144;127.127;353.191;99.1635;331.551
7473535;108.48;133.902;349.989;97.3049;328.259
7847143;103.166;125.626;343.323;94.9363;329.157
8239431;103.583;131.504;339.029;93.491;327.838
8651333;102.45;130.214;336.628;91.5876;327.298
9083830;100.35;129.131;336.861;90.2471;325.528
9537951;95.774;122.355;334.15;92.4107;325.141
