Running erasure:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;26.4749;45.3666;38.4334;21.9564;39.4801
10500;25.5191;44.6662;38.3665;21.8422;39.5211
11025;24.8932;43.7642;38.5691;22.3117;39.3792
11576;24.121;42.9018;38.7871;22.5126;39.395
12154;22.8748;41.9326;38.7733;22.7624;39.4806
12760;21.8844;40.8599;38.863;22.7793;39.4766
13396;20.3838;39.1167;39.2722;22.8806;39.4635
14063;18.9113;38.2429;39.1805;24.6416;40.699
14763;32.8126;50.4326;38.9962;24.6608;40.6528
15498;32.3295;49.9694;39.1351;24.6783;40.4491
16269;31.811;49.3933;39.0196;24.5804;40.4673
17078;31.0671;48.7299;39.1871;24.5231;40.4019
17927;30.3823;48.2628;39.251;24.4453;40.2704
18818;29.5679;47.1859;39.3303;24.3689;40.2909
19753;28.7374;47.0004;39.3407;24.3256;40.0917
20734;27.8284;46.1788;39.5304;24.3054;39.8503
21764;26.9388;44.6163;39.5563;24.0945;40.0869
22845;25.8569;44.2374;39.603;24.2976;39.7595
23980;24.8374;42.2958;39.6401;24.2921;39.9129
25171;23.6223;41.0579;39.4809;24.2406;39.8265
26421;22.3271;40.0144;39.622;24.3107;39.8324
27733;21.0023;38.2366;39.5785;25.6499;41.2132
29110;34.1439;50.2815;39.6762;25.4745;41.1005
30555;33.5303;50.4101;39.7587;25.405;41.022
32072;32.8531;49.8397;39.68;25.2317;40.8902
33664;32.4572;48.9133;39.6607;25.1239;40.6968
35335;31.6397;48.307;39.6667;24.9573;40.64
37089;30.8916;48.0088;39.7218;24.9974;40.4946
38930;30.123;46.7235;39.8142;24.8559;40.4876
40863;29.0765;45.4032;39.9408;24.7546;40.3881
42892;28.0706;45.4516;39.958;24.6747;40.2895
45022;26.9444;43.6334;39.9006;24.6062;40.1571
47258;25.8013;42.5027;39.9934;24.5279;40.1413
49605;24.536;41.2922;40.2807;24.5249;40.0614
52069;23.1903;40.1559;40.2395;24.4527;40.0675
54656;21.5101;39.4311;40.1403;25.6428;41.2703
57372;34.5702;50.8022;40.2434;25.5693;41.1324
60223;34.0325;50.0081;40.1291;25.3371;40.9858
63216;33.5195;49.7863;40.1476;25.2141;40.9545
66358;32.8478;48.879;40.1524;25.1557;40.8703
69657;32.3847;48.2388;40.1315;25.0865;40.7235
73120;31.4773;47.4811;40.1374;24.975;40.6305
76756;30.5901;47.9409;40.1036;24.8535;40.5177
80573;29.7156;45.8872;40.15;24.7712;40.4206
84580;28.6609;45.5227;40.2452;24.6636;40.3544
88787;27.569;44.5029;40.2592;24.6022;40.2821
93204;26.3144;43.171;40.3198;24.4906;40.1693
97841;25.0627;41.8239;40.4818;24.4956;40.1584
102709;23.6133;41.6194;40.5056;24.4523;40.0553
107820;22.1311;39.4542;40.486;25.7891;41.3716
113186;20.4235;38.3363;41.2047;25.4804;41.2834
118820;34.3886;51.3367;40.6078;25.4441;41.1466
124735;33.8549;49.6807;40.8823;25.2938;41.0022
130945;33.2684;50.8446;40.9118;25.1817;40.9131
137465;32.5391;49.9047;41.0227;25.072;40.7978
144311;31.6946;49.6836;41.1083;24.9767;40.6932
151499;30.786;49.3011;41.2066;24.9011;40.612
159046;29.8741;49.2183;42.0464;24.835;40.5681
166970;28.8547;47.0014;41.6762;24.7721;40.4912
175290;27.8477;48.7523;41.7168;24.6231;40.407
184026;26.6872;47.0624;41.9829;24.629;40.3102
193198;25.4052;45.6115;42.3949;24.5688;40.3161
202828;24.0218;45.1482;46.1104;24.5564;40.2432
212939;22.5395;45.0612;46.5036;24.4034;40.1895
223555;20.9663;42.6711;47.8486;26.1686;41.2835
234701;34.7752;57.2194;48.544;25.9868;41.2126
246404;34.1809;56.929;50.3208;25.7679;41.0546
258692;33.5208;53.3214;51.5198;25.5344;40.9066
271594;32.8071;62.6468;50.947;25.4687;40.8134
285141;32.1073;60.9065;51.4415;25.2536;40.7361
299365;31.1249;62.2815;51.2601;25.08;40.6287
314300;30.2627;61.3025;52.1682;24.9251;40.5485
329981;29.2488;56.2191;52.1483;24.81;40.4774
346446;28.1501;50.4554;54.0421;24.7545;40.4149
363734;27.0165;60.437;52.5076;24.6178;40.3273
381886;25.7979;53.4775;52.6546;24.5178;40.2643
400945;24.4596;58.1584;60.5117;24.5109;40.1948
420956;23.0195;51.3407;65.7217;24.4826;40.1894
441967;21.4482;47.6321;65.7987;25.9471;41.4077
464028;34.8063;55.2337;60.3149;25.6593;41.2383
487192;34.2505;63.6532;60.8184;25.4655;41.1806
511514;33.6438;62.0772;60.8361;25.3138;41.002
