cset: --> last message, executed args into cpuset "/user", new pid is: 147708
Running insertion:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_flat_map;boost::unordered_node_map
10000;0.468646;0.704605;0.687551;0.971491
10500;0.454448;0.696592;0.669638;0.950795
11025;0.439852;0.688327;0.653051;0.929717
11576;0.429851;0.679287;0.637896;0.912637
12154;0.427969;0.671661;0.624236;0.896251
12760;0.416989;0.666641;0.612488;0.883355
13396;0.418588;0.662991;0.642867;0.872057
14063;0.417517;0.663989;0.957254;1.19926
14763;0.558789;0.809546;0.884775;1.16803
15498;0.543079;0.794698;0.858061;1.13889
16269;0.525048;0.780345;0.831624;1.11072
17078;0.512927;0.766252;0.807134;1.08182
17927;0.497687;0.751764;0.784228;1.0569
18818;0.480899;0.738914;0.762662;1.03169
19753;0.470792;0.732579;0.741538;1.00725
20734;0.461037;0.719955;0.72204;1.01574
21764;0.451129;0.709181;0.703992;0.996934
22845;0.438045;0.699398;0.688335;0.980229
23980;0.434357;0.696691;0.67287;0.961021
25171;0.423824;0.69423;0.659807;0.952968
26421;0.419528;0.689257;0.649969;0.940123
27733;0.418198;0.68522;0.969622;1.27328
29110;0.570442;0.852417;0.939207;1.23957
30555;0.5533;0.825354;0.877717;1.21017
32072;0.536198;0.810113;0.851183;1.1821
33664;0.554915;0.805037;0.825924;1.15149
35335;0.538258;0.79351;0.830041;1.13363
37089;0.524365;0.779497;0.806253;1.10659
38930;0.48127;0.769078;0.783202;1.07713
40863;0.49644;0.752127;0.73792;1.05541
42892;0.460068;0.740052;0.719449;1.03304
45022;0.472711;0.730357;0.723916;1.01208
47258;0.463324;0.723462;0.686138;0.992076
49605;0.455032;0.715553;0.671822;0.978134
52069;0.449352;0.711312;0.660799;0.963855
54656;0.447075;0.708836;0.986177;1.56653
57372;0.621013;1.10387;0.955522;1.53107
60223;0.620884;1.08985;0.926637;1.49698
63216;0.603826;1.07139;0.898553;1.46225
66358;0.585237;1.05628;0.871953;1.43144
69657;0.552242;1.04235;0.846527;1.40119
73120;0.537974;1.0304;0.822355;1.37361
76756;0.523584;1.01723;0.799276;1.34621
80573;0.522961;1.00467;0.777388;1.32064
84580;0.496998;0.993832;0.756602;1.29784
88787;0.499479;0.982819;0.738554;1.27461
93204;0.477448;0.977199;0.731208;1.25311
97841;0.470332;0.969442;0.704838;1.23534
102709;0.462937;0.963634;0.693128;1.21923
107820;0.459784;0.960784;1.03001;1.64445
113186;0.441096;0.959553;0.998036;1.60957
118820;0.648971;1.14135;0.957269;1.56921
