No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;1.00346;0.45122;0.641957
10500;1.0105;0.453973;0.643787
11025;1.0005;0.456808;0.648084
11576;1.01469;0.455317;0.650735
12154;1.00884;0.462844;0.65516
12760;1.01744;0.463434;0.670527
13396;1.01539;0.464702;0.674458
14063;1.02704;0.468252;0.682271
14763;1.03795;0.470574;0.68411
15498;1.04235;0.470038;0.689316
16269;1.05601;0.476627;0.694946
17078;1.04654;0.476827;0.698307
17927;1.04786;0.481619;0.705715
18818;1.06047;0.478661;0.710343
19753;1.06723;0.486191;0.71725
20734;1.07073;0.488199;0.722289
21764;1.0816;0.497702;0.72706
22845;1.104;0.497929;0.734129
23980;1.10967;0.500492;0.742012
25171;1.12159;0.507939;0.762062
26421;1.13311;0.514089;0.767127
27733;1.14524;0.516728;0.774724
29110;1.1613;0.52577;0.785802
30555;1.17935;0.532341;0.794535
32072;1.17949;0.533803;0.799013
33664;1.20382;0.538212;0.809365
35335;1.20911;0.542752;0.811084
37089;1.21751;0.548905;0.822734
38930;1.22944;0.556719;0.827518
40863;1.24649;0.557246;0.835742
42892;1.25356;0.564522;0.843099
45022;1.25683;0.566515;0.851901
47258;1.27876;0.573781;0.86051
49605;1.28355;0.563106;0.858292
52069;1.29727;0.568472;0.865904
54656;1.30269;0.570497;0.870213
57372;1.31745;0.574523;0.876484
60223;1.31576;0.577581;0.882007
63216;1.33243;0.579146;0.885313
66358;1.3263;0.582726;0.892299
69657;1.32931;0.585519;0.899738
73120;1.34618;0.589378;0.906367
76756;1.35114;0.592481;0.910524
80573;1.34687;0.596159;0.915581
84580;1.3548;0.595996;0.917259
88787;1.3667;0.600551;0.919714
93204;1.37374;0.603395;0.92829
97841;1.37429;0.60868;0.930669
102709;1.38476;0.60472;0.919179
107820;1.38293;0.606093;0.925098
113186;1.39326;0.613878;0.925754
118820;1.3994;0.613082;0.932448
124735;1.39764;0.614463;0.936872
130945;1.40834;0.61821;0.938758
137465;1.42053;0.617861;0.941485
144311;1.41267;0.624094;0.945175
151499;1.41164;0.628953;0.951272
159046;1.42277;0.631579;0.954205
166970;1.42683;0.635989;0.958695
175290;1.42784;0.639205;0.963707
184026;1.42906;0.676032;0.967269
193198;1.43672;0.644695;0.969411
202828;1.44536;0.634274;0.962332
212939;1.44508;0.633998;0.969098
223555;1.44945;0.637622;0.974226
234701;1.46035;0.645597;0.981267
246404;1.46781;0.648551;0.988075
258692;1.48145;0.649281;0.994967
271594;1.4876;0.655754;1.00276
285141;1.4962;0.661524;1.01035
299365;1.51006;0.666029;1.01925
314300;1.53629;0.672597;1.03268
329981;1.55748;0.677371;1.03902
346446;1.5781;0.683293;1.05265
363734;1.61558;0.692309;1.07206
381886;1.65622;0.725315;1.09307
400945;1.69361;0.738328;1.20197
420956;1.74393;0.75114;1.238
441967;1.805;0.762407;1.27575
464028;1.86945;0.774629;1.31533
487192;1.95698;0.788497;1.35973
511514;2.05565;0.804209;1.41074
537052;2.16527;0.821402;1.46406
563866;2.26548;0.843963;1.51921
592020;2.40417;0.858568;1.57796
621581;2.5435;0.886642;1.64116
652620;2.65787;0.908148;1.69999
685210;2.83102;0.935424;1.76783
719429;2.95612;0.962328;1.83701
755358;3.14778;0.995293;1.90796
793083;3.31081;1.23895;2.23945
832694;3.48421;1.27326;2.31398
