Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;55.2816;32.2014;36.8115
10500;56.4664;33.0186;36.8316
11025;56.4774;33.5014;37.2765
11576;57.3584;33.711;37.5266
12154;57.9992;34.4635;37.5685
12760;58.2752;35.6045;39.339
13396;59.9865;35.7702;39.797
14063;60.7003;36.1606;40.0966
14763;61.3711;36.9336;40.6368
15498;62.2871;36.7722;40.9346
16269;62.3746;37.4706;41.817
17078;63.8646;37.5894;42.4683
17927;64.5025;37.7167;43.5146
18818;66.1169;38.8113;43.7429
19753;65.9794;39.0488;44.0978
20734;67.0746;39.4522;44.5936
21764;67.4647;40.0022;45.1782
22845;68.4939;40.2462;45.5025
23980;69.3703;40.9736;45.9943
25171;70.1733;41.0199;46.9331
26421;70.8893;41.4682;47.3445
27733;72.1391;41.5465;47.9487
29110;72.765;42.2156;48.7346
30555;74.0511;43.5016;49.1114
32072;74.1228;43.0642;49.6663
33664;74.7267;43.5405;50.1083
35335;75.2059;43.9431;50.3257
37089;76.1159;44.6842;50.9504
38930;77.1284;45.2349;51.4246
40863;77.8065;45.3108;51.7156
42892;78.0826;45.7878;52.1798
45022;78.9966;46.281;52.3569
47258;79.6131;46.4684;52.7361
49605;80.0645;44.0454;52.5415
52069;79.3282;44.3948;52.7295
54656;79.8147;44.6404;52.8488
57372;80.0872;44.885;53.2421
60223;80.9975;45.2697;53.5883
63216;81.3593;45.641;54.2277
66358;82.3548;45.897;54.1653
69657;82.3259;46.2362;54.3122
73120;83.0983;46.317;54.5807
76756;82.8497;46.3164;54.9847
80573;83.4422;46.859;54.9123
84580;84.106;47.0524;55.2267
88787;84.611;47.5094;55.5156
93204;85.1642;47.7881;55.6124
97841;85.8586;47.9292;56.0939
102709;86.8775;46.9052;56.0578
107820;84.0808;47.0653;56.4855
113186;84.6757;47.7599;56.463
118820;85.0512;48.0734;56.5299
124735;85.2403;48.3343;56.8987
130945;86.13;48.5941;56.8859
137465;86.0458;48.9331;56.9191
144311;86.117;49.7684;57.1939
151499;86.6531;50.6064;57.4089
159046;87.3531;50.9984;57.4919
166970;87.668;51.4275;58.4153
175290;89.0321;52.4082;58.8084
184026;89.1052;53.3645;59.1966
193198;88.9971;53.6134;59.0607
202828;90.3297;59.9259;63.0189
212939;94.96;60.4633;64.6041
223555;97.3104;62.6446;65.252
234701;99.0499;64.8988;66.4994
246404;101.839;68.7676;70.2148
258692;106.69;69.4745;69.8049
271594;107.398;73.8676;72.3231
285141;111.058;77.5385;74.8628
299365;115.155;79.9604;75.9169
314300;117.106;84.2501;79.2831
329981;123.003;88.5363;85.0657
346446;130.983;92.4006;88.1519
363734;136.773;97.4505;93.9522
381886;140.535;100.898;95.1471
400945;148.045;118.91;111.168
420956;172.867;124.112;118.159
441967;182.616;128.968;124.941
464028;194.118;134.212;132.812
487192;205.61;137.988;135.542
511514;211.285;141.62;143.18
537052;223.558;147.646;150.867
563866;234.599;152.62;157.912
592020;245.898;157.048;162.857
621581;253.297;161.18;170.87
652620;265.835;165.924;177.902
685210;276.7;170.882;184.257
719429;286.405;175.251;190.572
755358;295.718;180.161;196.978
793083;308.167;191.528;211.151
832694;329.522;193.374;216.458
874285;336.741;197.55;223.215
917955;344.777;202.322;228.5
963808;352.666;206.633;234.146
1011953;360.96;208.26;239.685
1062505;369.007;211.579;244.866
1115584;377.503;216.944;248.849
1171316;383.165;219.842;254.503
1229834;390.711;223.087;258.163
1291277;399.072;226.16;262.817
1355792;404.237;230.255;267.213
1423532;412.479;234.094;271.084
1494659;418.342;238.294;277.302
1569342;425.787;242.016;278.2
1647759;427.432;239.064;289.071
1730096;433.831;240.802;291.569
1816549;439.657;245.463;294.22
1907324;445.291;246.896;297.952
2002637;451.476;249.138;300.9
2102715;456.378;251.961;304.642
2207796;461.189;254.734;308.075
2318131;466.58;258.782;308.748
2433982;470.445;260.35;310.998
2555625;476.269;264.385;314.477
2683350;480.619;265.404;317.325
2817461;485.241;269.787;320.512
2958277;490.334;272.575;322.118
Scattered erasure, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;58.4067;33.9745;35.881
10500;58.9808;34.5035;36.094
11025;59.7207;35.0023;36.4515
11576;60.4104;36.2155;36.8604
12154;61.4018;36.2953;36.9748
12760;61.6157;37.0804;37.6175
13396;62.6853;38.1159;37.8544
14063;63.5819;38.9008;38.3286
14763;64.9367;39.9945;38.7674
15498;65.983;38.461;39.4748
16269;63.5226;39.0544;40.2128
17078;64.5921;39.537;40.5111
17927;65.3593;40.266;41.0527
18818;66.7821;41.2785;42.0159
19753;67.7805;42.3462;42.5121
20734;69.693;42.8415;43.1778
21764;71.0306;43.4111;43.8662
22845;72.0197;44.8532;44.4986
23980;73.5118;45.616;44.6471
