Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;78.8643;40.6819;31.2591
10500;78.8658;40.8138;31.6562
11025;79.1901;41.2152;31.7361
11576;79.5229;41.3526;32.0849
12154;79.5896;41.6534;32.2819
12760;79.8954;42.264;33.1432
13396;79.6371;42.2049;33.2799
14063;79.8293;42.5089;33.456
14763;79.9207;42.8114;33.6824
15498;80.1081;42.8568;33.8516
16269;80.3383;43.0973;34.0241
17078;80.6057;43.193;33.9742
17927;81.0374;43.5011;34.3777
18818;80.9106;43.5708;34.3819
19753;81.262;43.831;34.535
20734;81.2396;43.8255;34.7021
21764;81.3941;44.0506;34.9981
22845;81.6045;44.052;34.9441
23980;81.9166;44.2906;35.2864
25171;81.7745;44.2724;35.3893
26421;81.8696;44.289;35.4869
27733;81.7995;44.4501;35.5353
29110;82.0817;44.9076;35.7376
30555;82.3938;44.9679;35.9314
32072;82.3493;44.8847;35.8384
33664;82.4106;44.832;35.9145
35335;82.4289;44.8754;36.1119
37089;82.6867;44.9354;36.2242
38930;82.8649;45.166;36.2097
40863;82.9323;45.3326;36.342
42892;83.0305;45.32;36.4249
45022;83.0643;45.326;36.5217
47258;83.0696;45.4223;36.6176
49605;83.2887;45.4808;36.5895
52069;82.7323;45.5736;36.5801
54656;82.8431;45.7932;36.7348
57372;82.9444;45.8068;36.7413
60223;82.8991;45.9386;36.9344
63216;82.9677;45.9101;36.9915
66358;83.171;45.9694;36.9632
69657;83.1089;46.0312;37.113
73120;83.5489;46.504;37.5103
76756;83.5793;46.721;37.4805
80573;83.649;47.1787;37.7804
84580;84.2538;47.3149;37.8979
88787;84.1302;47.6159;38.1874
93204;84.8771;48.3923;38.9924
97841;85.7449;49.8674;40.0927
102709;85.9368;51.8671;42.2574
107820;87.8097;53.3049;43.3021
113186;89.3119;55.9038;45.4229
118820;90.6519;57.4329;46.6596
124735;95.2197;61.7465;49.0808
130945;97.6908;64.6071;51.4721
137465;98.3232;67.5573;54.269
144311;101.095;70.8979;56.9097
151499;103.578;74.3472;59.2178
159046;107.735;79.2584;63.0846
