Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.197344;0.148188;0.155728
10500;0.201482;0.15103;0.156838
11025;0.206059;0.151109;0.159551
11576;0.208278;0.154001;0.160338
12154;0.210414;0.158619;0.165032
12760;0.219025;0.149797;0.16265
13396;0.208317;0.154116;0.164322
14063;0.21034;0.155991;0.165202
14763;0.21106;0.156719;0.167207
15498;0.21757;0.156518;0.166628
16269;0.217755;0.161865;0.170479
17078;0.224688;0.161479;0.169298
17927;0.223484;0.162542;0.169904
18818;0.232749;0.167102;0.172351
19753;0.235831;0.17044;0.172368
20734;0.24043;0.174483;0.175535
21764;0.24306;0.183358;0.175311
22845;0.247456;0.188175;0.180585
23980;0.252037;0.197611;0.179944
25171;0.261258;0.171846;0.178912
26421;0.236466;0.177936;0.179778
27733;0.248574;0.187699;0.185368
29110;0.253251;0.198707;0.189533
30555;0.257606;0.21002;0.193438
32072;0.259326;0.211006;0.196264
33664;0.266718;0.220602;0.200314
35335;0.269353;0.226202;0.20368
37089;0.275075;0.230948;0.205387
38930;0.280182;0.243804;0.211193
40863;0.28612;0.241781;0.21223
42892;0.288318;0.252576;0.216139
45022;0.293251;0.262496;0.220851
47258;0.295872;0.265251;0.224072
49605;0.303437;0.197957;0.200862
52069;0.28306;0.209981;0.207416
54656;0.284053;0.209395;0.205486
57372;0.289301;0.218535;0.2122
60223;0.293631;0.225257;0.216374
63216;0.296835;0.228749;0.218697
66358;0.301969;0.23378;0.219195
69657;0.306903;0.234572;0.221268
73120;0.312942;0.240995;0.223166
76756;0.31694;0.244848;0.225622
80573;0.318491;0.248212;0.228892
84580;0.325571;0.251002;0.229322
88787;0.332089;0.255698;0.232588
93204;0.337256;0.261817;0.235226
97841;0.342961;0.265761;0.238483
102709;0.352642;0.23139;0.216695
107820;0.300966;0.23483;0.218869
113186;0.303548;0.241077;0.222118
118820;0.309051;0.246078;0.225194
124735;0.312312;0.250179;0.228314
130945;0.315077;0.256068;0.229991
137465;0.319709;0.25611;0.231779
144311;0.32244;0.263613;0.233492
151499;0.326547;0.271596;0.237911
159046;0.330497;0.279406;0.242551
166970;0.335689;0.284003;0.243972
175290;0.340015;0.28854;0.246908
184026;0.346984;0.292959;0.248933
193198;0.351675;0.298114;0.252627
202828;0.357361;0.261121;0.238168
212939;0.322947;0.264823;0.240838
223555;0.324233;0.268385;0.239772
234701;0.333859;0.275899;0.243325
246404;0.344881;0.27884;0.247333
258692;0.350493;0.284365;0.249089
271594;0.358441;0.291529;0.252668
285141;0.370657;0.297521;0.256741
299365;0.382226;0.304879;0.260488
314300;0.395902;0.313843;0.267999
329981;0.411123;0.320216;0.268609
346446;0.425945;0.326355;0.273908
363734;0.4511;0.337739;0.279212
381886;0.473147;0.350393;0.287755
400945;0.502466;0.306533;0.278752
420956;0.529908;0.330843;0.283748
441967;0.566134;0.337469;0.29321
464028;0.584909;0.349553;0.294183
487192;0.623307;0.379604;0.31177
511514;0.671847;0.39793;0.320076
537052;0.711577;0.425502;0.328868
563866;0.754536;0.441942;0.34877
592020;0.801245;0.468056;0.364354
621581;0.853806;0.499872;0.38072
652620;0.903629;0.532359;0.394709
685210;0.943774;0.568933;0.412067
719429;0.994601;0.601132;0.43833
755358;1.05854;0.644938;0.470398
793083;1.10619;0.664275;0.608276
832694;1.11175;0.697029;0.636653
874285;1.15686;0.729721;0.661107
917955;1.19165;0.759844;0.68977
963808;1.23048;0.792601;0.719951
1011953;1.27732;0.827631;0.752419
1062505;1.32179;0.86115;0.77949
1115584;1.35505;0.898636;0.81492
1171316;1.3965;0.934625;0.842966
1229834;1.43143;0.966498;0.873717
1291277;1.47734;1.00716;0.904033
1355792;1.52053;1.03977;0.937373
1423532;1.56127;1.07297;0.968137
1494659;1.59672;1.11531;0.99699
1569342;1.65148;1.15242;1.02443
1647759;1.49966;1.02985;1.08608
1730096;1.52317;1.05449;1.108
1816549;1.5527;1.08362;1.12832
1907324;1.58387;1.11041;1.14704
2002637;1.60892;1.1341;1.17109
2102715;1.6461;1.16679;1.19891
2207796;1.67741;1.1992;1.22064
2318131;1.70902;1.22463;1.24193
2433982;1.73705;1.26071;1.27032
2555625;1.7747;1.2922;1.29365
2683350;1.81029;1.32228;1.31755
2817461;1.83563;1.36202;1.34333
2958277;1.87569;1.39538;1.36832
Scattered unsuccessful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.215068;0.148531;0.129945
10500;0.224002;0.152191;0.133294
11025;0.231897;0.15944;0.134567
11576;0.240335;0.166428;0.136113
12154;0.252607;0.174479;0.139906
12760;0.263118;0.136623;0.129947
13396;0.180878;0.138835;0.131998
14063;0.186499;0.147997;0.134024
14763;0.194346;0.151913;0.136674
15498;0.202724;0.155753;0.1391
16269;0.209958;0.16268;0.141555
17078;0.218059;0.169104;0.143505
17927;0.228047;0.177102;0.145094
18818;0.235877;0.183758;0.149607
19753;0.24702;0.193599;0.153146
20734;0.259736;0.202326;0.156369
21764;0.268616;0.210516;0.161491
22845;0.280459;0.218592;0.164824
23980;0.294212;0.229918;0.169027
25171;0.306947;0.175547;0.155624
26421;0.219387;0.183548;0.158416
27733;0.226901;0.190131;0.161432
29110;0.234582;0.194187;0.16441
30555;0.241783;0.200983;0.167368
32072;0.250352;0.208253;0.171396
33664;0.25798;0.212827;0.174054
35335;0.266904;0.219039;0.177693
37089;0.276848;0.225879;0.181472
38930;0.285658;0.233303;0.184874
40863;0.296812;0.238735;0.188517
42892;0.305919;0.248185;0.19294
45022;0.318583;0.254369;0.197978
47258;0.330128;0.264424;0.201972
49605;0.341916;0.19438;0.174314
52069;0.238178;0.200649;0.177615
54656;0.243954;0.205455;0.180177
57372;0.252023;0.211006;0.182982
60223;0.257959;0.216746;0.186456
63216;0.266991;0.223056;0.18993
66358;0.274631;0.228664;0.192371
69657;0.282548;0.232832;0.195499
73120;0.290768;0.239432;0.198923
76756;0.300351;0.24658;0.202707
80573;0.310952;0.254009;0.207464
84580;0.322043;0.261269;0.210191
88787;0.331882;0.268699;0.215062
93204;0.342179;0.277063;0.219455
97841;0.352812;0.285259;0.224566
102709;0.366988;0.207292;0.179428
107820;0.252848;0.212243;0.182016
113186;0.260397;0.217346;0.185116
118820;0.266138;0.223522;0.188814
124735;0.274831;0.229299;0.191831
130945;0.283294;0.235951;0.195635
137465;0.290985;0.240655;0.198489
144311;0.30111;0.247679;0.201759
151499;0.31023;0.255061;0.205839
159046;0.322417;0.261084;0.20956
166970;0.331246;0.267286;0.212958
175290;0.342104;0.276684;0.217326
184026;0.352529;0.284587;0.220689
193198;0.36409;0.293128;0.226434
202828;0.376484;0.227206;0.194342
212939;0.279103;0.232892;0.195563
223555;0.289407;0.241343;0.200436
234701;0.301391;0.249938;0.20457
246404;0.313449;0.259747;0.210232
258692;0.335019;0.269709;0.214342
271594;0.34947;0.279855;0.219902
285141;0.365967;0.295407;0.227277
299365;0.383022;0.30838;0.232534
314300;0.406594;0.325676;0.239323
329981;0.434015;0.346606;0.247992
346446;0.475357;0.37655;0.259784
363734;0.511794;0.401459;0.270036
381886;0.55188;0.431158;0.283226
400945;0.606189;0.387163;0.253849
420956;0.547965;0.417777;0.26923
441967;0.592932;0.448519;0.282731
464028;0.638006;0.487234;0.300284
487192;0.691145;0.523933;0.320371
511514;0.745291;0.564334;0.338859
537052;0.805387;0.60965;0.361534
563866;0.866165;0.65377;0.389266
592020;0.928671;0.700098;0.417747
621581;0.994198;0.753103;0.44418
652620;1.06719;0.805762;0.472464
685210;1.14088;0.862856;0.506475
719429;1.21704;0.914199;0.5384
755358;1.29982;0.990546;0.578135
793083;1.38621;0.816674;0.57177
832694;1.07338;0.850148;0.594475
874285;1.12069;0.887092;0.619065
917955;1.16296;0.920827;0.643734
963808;1.2172;0.961013;0.672355
1011953;1.27718;0.999186;0.694174
1062505;1.33229;1.04181;0.724968
1115584;1.37644;1.0832;0.752501
1171316;1.42283;1.12985;0.780054
1229834;1.47509;1.17343;0.807856
1291277;1.54165;1.22043;0.839453
1355792;1.61091;1.27459;0.872164
1423532;1.68465;1.30939;0.903656
1494659;1.7591;1.35768;0.941133
1569342;1.8436;1.41328;0.972856
1647759;1.28545;1.05947;0.853615
1730096;1.33007;1.1026;0.876393
1816549;1.37641;1.1247;0.89769
1907324;1.43022;1.14668;0.919471
2002637;1.47997;1.18611;0.944832
2102715;1.5358;1.22075;0.972952
2207796;1.59565;1.26225;0.997664
2318131;1.65572;1.30616;1.02689
2433982;1.71867;1.34496;1.05818
2555625;1.78653;1.39605;1.08719
2683350;1.85832;1.43869;1.11768
2817461;1.93122;1.49108;1.15053
2958277;2.00944;1.54197;1.1845
Scattered successful lookup, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.376126;0.275006;0.203745
10500;0.38702;0.28312;0.210156
11025;0.409774;0.301058;0.21854
11576;0.41486;0.310072;0.223711
12154;0.423016;0.31503;0.229775
12760;0.434573;0.342783;0.23812
13396;0.447498;0.349295;0.24847
14063;0.4636;0.368358;0.26065
14763;0.476871;0.385308;0.274412
15498;0.49442;0.289532;0.208395
16269;0.336253;0.289258;0.209843
17078;0.353527;0.302577;0.220995
17927;0.355841;0.317673;0.224061
18818;0.378148;0.333084;0.2318
19753;0.388801;0.349264;0.239119
20734;0.408972;0.364528;0.246368
21764;0.427136;0.369239;0.248626
22845;0.445597;0.397449;0.257816
23980;0.454932;0.418821;0.270339
25171;0.479955;0.437699;0.279105
26421;0.495059;0.462456;0.287661
27733;0.532786;0.489762;0.304795
29110;0.551363;0.511062;0.313398
30555;0.575971;0.53674;0.325117
32072;0.608875;0.316538;0.222589
33664;0.413765;0.323978;0.22734
35335;0.423718;0.34618;0.238248
37089;0.45053;0.355141;0.241783
38930;0.473207;0.376083;0.248122
40863;0.493133;0.390181;0.25769
42892;0.511249;0.408879;0.266967
45022;0.517426;0.418464;0.270895
47258;0.541742;0.440135;0.281084
49605;0.562789;0.461107;0.292057
52069;0.590414;0.497969;0.310744
54656;0.612136;0.511202;0.314583
57372;0.635272;0.550008;0.339993
60223;0.680694;0.577595;0.347812
63216;0.701519;0.381575;0.271044
66358;0.467064;0.400321;0.284464
69657;0.493862;0.421429;0.291908
73120;0.510148;0.434557;0.299746
76756;0.522891;0.460303;0.308402
80573;0.544795;0.466679;0.311295
84580;0.549219;0.483647;0.325457
88787;0.570019;0.511602;0.337897
93204;0.590178;0.529227;0.345268
97841;0.610962;0.554086;0.353241
102709;0.633415;0.574028;0.358992
107820;0.648689;0.593732;0.376275
113186;0.678103;0.628835;0.393647
118820;0.699373;0.654591;0.410525
124735;0.722553;0.439581;0.313673
130945;0.505725;0.456922;0.324772
137465;0.521333;0.473401;0.331267
144311;0.53417;0.48798;0.335992
151499;0.551304;0.505082;0.345725
159046;0.56918;0.520256;0.354433
166970;0.583237;0.540085;0.360433
175290;0.601378;0.558834;0.371189
184026;0.619702;0.575918;0.376798
193198;0.640711;0.601433;0.393392
202828;0.651525;0.619354;0.402121
212939;0.678666;0.648258;0.411611
223555;0.698786;0.667932;0.423758
234701;0.728774;0.697405;0.436919
246404;0.750917;0.435826;0.325511
258692;0.536895;0.456669;0.329273
271594;0.558502;0.480766;0.342473
285141;0.582986;0.503603;0.352621
299365;0.605424;0.524768;0.362502
314300;0.633941;0.551459;0.372545
329981;0.652408;0.573256;0.38169
346446;0.68818;0.609134;0.397321
363734;0.728282;0.645774;0.407071
381886;0.76278;0.681978;0.431012
400945;0.814404;0.722566;0.437006
420956;0.870661;0.768779;0.456577
441967;0.931124;0.828696;0.477964
464028;1.00898;0.898902;0.496549
487192;1.10276;0.979158;0.530058
511514;1.19788;0.662585;0.403224
537052;0.900219;0.719086;0.414568
563866;0.971887;0.776933;0.434163
592020;1.06282;0.863914;0.456393
621581;1.15257;0.947722;0.481833
652620;1.27114;1.066;0.517391
685210;1.3914;1.17785;0.557782
719429;1.5307;1.30326;0.601638
755358;1.66978;1.44372;0.652141
793083;1.81892;1.59146;0.708363
832694;1.96411;1.74633;0.766766
874285;2.1198;1.91659;0.836024
917955;2.29924;2.09441;0.916684
963808;2.46925;2.30801;1.00894
1011953;2.66083;1.35051;0.742718
1062505;1.87408;1.45628;0.788695
1115584;1.98382;1.55127;0.859085
1171316;2.09938;1.66894;0.922005
1229834;2.23667;1.78471;0.963092
1291277;2.35836;1.91006;1.04298
1355792;2.48406;2.04572;1.11307
1423532;2.62002;2.19416;1.17416
1494659;2.75285;2.34545;1.23848
1569342;2.91259;2.49573;1.33071
1647759;3.08072;2.66016;1.40753
1730096;3.23671;2.85205;1.48369
1816549;3.41227;3.03518;1.57029
1907324;3.57797;3.20378;1.66841
2002637;3.7663;1.95382;1.3296
2102715;2.58101;2.06217;1.36852
2207796;2.67882;2.18043;1.42979
2318131;2.7914;2.28706;1.4862
2433982;2.91387;2.40422;1.54483
2555625;3.03016;2.52611;1.60307
2683350;3.15207;2.65516;1.68611
2817461;3.28425;2.79532;1.76339
2958277;3.40269;2.93064;1.81928
Scattered unsuccessful lookup, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.57806;0.397321;0.232994
10500;0.605432;0.418519;0.247473
11025;0.62934;0.438539;0.257324
11576;0.660898;0.463825;0.269656
12154;0.685654;0.480877;0.278032
12760;0.716819;0.503994;0.282596
13396;0.746873;0.517808;0.290915
14063;0.776934;0.543021;0.300862
14763;0.818179;0.571313;0.313149
15498;0.84444;0.370749;0.2252
16269;0.524897;0.390872;0.235234
17078;0.544291;0.413077;0.242356
17927;0.572085;0.436626;0.249973
18818;0.601584;0.464909;0.260878
19753;0.641173;0.493042;0.273501
20734;0.674504;0.525928;0.284114
21764;0.714998;0.562297;0.295899
22845;0.756114;0.591252;0.307805
23980;0.793351;0.625956;0.319809
25171;0.835182;0.659883;0.329739
26421;0.874657;0.696616;0.344501
27733;0.919453;0.732209;0.355677
29110;0.966215;0.765779;0.372471
30555;1.01093;0.801932;0.387172
32072;1.05156;0.502552;0.271909
33664;0.657969;0.522172;0.277606
35335;0.694065;0.556838;0.293476
37089;0.731021;0.59025;0.302961
38930;0.766213;0.622379;0.314038
40863;0.801809;0.654759;0.321671
42892;0.835615;0.688683;0.335799
45022;0.881105;0.723742;0.346851
47258;0.917696;0.760575;0.357873
49605;0.968916;0.796536;0.371229
52069;1.00715;0.829708;0.384085
54656;1.0535;0.867284;0.403411
57372;1.10237;0.911938;0.41643
60223;1.15471;0.94837;0.434658
63216;1.20185;0.560821;0.32165
66358;0.724912;0.58164;0.333413
69657;0.759384;0.613676;0.345806
73120;0.791435;0.644729;0.359715
76756;0.832836;0.676901;0.371859
80573;0.867127;0.709417;0.380484
84580;0.910618;0.748128;0.398363
88787;0.952391;0.78494;0.411841
93204;0.993523;0.821227;0.429144
97841;1.03887;0.85974;0.435909
102709;1.08103;0.901572;0.455032
107820;1.13238;0.936004;0.470079
113186;1.17647;0.978666;0.487444
118820;1.22855;1.0121;0.504908
124735;1.27462;0.584044;0.349083
130945;0.75403;0.613966;0.367245
137465;0.784658;0.642272;0.379637
144311;0.823194;0.672035;0.390224
151499;0.857397;0.708793;0.406417
159046;0.896812;0.743682;0.420885
166970;0.936302;0.778536;0.433921
175290;0.975095;0.816859;0.450324
184026;1.0183;0.855844;0.461861
193198;1.06641;0.893683;0.479377
202828;1.115;0.933645;0.493
212939;1.16191;0.974272;0.508165
223555;1.20621;1.01387;0.525391
234701;1.25916;1.05282;0.539659
246404;1.29987;0.607043;0.38147
258692;0.799216;0.650258;0.394724
271594;0.848828;0.69506;0.415446
285141;0.903089;0.746595;0.433541
299365;0.958547;0.789768;0.452388
314300;1.02323;0.84839;0.472349
329981;1.09417;0.909986;0.493017
346446;1.16934;0.97794;0.516705
363734;1.26805;1.06788;0.540849
381886;1.38356;1.16383;0.575899
400945;1.50071;1.26937;0.598578
420956;1.61995;1.3743;0.631021
441967;1.75787;1.49214;0.663658
464028;1.95354;1.66526;0.701531
487192;2.18927;1.87612;0.78463
511514;2.42738;1.15479;0.538212
537052;1.59716;1.30024;0.583594
563866;1.78148;1.45686;0.630985
592020;2.006;1.64804;0.697453
621581;2.23876;1.85166;0.764607
652620;2.49342;2.07448;0.850516
685210;2.77306;2.31668;0.927285
719429;3.05198;2.57034;1.01661
755358;3.36758;2.8378;1.11286
793083;3.68505;3.12473;1.21257
832694;4.03381;3.42761;1.3173
874285;4.39713;3.73559;1.42658
917955;4.76804;4.06151;1.56088
963808;5.16276;4.39212;1.69572
1011953;5.55754;2.49791;1.16841
1062505;3.28182;2.67247;1.23815
1115584;3.4979;2.87017;1.33838
1171316;3.71503;3.05228;1.42318
1229834;3.9696;3.27852;1.48927
1291277;4.2428;3.52162;1.59689
1355792;4.53459;3.78932;1.68933
1423532;4.85058;4.06087;1.79549
1494659;5.1489;4.34876;1.87235
1569342;5.49402;4.65587;2.00207
1647759;5.85712;4.97218;2.11051
1730096;6.22108;5.29657;2.22635
1816549;6.6194;5.63773;2.34741
1907324;7.00616;5.99403;2.47155
2002637;7.44232;3.18188;1.6784
2102715;4.21421;3.42344;1.74633
2207796;4.44995;3.60499;1.83198
2318131;4.70166;3.8527;1.92432
2433982;4.96879;4.09676;2.00609
2555625;5.26014;4.36793;2.09994
2683350;5.55877;4.64495;2.22045
2817461;5.87917;4.94003;2.33071
2958277;6.2109;5.25896;2.42555
