cset: --> last message, executed args into cpuset "/user", new pid is: 1713919
No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.589663;0.502737;0.477886
10500;0.6031;0.507585;0.479688
11025;0.594659;0.512018;0.483628
11576;0.59884;0.516358;0.491371
12154;0.598048;0.521624;0.497274
12760;0.604201;0.485349;0.460239
13396;0.605006;0.488232;0.463869
14063;0.605725;0.492837;0.470609
14763;0.609432;0.49809;0.477259
15498;0.6124;0.501886;0.48321
16269;0.616309;0.504548;0.488067
17078;0.616265;0.509688;0.492946
17927;0.617871;0.518823;0.499148
18818;0.621341;0.525114;0.50588
19753;0.62446;0.532006;0.512302
20734;0.626164;0.537973;0.516895
21764;0.633231;0.535639;0.521648
22845;0.63767;0.542071;0.531696
23980;0.637827;0.547977;0.537218
25171;0.644461;0.518911;0.497815
26421;0.651903;0.524407;0.503323
27733;0.653921;0.527516;0.509221
29110;0.656424;0.532277;0.51449
30555;0.658155;0.536954;0.520002
32072;0.666853;0.541788;0.528257
33664;0.665661;0.547155;0.532928
35335;0.665883;0.554445;0.54196
37089;0.672327;0.559118;0.54844
38930;0.675958;0.565595;0.555965
40863;0.683193;0.574852;0.563005
42892;0.68321;0.58075;0.570737
45022;0.689157;0.587702;0.581217
47258;0.688682;0.590554;0.588518
49605;0.69465;0.550862;0.535617
52069;0.695862;0.553994;0.54146
54656;0.700537;0.557724;0.54584
57372;0.700761;0.563117;0.552565
60223;0.701972;0.569148;0.558049
63216;0.706284;0.574967;0.56507
66357;0.704756;0.588143;0.572372
69656;0.711933;0.582363;0.578914
73119;0.714694;0.588958;0.585216
76755;0.712721;0.594474;0.59364
80572;0.718512;0.601479;0.602233
84579;0.718806;0.607776;0.609911
88786;0.722004;0.62208;0.618817
93203;0.720938;0.621089;0.627643
97840;0.72551;0.628082;0.635954
102706;0.726534;0.574958;0.55541
107816;0.728233;0.580871;0.560513
113182;0.730104;0.582707;0.565944
118816;0.73274;0.585383;0.57168
124731;0.73552;0.600876;0.578258
130941;0.738044;0.597279;0.584963
137461;0.7384;0.602645;0.592389
144307;0.735693;0.609665;0.599819
151495;0.741405;0.615904;0.607601
159042;0.742009;0.6218;0.615678
166965;0.744653;0.628091;0.624017
175284;0.745807;0.634165;0.632861
184019;0.74655;0.658148;0.641677
193190;0.747459;0.648315;0.650605
202820;0.746126;0.593291;0.572467
212931;0.750484;0.594102;0.57897
223547;0.753061;0.600067;0.585464
234692;0.752406;0.607145;0.593206
246395;0.75743;0.612793;0.600982
258683;0.75995;0.618791;0.609197
271585;0.755702;0.625693;0.618681
285132;0.761503;0.632771;0.628815
299354;0.76893;0.644297;0.639529
314289;0.773103;0.65312;0.652029
329969;0.777874;0.660798;0.663648
346432;0.785025;0.67705;0.678067
363719;0.794827;0.682464;0.694396
381870;0.807378;0.6973;0.711885
400928;0.819108;0.701635;0.688432
420937;0.835885;0.7165;0.702961
441947;0.852786;0.728577;0.719561
464005;0.873112;0.745139;0.73776
487165;0.898962;0.761281;0.7573
511485;0.92645;0.780117;0.778513
537019;0.951273;0.798563;0.803689
563827;0.979589;0.820986;0.828123
591977;1.01471;0.844188;0.853033
621532;1.04853;0.868752;0.881999
652567;1.08646;0.8958;0.910548
685151;1.12742;0.924118;0.941977
719359;1.16581;0.954506;0.975348
755280;1.20663;0.986127;1.01195
792997;1.2463;1.15614;1.11071
832595;1.2891;1.19678;1.13746
874177;1.32411;1.18983;1.16613
917832;1.3671;1.18942;1.19607
963677;1.40841;1.21721;1.22624
1011813;1.44754;1.27797;1.25738
1062351;1.48783;1.28302;1.28951
1115422;1.52833;1.31801;1.32622
1171143;1.57179;1.34368;1.36029
1229634;1.61157;1.37627;1.3995
1291062;1.65281;1.4139;1.44013
1355554;1.69655;1.44687;1.48358
1423274;1.73825;1.48423;1.52804
1494380;1.77959;1.52263;1.5741
1569031;1.81704;1.56196;1.62409
1647417;1.85676;1.66002;1.66312
1729734;1.89323;1.67433;1.69378
1816153;1.93108;1.69363;1.7261
1906885;1.96896;1.71744;1.76013
2002164;2.00765;1.74746;1.79553
2102198;2.03651;1.77221;1.8324
2207233;2.07313;1.79699;1.87111
2317508;2.10364;1.82974;1.91192
2433290;2.13631;1.86138;1.95501
2554854;2.1676;1.89672;1.9999
2682511;2.19664;1.92978;2.04537
2816546;2.22843;1.96277;2.09248
2957287;2.25201;1.99903;2.14271
Runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.82908;0.7295;0.722804
10500;0.828533;0.720808;0.715438
11025;0.82208;0.714036;0.708594
11576;0.818014;0.708373;0.703716
12154;0.815972;0.70428;0.699836
12760;0.816303;0.858587;0.864883
13396;0.918701;0.844157;0.847379
14063;0.904501;0.831853;0.8346
14763;0.896707;0.82016;0.822352
15498;0.889182;0.808949;0.810962
16269;0.878889;0.798324;0.802393
17078;0.874932;0.789309;0.791321
17927;0.872956;0.781633;0.786448
18818;0.868979;0.774676;0.778358
19753;0.86394;0.769174;0.771979
20734;0.865767;0.763273;0.766399
21764;0.86434;0.758605;0.765102
22845;0.865482;0.753804;0.758678
23980;0.864061;0.750037;0.756534
25171;0.866453;0.924914;0.939917
26421;0.9804;0.910865;0.928251
27733;0.969664;0.898042;0.911471
29110;0.958634;0.884252;0.899543
30555;0.952917;0.871997;0.887167
32072;0.944429;0.861025;0.875215
33664;0.938966;0.851962;0.865435
35335;0.934533;0.844097;0.857137
37089;0.930029;0.8358;0.850825
38930;0.928202;0.828738;0.843285
40863;0.923589;0.822876;0.837845
42892;0.922314;0.817775;0.832849
45022;0.923123;0.813605;0.829284
47258;0.923044;0.809587;0.827679
49605;0.926043;0.993615;1.02704
52069;1.05333;0.976567;1.00948
54656;1.03998;0.960175;0.993195
57372;1.02915;0.946269;0.978426
60223;1.01851;0.932474;0.965557
63216;1.01058;0.920519;0.952241
66357;1.00353;0.909824;0.940405
69656;0.996545;0.899438;0.930758
73119;0.990954;0.889874;0.922199
76755;0.98578;0.88205;0.914208
80572;0.983179;0.874518;0.906836
84579;0.982169;0.868072;0.900456
88786;0.979633;0.862465;0.895609
93203;0.980225;0.857338;0.892933
97840;0.977608;0.8532;0.888968
102706;0.979593;1.02998;1.07982
107816;1.09932;1.012;1.05992
113182;1.08458;0.99498;1.04087
118816;1.07222;0.979956;1.02454
124731;1.0617;0.966134;1.01048
130941;1.05125;0.953533;0.995438
137461;1.04386;0.942143;0.983861
144307;1.03676;0.931686;0.972434
151495;1.03169;0.922359;0.96386
159042;1.02748;0.913919;0.954368
166965;1.02028;0.906567;0.947452
175284;1.02034;0.899431;0.940551
184019;1.01636;0.893522;0.935545
193190;1.01701;0.888266;0.930641
202820;1.01882;1.08894;1.15051
212931;1.15933;1.06989;1.13066
223547;1.14364;1.05258;1.11095
234692;1.13058;1.0369;1.09338
246395;1.12094;1.02193;1.08293
258683;1.11236;1.0101;1.06972
271585;1.10661;0.999921;1.05875
285132;1.10148;0.990845;1.04561
299354;1.09898;0.986571;1.03539
314289;1.09788;0.980422;1.03606
329969;1.10116;0.976639;1.03101
346432;1.10762;0.973214;1.02592
363719;1.1142;0.971698;1.02244
381870;1.12258;0.974959;1.02782
400928;1.13472;1.46444;1.53852
420937;1.48958;1.44244;1.52258
441947;1.48304;1.42259;1.50617
464005;1.48226;1.40473;1.48907
487165;1.48547;1.38961;1.47306
511485;1.49549;1.38563;1.47012
537019;1.51099;1.3781;1.46541
563827;1.53111;1.37134;1.45895
591977;1.55297;1.37117;1.45375
621532;1.57811;1.37129;1.45437
652567;1.60719;1.37513;1.45728
685151;1.63966;1.38237;1.46444
719359;1.67479;1.39243;1.46994
