Scattered erasure:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;41.3874;18.4501;25.804
10500;41.8296;18.7568;26.4609
11025;42.3721;19.0538;26.9271
11576;42.8043;19.351;27.3378
12154;43.3649;19.7383;28.0115
12760;44.0119;18.0831;28.5435
13396;41.4196;18.3094;28.7841
14063;41.8583;18.5;29.4895
14763;42.6698;18.6997;29.6818
15498;42.8043;18.8838;30.5177
16269;43.6381;19.1041;30.7189
17078;43.82;19.3713;31.2421
17927;44.4912;19.6121;31.9607
18818;45.0092;19.8712;32.6826
19753;45.7747;20.1566;32.9407
20734;46.1889;20.3909;33.7476
21764;46.8594;20.6904;34.1142
22845;47.2997;20.9636;34.8509
23980;48.23;21.2571;35.4474
25171;48.5212;19.0758;35.5936
26421;46.6512;19.2655;36.1423
27733;47.2116;19.453;36.5733
29110;47.4958;19.6623;36.9255
30555;48.0771;19.8694;37.2465
32072;48.5822;20.0762;37.7128
33664;48.8894;20.2886;37.9346
35335;49.2581;20.5247;38.3022
37089;49.7552;20.7538;38.6527
38930;50.0283;21.0343;39.0133
40863;50.5827;21.2478;39.5051
42892;50.985;21.4839;39.8152
45022;51.5768;21.7588;40.0851
47258;52.1208;21.992;40.3587
49605;52.5751;19.5053;40.3645
52069;50.13;19.6532;40.6027
54656;50.3877;19.8671;40.9849
57372;50.5938;20.0964;41.0168
60223;50.9906;20.2867;41.2861
63216;51.2893;20.498;41.5572
66357;51.5229;20.6592;41.7401
69656;51.8396;20.9138;42.0247
73119;51.7859;21.0593;42.2305
76755;52.5186;21.3215;42.558
80572;52.945;21.5704;42.5879
84579;53.3286;21.8406;42.8914
88786;53.8518;22.1053;43.4253
93203;54.2096;22.5484;43.6654
97840;54.7182;22.7916;43.653
102706;55.0888;20.0704;43.2603
107816;52.0828;20.3736;43.2659
113182;52.2656;20.4122;43.4517
118816;52.5151;20.7368;43.5059
124731;52.8071;20.9876;43.74
130941;52.998;21.4583;43.8744
137461;53.3127;21.9854;44.0745
144307;53.6079;22.8976;44.7185
151495;54.1808;22.8778;44.6314
159042;54.4486;23.7541;44.6987
166965;54.7835;23.7871;45.3176
175284;55.4136;25.6826;45.8294
184019;56.269;26.7191;46.1712
193190;57.0178;27.364;46.9073
202820;57.7955;31.9676;50.9703
212931;61.3965;33.1514;50.5223
223547;62.1205;35.1912;53.2474
234692;64.8858;37.3558;53.5208
246395;65.8085;38.2909;54.9376
258683;67.5977;41.8155;56.12
271585;69.4574;44.0556;59.5549
285132;72.9188;46.3253;62.0658
299354;75.6979;48.4201;64.4411
314289;78.4282;51.1326;67.563
329969;83.6495;53.7721;72.414
346432;89.5603;56.0847;74.7894
363719;92.1127;58.3164;79.2115
381870;98.7159;60.3787;84.2679
400928;104.331;71.8567;114.986
420937;138.772;73.3604;122.067
441947;146.467;74.9093;126.083
464005;152.523;76.3028;132.501
487165;159.24;77.7654;137.433
511485;164.316;79.0046;143.876
537019;171.419;80.4756;149.409
563827;176.864;81.6795;154.12
591977;183.302;83.1636;160.005
621532;189.151;84.2637;165.516
652567;194.599;85.5019;170.212
685151;199.384;86.8255;175.65
719359;205.866;88.6124;181.205
755280;210.653;90.0759;185.919
792997;216.116;90.2854;210.127
832595;240.689;90.7054;212.639
874177;244.605;91.4994;214.832
917832;248.697;92.6121;220.595
963677;251.472;93.4184;223.472
1011813;254.586;94.5175;225.684
1062351;258.544;95.5232;229.144
1115422;261.527;96.9475;234.004
1171143;265.952;98.2381;236.3
1229634;268.728;99.1345;238.534
1291062;271.995;100.123;241.896
1355554;274.951;100.853;242.462
1423274;276.616;102.072;247.339
1494380;280.869;103.539;249.613
1569031;284.1;104.945;252.344
1647417;293.102;98.3563;262.715
1729734;294.064;99.2658;263.521
1816153;295.207;99.8557;265.778
1906885;297.161;100.778;266.672
2002164;298.99;101.509;266.856
2102198;300.22;102.441;268.699
2207233;302.304;103.205;269.928
2317508;304.72;104.748;272.249
2433290;306.113;105.582;274.625
2554854;308.321;106.671;275.704
2682511;309.708;107.473;277.347
2816546;311.784;108.76;279.113
2957287;313.709;109.949;281.361
