Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;20.3608;14.3256;17.398
10500;20.974;14.9998;17.9014
11025;21.6826;16.0515;18.4325
11576;22.4412;16.7759;18.9807
12154;23.1131;17.5574;19.5117
12760;23.9401;12.7985;16.6384
13396;19.3852;13.4889;16.9771
14063;19.8538;14.0639;17.3109
14763;20.557;14.8427;17.8771
15498;20.9799;15.5159;18.2054
16269;21.6312;16.1504;18.6023
17078;22.3299;16.9149;19.2258
17927;23.0309;17.5896;19.6551
18818;23.8164;18.2801;20.2784
19753;24.6236;18.9829;20.9075
20734;25.3124;19.6621;21.52
21764;25.9326;20.2102;22.0812
22845;26.5889;20.8165;22.5205
23980;27.3006;21.3855;23.1185
25171;27.8979;16.9653;19.1034
26421;22.8;17.4479;19.6044
27733;23.2195;17.9317;20.0476
29110;23.6362;18.4067;20.4842
30555;24.197;18.8956;21.0493
32072;24.7141;19.355;21.4757
33664;25.1931;19.865;21.9977
35335;25.7276;20.4237;22.5154
37089;26.2206;20.9707;23.1269
38930;26.7816;21.4721;23.5558
40863;27.3328;21.9626;24.1196
42892;27.8772;22.4416;24.5776
45022;28.3998;22.9038;25.0495
47258;28.9642;23.3843;25.5728
49605;29.5853;18.3383;20.4958
52069;24.1204;18.6794;20.8755
54656;24.491;19.0406;21.2363
57372;24.9184;19.4939;21.7405
60223;25.3254;19.8803;22.1579
63216;25.7548;20.307;22.6459
66358;26.1909;20.7675;23.1243
69657;26.7076;21.2208;23.5637
73120;27.2333;21.699;24.0315
76756;27.7748;22.2354;24.5755
80573;28.3255;22.7283;25.064
84580;28.8799;23.2495;25.5719
88787;29.48;23.7104;26.0829
93204;30.0423;24.1475;26.5405
97841;30.6631;24.5695;26.9909
102709;31.1713;19.2073;20.5835
107820;25.1818;19.5439;20.9684
113186;25.5727;19.8953;21.3626
118820;25.9572;20.2978;21.7478
124735;26.369;20.7209;22.212
130945;26.8333;21.1567;22.6339
137465;27.2775;21.6353;23.0861
144311;27.7388;22.1117;23.5766
151499;28.333;22.5964;24.0644
159046;28.9191;23.1116;24.5568
166970;29.497;23.644;25.0828
175290;30.0938;24.13;25.5587
184026;30.6695;24.5625;26.0408
193198;31.2694;25.0318;26.5183
202828;31.8424;19.9679;21.4135
212939;27.4748;20.3672;21.9366
223555;28.1636;20.9878;22.481
234701;29.19;21.4402;22.9169
246404;29.6811;21.9644;23.5773
258692;30.7643;22.5956;24.3245
271594;31.5786;23.4498;24.7615
285141;32.6811;23.8358;25.4475
299365;34.071;24.7011;26.0979
314300;35.9553;25.741;27.1298
329981;37.761;26.6864;28.2405
346446;39.2146;27.5779;29.0028
363734;41.0548;28.6504;30.0996
381886;43.2717;29.7917;31.368
400945;45.6125;28.4491;29.668
420956;54.5631;29.6724;31.1963
441967;56.0043;31.0436;32.3856
464028;58.1439;32.4355;33.6622
487192;59.6609;33.9386;35.1155
511514;61.9332;35.6709;36.7689
537052;64.531;37.4699;38.8529
563866;66.6446;39.1896;40.6744
592020;68.8896;40.9778;42.6684
621581;71.2397;42.8513;44.2619
652620;73.5998;44.614;46.108
685210;76.105;46.5058;48.072
719429;78.7523;48.4158;50.2558
755358;81.6041;50.3116;52.3504
793083;84.4359;52.2608;53.1942
832694;90.3249;53.3343;54.4402
874285;90.4638;54.5595;55.9708
917955;91.4946;55.9002;56.8663
963808;92.4085;57.2325;58.1685
1011953;93.6142;58.8156;60.1553
1062505;94.8794;60.2291;61.5504
1115584;96.6281;61.7223;63.2541
1171316;98.1349;63.3171;64.7954
1229834;99.7089;64.9306;66.6728
1291277;101.551;66.6357;68.49
1355792;103.989;68.3813;70.4423
1423532;106.301;70.1238;72.5515
1494659;108.741;71.9174;74.8026
1569342;111.363;73.7259;77.0295
1647759;106.62;69.0928;70.1199
1730096;107.153;69.3292;70.5334
1816549;107.3;71.3779;72.7755
1907324;108.734;72.645;74.1158
2002637;109.757;73.9125;75.2186
2102715;110.991;75.3551;76.8258
2207796;112.155;76.7473;78.3057
2318131;113.58;78.2731;79.8161
