Running erasure:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;86.4451;124.729;49.5287;22.8676;39.4053
10500;86.5931;123.296;50.2526;22.2117;39.2941
11025;85.2226;123.148;49.8111;21.7162;38.5165
11576;84.1682;121.823;50.1189;21.4631;38.6517
12154;84.3837;121.741;49.9484;21.1492;38.0793
12760;83.9453;120.537;51.0683;20.6549;37.432
13396;83.1002;119.921;51.0465;20.2229;36.9766
14063;82.1091;118.649;51.9071;27.0053;44.4026
14763;89.8073;127.014;51.1075;26.3377;43.8081
15498;89.9851;126.999;51.5923;26.1386;43.59
16269;89.5376;125.019;52.767;25.2945;43.0519
17078;88.6392;125.802;51.0993;25.06;42.2326
17927;88.1839;126.088;51.023;24.7036;41.6305
18818;87.8976;122.413;52.3791;24.2014;41.3296
19753;87.1769;122.828;52.4619;24.0877;41.5404
20734;86.6583;123.999;52.0389;23.5856;40.9023
21764;85.6354;123.246;52.4958;22.9833;39.8422
22845;85.5213;121.119;52.5238;22.382;39.9739
23980;84.6418;121.539;52.492;22.3749;39.6057
25171;84.0839;121.726;55.007;21.5406;38.4342
26421;83.3141;120.767;55.5838;20.9763;38.1593
27733;82.4893;118.784;53.3908;27.371;45.0289
29110;90.3867;127.442;54.8671;26.759;43.7196
30555;90.029;128.149;55.1534;26.419;44.8894
32072;89.2808;126.873;55.1371;25.8948;43.9947
33664;89.0492;126.608;56.3471;25.4809;43.6189
35335;88.4023;126.188;52.2337;24.9122;41.7953
37089;87.9542;125.146;55.3393;24.5177;43.4117
38930;87.0408;124.48;57.3512;24.0098;41.0724
40863;86.338;124.044;55.7383;23.5424;42.1275
42892;86.1536;123.544;56.5413;23.2356;40.1568
45022;85.6603;125.642;55.4948;22.6798;40.3544
47258;84.9446;123.72;57.5559;22.2421;41.4854
49605;84.2794;125.124;61.9436;21.7705;41.4389
52069;83.5732;122.84;61.4872;21.3076;39.1588
54656;82.7957;118.88;61.4097;27.4852;49.4803
57372;90.1216;128.395;62.3781;27.0055;44.7948
60223;89.9639;128.928;60.0624;26.4479;44.3881
63216;89.5074;134.951;61.0518;25.9293;43.3978
66358;88.7858;127.747;61.9046;25.371;43.0058
69657;88.5495;126.947;59.8995;25.1034;42.2677
73120;87.9547;127.416;65.3437;24.6774;43.0406
76756;87.069;127.622;61.29;24.2534;42.6011
80573;86.7441;130.324;60.5607;23.788;40.7226
84580;86.2177;129.238;65.3029;23.2617;41.5883
88787;85.5774;125.56;63.0092;22.8591;41.1374
93204;84.5215;131.665;60.4321;22.3182;42.8778
97841;84.181;128.462;65.2179;21.842;40.2234
102709;83.4158;125.748;79.1304;21.4537;38.5529
107820;82.5016;127.73;75.5827;27.0398;47.799
113186;81.9683;123.676;75.9521;26.5398;45.2577
118820;90.1257;135.573;68.2719;26.213;44.8686
124735;89.409;135.836;76.6217;25.5564;43.4777
130945;89.0734;126.341;80.6265;25.1806;42.9038
137465;88.499;125.893;78.9586;24.7153;44.0015
144311;87.8434;137.784;74.8477;24.3584;44.2817
151499;87.3009;136.953;72.3072;23.9072;42.1978
159046;87.0031;136.358;65.2599;23.5829;41.2424
166970;86.12;136.478;80.2997;23.1611;40.7334
175290;85.3437;136.536;76.0709;22.7539;40.4844
184026;85.0873;137.295;68.9189;22.3707;43.791
193198;84.1102;122.255;74.9157;21.9636;40.9145
202828;83.6498;136.3;97.2943;21.5138;38.9271
212939;82.8649;136.879;90.8321;21.137;38.3948
223555;81.7594;135.663;91.5439;27.1752;44.8036
234701;90.1575;142.292;82.2832;26.5259;44.9217
246404;89.7667;138.345;88.2938;26.1123;43.8468
258692;89.0951;144.678;89.8746;25.5324;43.3335
271594;88.8523;144.303;87.1807;25.1612;46.8068
285141;88.2626;141.905;72.735;24.5568;43.5162
299365;87.9438;125.174;71.8034;24.0501;42.6208
314300;86.8326;130.685;88.5489;23.6565;41.6165
329981;86.3566;148.232;92.7149;23.2895;41.0084
346446;85.6683;146.184;90.066;22.8484;40.4308
363734;85.122;143.606;81.3954;22.4521;41.2877
381886;84.4596;150.21;77.7308;22.0833;39.662
400945;84.0441;139.42;102.62;21.6399;39.1258
420956;82.8419;141.493;95.7379;21.2405;38.4773
441967;82.0045;144.52;97.4161;26.914;44.8397
464028;90.3556;150.398;97.0324;26.3139;44.1629
487192;90.2427;146.638;95.5917;25.8865;43.7278
511514;89.7773;149.57;82.8475;25.4566;43.7031
537052;89.6623;150.571;81.4049;24.9149;42.6893
563866;88.5539;149.282;79.8419;24.5379;42.3054
592020;87.6892;150.104;99.5053;24.2673;42.3965
621581;87.1025;149.921;105.674;23.8039;41.5768
652620;86.6151;154.983;101.447;23.4246;40.7935
685210;85.8805;148.565;92.2749;22.9928;40.427
719429;85.2269;121.599;86.1333;22.6016;40.1272
755358;84.7699;123.737;86.9947;22.2475;39.8855
793083;84.0133;119.732;95.7773;21.8485;39.1291
832694;83.2164;118.624;90.4095;21.4256;38.6287
874285;82.3335;149.531;92.1265;27.0803;44.6572
917955;90.8042;173.968;88.4094;26.6066;44.2164
963808;90.1097;141.379;88.7017;26.029;43.8045
1011953;89.616;159.13;81.4717;25.4879;43.1965
1062505;88.9842;157.796;80.5185;25.0889;42.6532
