Running insertion:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;55.1739;82.6276;129.683;55.6129;78.2671
10500;53.9366;81.0061;128.986;54.0445;76.658
11025;52.6908;79.3554;126.118;52.6039;74.8898
11576;51.4596;77.4635;124.432;51.448;73.4588
12154;50.2394;75.7102;122.263;50.397;71.9893
12760;49.3912;74.5262;169.311;49.4154;70.713
13396;48.5644;73.3358;167.386;48.8456;69.9744
14063;47.9351;72.7139;162.952;68.1086;98.7128
14763;64.9605;103.68;158.465;66.078;96.2913
15498;63.2066;100.746;154.077;64.0842;93.6157
16269;61.5072;98.0977;152.153;62.1815;91.2849
17078;59.9109;95.6076;148.809;60.3981;89.3342
17927;58.2502;93.4673;146.85;58.7259;87.2086
18818;56.8903;91.7812;144.262;57.1348;85
19753;55.4674;89.6881;141.533;55.624;82.3869
20734;54.0514;86.4594;139.039;54.2504;80.356
21764;52.9266;84.5212;137.31;52.9102;78.7251
22845;51.782;82.4133;135.577;51.7072;76.9055
23980;50.7236;80.754;133.988;50.5763;75.7907
25171;49.7551;79.242;186.033;49.7388;75.1071
26421;49.0665;79.0405;183.482;49.0568;73.6758
27733;48.5614;77.3903;177.08;69.3383;105.509
29110;66.2548;111.06;171.479;66.892;101.38
30555;64.3638;108.077;168.052;65.0289;100.535
32072;62.803;105.988;165.506;63.1185;97.0777
33664;61.1462;102.399;162.868;61.4026;96.1331
35335;59.6421;99.5577;158.49;59.6119;92.0253
37089;58.1083;97.2354;157.207;58.0945;90.0066
38930;56.7959;95.6143;153.607;56.5814;86.5665
40863;55.4094;93.3298;152.418;55.1347;86.7948
42892;54.1449;91.0699;148.851;53.8145;83.4228
45022;53.0131;87.9615;146.402;52.6112;82.3763
47258;51.9526;87.0728;145.692;51.5446;79.2617
49605;51.1411;84.707;203.1;50.6544;79.3233
52069;50.2242;83.9244;199.561;49.9488;77.4258
54656;49.5875;81.7517;194.026;70.51;114.461
57372;67.9534;122.402;192.089;68.4826;108.419
60223;66.274;118.992;185.672;66.4189;106.204
63216;64.509;112.481;181.569;64.5877;102.201
66358;62.9101;110.06;177.941;62.7635;100.357
69657;61.1842;107.862;174.195;61.1683;97.16
73120;59.8441;104.908;170.505;59.4931;97.0756
76756;58.4273;103.38;168.68;57.9046;94.3414
80573;57.0444;100.847;167.61;56.4623;92.0714
84580;55.7803;99.6508;164.379;55.1142;88.1898
88787;54.5195;97.053;161.538;53.8591;86.4309
93204;53.5118;93.6484;155.828;52.7653;84.7411
97841;52.5564;92.2036;155.134;51.9009;85.2828
102709;51.6832;91.5338;239.018;51.1376;84.232
107820;50.966;89.4096;233.324;72.7262;129.802
113186;50.5979;89.8675;229.825;70.7193;118.807
118820;68.4767;131.436;222.162;68.4649;121.373
124735;66.5646;127.266;216.07;66.5455;115.735
130945;64.8801;125.819;211.234;64.6486;111.51
137465;63.1082;121.357;206.357;63.0415;108.673
144311;61.7232;119.462;207.382;61.5344;102.628
151499;60.2876;113.213;203.884;60.0541;102.445
