Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;12.4374;17.4187;25.2951;14.2771;16.7791
10500;12.5097;16.9137;25.9036;14.268;17.0061
11025;12.637;17.6313;26.4519;14.5279;17.5782
11576;13.1201;17.7409;27.139;14.6679;17.4307
12154;13.0657;17.7601;27.4256;14.7745;17.8004
12760;13.1795;18.0483;23.9157;15.1951;18.1193
13396;13.3696;18.0609;24.1301;16.6316;19.3979
14063;13.3047;18.4765;24.664;14.4596;19.9018
14763;14.786;20.2193;25.0775;15.3124;18.9107
15498;14.8223;19.8741;25.3868;14.4608;19.1676
16269;14.6862;19.9182;25.5213;15.3624;18.5024
17078;15.2163;19.8069;26.3642;14.6707;18.8582
17927;14.5839;19.79;26.5219;14.7789;19.7046
18818;14.6593;19.5566;26.9517;14.8799;19.0405
19753;14.7033;19.5665;27.4483;15.0366;19.763
20734;14.107;20.1285;28.4181;15.2792;19.6372
21764;14.9082;20.1026;29.1207;15.7923;19.6293
22845;15.1795;20.2743;29.5274;15.6782;19.955
23980;15.1964;20.4634;30.0255;16.0837;20.4073
25171;15.3131;20.2586;25.8936;16.5456;20.312
26421;15.3768;20.8877;26.0413;16.9972;21.111
27733;15.7634;20.4002;26.1481;16.2012;20.8686
29110;16.8813;21.8194;26.8062;16.1866;20.9351
30555;16.8892;21.2801;26.7564;16.2053;22.0856
32072;16.8888;21.5259;27.8499;16.2444;22.2552
33664;16.9212;21.2205;28.3379;16.4027;21.4882
35335;16.9845;21.9996;28.8516;16.5111;21.4137
37089;16.9836;22.1068;29.4452;17.2535;22.4274
38930;16.9621;21.9372;29.8002;16.8405;21.1102
40863;17.0245;21.5034;30.4965;16.7448;21.3239
42892;17.0904;21.1896;30.6659;16.795;21.2245
45022;17.1343;21.7037;31.5286;17.0521;22.3983
47258;17.1934;22.1691;31.7402;17.633;23.3962
49605;17.2482;22.3146;26.807;18.7144;24.0247
52069;17.4311;22.6823;27.3025;18.6488;23.6781
54656;17.7169;22.9581;27.7032;17.7081;23.9107
57372;18.2259;24.2786;27.9388;17.8418;24.6374
60223;18.3516;23.9986;29.5894;17.7363;23.7617
63216;18.7717;24.3197;29.3021;18.3282;24.7294
66358;18.7097;24.3498;29.5325;18.4938;23.8277
69657;18.7556;24.0933;30.5072;18.3836;23.2684
73120;18.3216;24.1264;31.7384;18.0145;24.6069
76756;18.7984;24.544;31.4441;18.6956;24.0265
80573;18.6625;24.2884;32.1161;18.6925;24.3462
84580;18.7121;24.7216;32.6866;18.7745;23.7207
88787;18.795;24.4014;33.6195;18.7023;24.4258
93204;18.8083;24.8196;34.803;19.3219;24.7956
97841;18.9954;24.8475;35.5625;19.9224;25.2024
102709;18.9098;24.8132;30.0626;20.4648;26.5311
107820;19.4177;25.5316;31.2144;19.0875;25.4532
113186;19.9922;25.998;32.6839;19.1281;26.0001
118820;20.8383;26.0257;33.5906;18.8432;25.7358
124735;21.0297;26.1061;35.6162;19.5292;25.3983
130945;20.1765;26.0691;34.8058;19.4573;25.4709
137465;20.8053;26.3251;37.9504;19.574;25.6437
144311;21.0467;26.0843;39.6806;19.7596;25.5697
151499;20.9214;26.2597;41.7872;19.9227;25.7827
159046;21.0438;26.2044;44.8415;20.0421;25.3359
166970;20.2631;26.351;47.7436;20.3077;26.052
175290;21.0889;25.8687;50.6356;20.5357;26.2278
184026;20.3691;26.53;54.1461;20.9561;27.2644
193198;20.6926;26.5204;58.1009;21.3139;27.2267
202828;21.3486;27.0372;59.2698;22.0163;27.7097
212939;21.1154;26.6337;62.4503;22.8033;29.1698
223555;22.0505;27.9557;66.2231;19.6777;27.8981
234701;23.1722;29.65;69.4226;20.3545;27.9321
246404;23.2801;30.7056;73.1186;20.5628;29.5559
258692;23.3569;32.9619;79.2788;20.5271;29.0929
271594;24.4493;31.9076;79.0863;20.1847;30.0312
285141;23.5771;32.6393;81.5288;20.7293;29.3399
299365;23.4805;33.6452;85.5392;20.9692;29.6007
314300;23.1855;32.6683;90.3557;21.05;29.0837
329981;23.2995;32.8261;94.5986;20.816;29.7635
346446;22.088;33.3603;98.3113;21.7403;30.3264
363734;22.173;34.0496;102.687;21.9832;32.6378
381886;24.0142;32.2688;106.852;22.7977;30.8775
400945;23.6565;34.3339;101.734;22.8137;34.5585
420956;24.6712;34.8546;103.701;23.6048;35.326
441967;24.9464;35.607;107.596;28.4651;60.0167
464028;40.4374;67.0831;110.622;27.4679;57.8262
487192;45.3712;67.9935;110.988;28.0283;59.9857
511514;41.7676;68.0734;116.086;28.3527;61.7004
537052;45.0909;65.9569;118.505;29.1447;61.4121
563866;45.5786;67.6677;121.501;29.0899;60.7064
592020;45.1433;67.7416;125.141;27.3141;61.0377
621581;45.264;65.496;138.917;31.6719;58.9491
652620;43.8915;66.5398;132.38;35.9146;58.556
685210;45.5344;68.193;137.737;32.7445;58.6071
719429;46.1295;68.7156;138.777;32.7963;61.6535
755358;44.7213;65.7485;145.137;34.3407;62.2893
793083;42.4105;66.6547;127.792;35.1052;61.4018
832694;45.8137;68.0014;129.967;35.7133;59.8174
874285;45.694;69.3191;132.456;52.2192;87.7092
917955;75.0128;90.6114;134.948;56.5034;86.837
963808;73.3138;92.606;137.007;57.5963;86.7358
1011953;71.0612;93.3394;140.335;57.3215;87.2941
1062505;74.4473;93.3558;140.629;57.5121;93.5876
1115584;74.5208;92.2251;146.815;58.6004;86.6638
1171316;74.745;93.602;150.038;59.2134;93.136
1229834;74.2115;93.8347;153.72;59.5781;89.1162
1291277;74.398;93.299;156.87;60.0283;87.7034
1355792;74.4881;93.3425;161.244;60.6371;88.2715
1423532;74.5513;93.8824;181.165;61.4075;90.1254
1494659;72.054;99.7291;184.497;61.6479;91.5467
1569342;74.2579;100.044;185.15;62.5541;92.1485
1647759;74.1345;93.9931;143.78;63.4419;91.4139
1730096;74.2791;95.6799;144.293;78.2489;109.333
1816549;74.1044;95.2517;147.795;78.0893;112.029
1907324;91.5213;116.477;150.243;78.7597;113.048
2002637;91.109;115.977;153.51;77.6567;110.45
2102715;90.7633;113.115;156.439;79.9115;110.789
2207796;90.3413;115.511;159.685;93.628;111.236
2318131;88.4793;113.291;159.013;78.6656;112.903
2433982;87.9962;114.102;166.725;81.8648;113.43
2555625;90.9961;117.783;170.294;81.6447;114.319
2683350;90.6108;118.192;175.751;82.271;116.887
2817461;110.086;115.385;186.262;83.211;116.471
2958277;110.755;135.378;185.465;85.3205;117.557
3106133;92.1167;118.353;200.04;85.0333;116.645
3261381;88.0021;118.192;150.407;86.4063;119.814
3424391;91.5402;119.01;153.534;85.0102;121.126
3595551;91.4119;115.581;156.026;95.8401;137.352
3775269;114.998;138.559;158.157;96.0382;135.603
3963972;114.357;141.29;161.198;96.7046;138.05
4162110;115.356;139.407;163.879;97.3819;139.042
4370154;113.882;141.647;167.323;98.5864;133.28
4588600;110.236;138.474;166.583;93.8459;136.054
4817968;112.248;138.446;177.718;96.0974;134.772
5058804;112.425;137.714;179.662;95.132;134.483
5311681;112.706;139.054;184.214;97.2523;136.453
5577201;113.578;142.153;191.315;122.174;136.862
5855997;112.279;139.414;192.464;99.2434;138.221
6148732;112.493;138.92;195.474;100.038;140.265
6456103;112.452;139.829;151.978;101.719;141.247
6778842;112.824;140.74;154.851;101.848;142.603
7117717;113.835;144.855;160.068;101.123;149.463
7473535;135.476;152.432;162.045;102.585;148.764
7847143;135.522;154.163;164.685;101.774;149.247
8239431;135.388;154.354;167.351;103.458;148.733
8651333;135.218;154.078;170.416;103.762;150.08
9083830;135.636;154.208;173.65;104.259;150.057
9537951;134.875;154.826;176.506;104.695;150.358
