#logical cores: 16
Parallel load (N=500000, theta=0.01):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;10.1875;18.902;21.7723
2;10.1306;18.6179;24.1651
3;11.8936;22.8597;31.0045
4;14.6106;27.7808;38.8156
5;17.7816;32.6364;44.3726
6;21.6136;37.7426;49.3707
7;24.3218;41.206;54.0142
8;28.7022;46.3319;57.7677
9;23.6226;44.386;58.0989
10;25.1981;43.0089;58.0736
11;25.5169;42.7688;58.9779
12;25.8757;44.5647;61.8442
13;25.2606;44.5487;61.3378
14;25.013;45.7912;63.8166
15;25.775;45.4066;62.685
16;24.9772;47.5388;67.0095
Parallel load (N=500000, theta=0.5):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;10.9848;18.7473;21.6216
2;10.3798;18.5961;24.42
3;12.3514;22.6696;30.6322
4;15.1608;27.2348;36.601
5;18.4842;31.6173;42.9062
6;21.9901;36.5755;46.7452
7;24.6189;40.5276;51.8696
8;29.8774;44.7986;61.7634
9;26.4256;43.1843;56.219
10;24.9485;41.4405;56.9561
11;26.1263;43.7646;61.439
12;26.4228;44.0285;59.2629
13;25.3045;43.9566;59.6267
14;24.9828;45.589;63.4567
15;25.2037;45.7612;64.9594
16;24.7963;45.7536;63.2669
Parallel load (N=500000, theta=0.99):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;14.2156;21.2932;23.2856
2;11.4411;19.7228;26.1964
3;14.0668;25.043;33.5217
4;17.2494;30.3232;40.4305
5;20.5762;35.9974;48.0489
6;24.3016;40.255;53.3657
7;27.4844;43.952;55.5391
8;32.0114;49.2983;59.3027
9;30.0431;47.7936;57.234
10;27.8884;46.9165;58.4507
11;28.8033;47.2179;59.4565
12;30.8081;49.5981;59.0382
13;28.3637;49.5505;61.4816
14;29.0409;48.2564;58.1057
15;28.5771;49.8461;57.7277
16;28.7476;48.4036;55.2693
Parallel load (N=5000000, theta=0.01):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;3.93437;13.5813;18.4515
2;6.5109;18.6223;26.4314
3;9.44831;24.6292;36.0619
4;12.2679;30.0461;45.5836
5;15.0781;35.9405;54.8983
6;17.8279;42.0646;64.7299
7;20.8823;47.7783;74.4116
8;23.7561;56.911;82.0442
9;22.0828;51.237;73.0727
10;22.1202;50.2998;72.8549
11;22.4785;51.8364;74.353
12;22.9826;52.4044;75.0588
13;21.8906;51.653;75.7039
14;23.0011;51.8017;75.6005
15;22.9356;51.7599;75.1414
16;23.2045;53.6065;74.9848
Parallel load (N=5000000, theta=0.5):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;4.01941;13.521;18.5834
2;6.66647;18.0956;26.1485
3;9.36175;23.8111;35.459
4;12.3197;29.2992;44.7407
5;15.0567;35.1859;54.5421
6;17.9465;41.2424;64.5754
7;20.778;46.8107;73.2003
8;24.0174;55.0697;82.6588
9;22.3236;49.4425;71.8422
10;21.7765;50.0964;72.7045
11;22.3547;51.2415;74.3824
12;22.9052;50.9784;74.4785
13;21.9878;50.4671;74.6106
14;22.9672;50.5129;73.0665
15;22.9725;50.7818;74.6033
16;23.4794;50.9613;76.0097
Parallel load (N=5000000, theta=0.99):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;8.71447;19.4951;22.8155
2;10.2146;20.0398;28.5029
3;13.2848;25.7199;38.6692
4;16.4084;31.6812;48.1227
5;19.6402;38.3753;57.2472
6;22.9038;44.7314;66.383
7;26.5801;52.4494;73.478
8;31.3406;59.867;82.4438
9;29.3842;54.9219;72.3764
10;28.8634;54.6384;74.32
11;29.4399;57.083;77.0222
12;29.6873;57.8264;78.3788
13;28.6217;56.1663;78.2528
14;29.6012;57.4244;78.7587
15;30.0404;57.4811;78.1818
16;29.7096;57.526;77.9805
