Scattered mixed lookup:
absl::flat_hash_map;indivi::flat_wmap;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;6.99883;6.12755;16.9417;4.30673;3.4292
10500;7.59855;6.71853;17.494;4.29745;3.72153
11025;8.02154;7.18918;17.8897;4.70359;4.13109
11576;8.63533;7.86233;18.459;5.93164;5.29023
12154;9.53081;8.75389;18.9592;6.19057;5.40749
12760;10.4346;9.83066;16.4544;6.54464;5.79215
13396;11.9102;7.30626;16.9572;6.83646;5.98631
14063;13.8423;7.45988;17.3365;7.12975;6.35386
14763;8.75181;7.57842;17.7369;7.40307;6.6899
15498;8.97326;7.78467;18.0965;7.63633;6.9746
16269;9.07101;7.91697;18.3729;7.86865;7.26549
17078;8.86605;8.08268;18.7176;8.06303;7.5976
17927;9.34763;8.19088;19.1435;8.16952;7.76806
18818;9.46415;8.3566;19.6422;8.32912;7.95498
19753;9.64408;8.52916;19.9159;8.44008;8.16628
20734;9.5927;8.75704;20.2513;8.63834;8.46229
21764;10.0484;9.13447;20.5888;8.85418;8.72957
22845;10.3167;9.49563;20.9375;9.10352;9.09078
23980;10.9767;10.0161;21.2515;9.18204;9.00271
25171;11.8823;10.6684;18.1287;9.20082;9.06699
26421;13.1457;8.55898;18.5427;9.31013;9.14891
27733;14.9283;8.59876;18.863;9.33955;9.20138
29110;9.80521;8.64568;19.1812;9.38135;9.29404
30555;9.80369;8.71728;19.4244;9.4646;9.36447
32072;9.88491;8.79564;19.6729;9.48851;9.42246
33664;9.97317;8.87373;19.9674;9.50493;9.47785
35335;9.96053;8.93037;20.3245;9.55126;9.58524
37089;9.97837;9.02218;20.6993;9.58763;9.62539
38930;10.0768;9.16946;21.0009;9.64326;9.72493
40863;10.4788;9.34734;21.3006;9.72712;9.8666
42892;10.6223;9.61948;21.7072;9.90427;10.0423
45022;10.8907;9.88081;22.0152;10.1587;10.2971
47258;11.2623;10.3331;22.253;9.92644;9.99299
49605;12.1434;11.0026;18.6096;9.98362;9.99586
52069;12.9362;11.9628;18.9339;9.97201;10.0612
54656;14.6915;9.16877;19.2612;10.0236;10.0286
57372;10.1834;9.17355;19.5928;10.032;10.095
60223;10.085;9.23331;19.9126;10.0635;10.1797
