#logical cores: 16
Parallel load (N=500000, theta=0.01):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;5.16937;6.18909;6.19501;4.3862
2;6.35832;9.17211;9.77091;7.28551
3;7.81795;12.4858;13.7094;10.3421
4;9.26459;15.5481;17.5301;13.2872
5;10.8599;18.5842;21.139;16.1912
6;12.5401;21.9053;24.8415;19.1307
7;13.8475;24.6139;28.4988;21.9711
8;16.3697;28.8486;32.3748;25.2171
9;13.9373;23.4746;25.859;20.0022
10;14.077;23.6774;26.4491;20.5812
11;14.4857;24.6973;27.9732;21.7894
12;14.9588;25.1664;28.6857;22.7993
13;14.937;25.1762;27.8412;21.0981
14;14.9565;24.9829;28.04;21.5159
15;15.4569;25.3049;28.2167;21.6946
16;15.3754;25.9814;27.134;22.2931
Parallel load (N=500000, theta=0.5):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;8.38527;11.3073;9.68891;6.28548
2;8.28177;13.4082;13.387;9.6017
3;10.0436;17.6024;18.4586;13.4994
4;11.8511;21.4303;23.3245;17.1884
5;13.8233;25.3173;27.713;20.7452
6;15.8255;29.2188;32.4915;24.3656
7;17.5729;33.0167;36.9442;27.8675
8;20.6256;37.7644;41.443;31.9209
9;17.7378;32.9097;34.2794;25.6833
10;17.7214;32.8075;33.7777;26.2971
11;18.3107;32.8986;36.3474;27.2093
12;19.0524;34.2511;35.5798;27.8788
13;18.8995;33.1458;35.6501;26.6738
14;18.6693;33.3321;34.3325;27.2891
15;19.349;32.4766;35.3325;26.64
16;19.3806;33.6342;34.5709;27.9005
Parallel load (N=500000, theta=0.99):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;6.41508;7.21513;6.8966;4.98182
2;7.24652;10.2023;10.602;8.05793
3;8.8861;13.9167;15.0382;11.5265
4;10.5614;17.5559;19.4058;14.9139
5;12.4101;21.274;23.4391;18.2804
6;14.3089;25.3162;27.8977;21.6248
7;16.0052;28.6327;31.8489;24.8588
8;18.253;33.1307;36.0386;28.3789
9;16.445;27.5998;29.5396;22.3741
10;15.9598;27.9859;29.8253;23.5132
11;16.5073;28.8942;30.9661;24.9597
12;17.002;29.1941;31.6136;26.1278
13;16.6867;28.2519;29.2734;24.3046
14;17.0208;28.4161;30.6562;24.6352
15;17.2452;29.1673;29.7959;25.1379
16;17.5101;29.7947;30.2247;23.7885
Parallel load (N=5000000, theta=0.01):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;2.99035;5.31245;5.63092;4.05142
2;4.82484;8.64425;9.57465;7.10608
3;6.61643;12.0532;13.6684;10.2483
4;8.14771;15.2524;17.5474;13.2769
5;9.69025;18.309;21.4129;16.2561
6;11.1468;21.3108;25.1077;19.19
7;12.5627;24.348;28.8803;22.1179
8;14.7376;29.0855;33.1887;25.526
9;14.0297;26.9603;30.3293;23.425
10;13.8136;26.4301;30.0811;23.4626
11;14.1008;26.7327;30.6324;23.9655
12;14.2947;26.9424;31.4544;24.253
13;13.839;25.8089;29.9213;23.0828
14;14.4;26.6436;30.3207;23.3267
15;14.339;26.761;30.1066;23.372
16;14.2295;26.5857;30.0378;23.7833
Parallel load (N=5000000, theta=0.5):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;3.89597;8.63217;8.44384;5.6438
2;5.94917;12.4576;13.243;9.40521
3;8.10441;16.7959;18.5144;13.3646
4;9.86894;20.8583;23.4147;17.1319
5;11.7365;24.7355;28.3981;20.878
6;13.5202;28.6444;33.2224;24.5552
7;15.3113;32.6634;37.833;28.1925
8;17.8801;39.0005;43.5775;32.5927
9;17.0426;35.7656;39.888;30.6101
10;17.0047;35.0378;39.8585;29.7616
11;17.1305;35.6542;39.682;29.8504
12;17.3144;35.702;40.5501;29.9403
13;16.8019;35.0465;39.2348;29.3073
14;17.4131;34.4965;39.2391;29.6609
15;17.4165;34.4715;38.2665;29.6679
16;17.3027;34.1763;38.0154;29.6123
Parallel load (N=5000000, theta=0.99):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;5.28632;6.75192;6.71628;4.84078
2;6.67772;9.9527;10.6423;8.02215
3;8.66661;13.7886;15.1791;11.4967
4;10.4906;17.5653;19.6473;14.9506
5;12.3547;21.3041;23.983;18.3665
6;14.1581;24.9606;28.2864;21.6889
7;16.0997;28.868;32.631;25.1282
8;18.5588;33.7121;37.5963;29.0232
9;17.9114;30.688;33.7947;26.8189
10;17.6931;30.9461;33.6376;26.5875
11;17.78;31.3694;34.6302;26.6705
12;18.0201;31.9091;34.8999;27.0736
13;17.4802;30.5028;34.0801;26.3607
14;18.1128;31.5113;34.5013;26.8997
15;18.064;31.318;34.7461;26.6375
16;17.5534;31.2317;34.9012;26.7798
