Running insertion:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;0.638608;0.801492;0.878884;0.554212;0.843578
10500;0.618872;0.791593;0.86933;0.540551;0.824555
11025;0.605487;0.780126;0.860226;0.527788;0.80915
11576;0.530629;0.771055;0.852603;0.514513;0.794107
12154;0.585538;0.763077;0.845687;0.502473;0.781021
12760;0.577908;0.761556;0.953134;0.49228;0.769532
13396;0.573619;0.756027;0.93298;0.484585;0.762095
14063;0.573977;0.757233;0.916352;0.769352;1.04663
14763;0.734118;0.971963;0.899677;0.744854;1.0156
15498;0.71516;0.94629;0.882458;0.721827;0.991611
16269;0.689499;0.927057;0.869757;0.700701;0.968827
17078;0.675217;0.912236;0.860852;0.680302;0.944706
17927;0.657237;0.896368;0.841518;0.661207;0.927198
18818;0.642174;0.833294;0.830129;0.642981;0.904077
19753;0.625853;0.824862;0.822064;0.625312;0.878719
20734;0.609345;0.809229;0.810921;0.608115;0.901983
21764;0.597441;0.800642;0.801358;0.593736;0.88442
22845;0.586794;0.787245;0.795306;0.581444;0.869881
23980;0.576827;0.781127;0.786565;0.568703;0.856563
25171;0.570352;0.778143;1.02069;0.561043;0.850623
26421;0.563025;0.779977;0.996342;0.553144;0.840973
27733;0.563734;0.77784;0.980108;0.844072;1.12768
29110;0.742417;0.959649;0.960331;0.818289;1.09748
30555;0.72131;0.937058;0.936755;0.79235;1.06452
32072;0.7042;0.918376;0.922042;0.768312;1.04634
33664;0.68785;0.899742;0.912733;0.744623;1.02023
35335;0.702674;0.884024;0.89436;0.723074;0.995829
37089;0.683522;0.870206;0.884836;0.702115;0.976988
38930;0.66738;0.86041;0.872763;0.682238;0.953469
40863;0.651914;0.840364;0.865098;0.663552;0.934125
42892;0.63476;0.833321;0.855291;0.64664;0.9116
45022;0.624382;0.823637;0.848186;0.630667;0.895051
47258;0.613611;0.803105;0.842769;0.616119;0.878231
49605;0.604598;0.797637;1.09386;0.603508;0.862392
52069;0.568541;0.792749;1.06346;0.568824;0.852067
54656;0.567503;0.791895;1.03896;0.864184;1.44948
57372;0.823358;1.23674;1.03612;0.837856;1.41718
60223;0.800546;1.2184;1.00869;0.811766;1.38667
63216;0.754204;1.19925;0.992235;0.786744;1.35558
66358;0.735628;1.18034;0.976742;0.763858;1.32894
69657;0.714814;1.16384;0.957683;0.741738;1.30213
73120;0.717676;1.14514;0.943704;0.720593;1.27748
76756;0.679596;1.13186;0.933391;0.700852;1.25428
80573;0.664186;1.118;0.92188;0.681812;1.23276
84580;0.64872;1.10415;0.912119;0.664261;1.21253
88787;0.637478;1.09429;0.906654;0.647908;1.19259
93204;0.625755;1.08406;0.89824;0.633165;1.17634
97841;0.61445;1.07737;0.891246;0.620173;1.16019
102709;0.606237;1.07336;1.1373;0.584684;1.1486
107820;0.601393;1.06955;1.11672;0.913543;1.53191
113186;0.60357;1.0712;1.09841;0.887241;1.49825
118820;0.82833;1.27032;1.07282;0.842327;1.4633
124735;0.804789;1.24886;1.0521;0.816926;1.43406
130945;0.78062;1.22952;1.03595;0.810085;1.40355
137465;0.762134;1.21357;1.02078;0.776407;1.37652
144311;0.726204;1.19414;1.00455;0.753325;1.3499
