Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;12.3617;11.4961;13.7055;11.0979;10.9
10500;11.8527;11.5796;14.3104;11.1364;10.9813
11025;11.7983;11.6908;14.5078;11.1692;11.0141
11576;12.0086;11.8181;14.979;11.2303;10.9782
12154;12.3226;12.0069;15.5443;11.2581;11.0196
12760;12.6841;12.4459;12.8657;11.4038;11.1883
13396;13.2191;13.131;13.3449;11.6019;11.3925
14063;14.3094;14.1455;13.6152;11.6517;11.0381
14763;12.759;11.6344;13.956;11.6935;11.1676
15498;12.8397;11.6457;14.3106;11.861;11.0813
16269;12.8721;11.7212;14.808;11.8443;11.0952
17078;12.8967;12.1402;15.2376;11.7723;11.0553
17927;12.9656;11.8629;15.8312;11.7897;11.114
18818;13.9164;11.9449;16.3143;11.8052;11.2822
19753;13.192;12.2362;17.0593;11.9261;11.1497
20734;13.337;12.478;17.5245;11.9438;11.2224
21764;13.4117;12.6397;18.0196;11.9712;11.2171
22845;14.2004;13.0576;18.5894;12.0458;11.3161
23980;14.0309;12.9659;19.074;12.6361;11.5334
25171;14.5861;13.5178;14.5641;12.8177;11.4576
26421;15.5509;14.3747;15.0529;12.6792;11.8524
27733;16.3408;15.3591;15.5093;12.7537;12.7435
29110;13.9133;12.8509;16.1784;12.7782;12.1301
30555;13.9047;12.8226;16.5674;12.6945;12.4052
32072;13.9733;12.867;16.9549;12.7142;12.4879
33664;14.0128;13.0511;17.5515;12.7409;12.8736
35335;14.0189;13.0153;17.9886;13.3389;12.2045
37089;14.1142;12.8266;18.5502;13.6177;12.633
38930;14.2642;13.289;19.0639;13.6582;12.8249
40863;14.8769;13.5493;19.5497;13.2238;12.6456
42892;14.7676;13.9721;20.1767;13.4147;12.707
45022;14.8799;14.5699;20.6886;13.8902;12.8459
47258;15.3091;15.3009;21.0806;13.6131;13.2585
49605;15.928;15.1201;16.3495;14.4485;13.4953
52069;16.3977;15.7465;16.6092;15.3512;14.4864
54656;17.5976;16.892;17.1064;14.4141;14.238
57372;14.8346;15.0967;17.5065;13.788;14.1443
60223;15.1396;14.6794;17.9083;13.7754;14.7227
63216;15.0828;14.7505;18.3546;13.9099;14.174
66358;15.157;14.5702;18.8521;13.7596;14.7403
69657;15.3367;14.8738;19.2589;14.0943;14.6257
73120;15.1845;14.9021;19.8533;14.0736;14.2841
76756;15.5559;15.2588;20.3559;13.9943;15.0808
80573;15.6274;15.2319;20.8211;14.359;15.1163
84580;15.8439;15.2738;21.3718;13.9639;15.1143
88787;16.0943;15.7035;21.9063;14.4866;14.5158
93204;16.4676;16.2704;22.3732;15.2855;15.1413
97841;16.9008;16.7788;22.8677;15.2725;15.4013
102709;17.4299;17.7244;16.6566;15.6388;16.1844
107820;18.1524;17.7184;16.9683;16.2986;16.1643
113186;18.8928;18.8007;17.3078;16.1148;16.4949
118820;16.3497;16.2053;17.7013;16.3132;15.8858
124735;16.4322;16.4132;18.124;15.7289;15.8539
130945;16.5981;16.446;18.5994;16.5134;15.9114
137465;16.5876;16.5705;19.1067;15.5403;16.0816
144311;16.6893;16.5335;19.6008;16.3971;15.9809
151499;16.8104;16.7521;20.1261;15.6209;16.4018
159046;16.8862;16.834;20.6198;15.6658;16.1347
166970;17.1918;17.0927;21.0991;16.7573;16.6316
175290;17.5152;17.8838;21.6219;15.9319;16.9398
184026;17.7387;18.0544;22.1434;17.5453;16.6564
193198;18.1578;18.0215;22.5558;16.8547;17.6807
202828;18.7359;18.7082;17.0946;18.3298;17.3989
212939;19.3103;19.5482;17.3679;17.7268;18.8453
223555;20.3148;20.3056;17.7448;17.1112;16.897
234701;18.7628;17.2957;18.1701;16.4602;17.0417
246404;18.3385;17.3488;18.6674;18.0322;16.6966
258692;18.538;17.4382;19.1084;17.9104;17.7051
271594;18.9098;17.4858;19.6968;17.3648;16.8127
285141;19.1563;17.5817;20.32;17.8018;16.9271
299365;19.9753;17.7266;20.9518;18.2412;16.9845
314300;19.0856;17.8886;21.6073;16.8319;17.2383
329981;19.7416;18.0658;22.2198;18.5211;18.1823
346446;20.3356;18.3102;23.1645;17.5217;17.5018
363734;19.8022;18.598;23.8303;18.0714;18.4732
381886;20.1527;19.0073;24.3164;18.4267;17.8558
400945;20.2829;20.7022;19.7169;18.4764;18.4337
420956;20.892;20.4426;20.6368;19.9022;19.0518
441967;22.226;21.3904;21.674;26.9055;17.4625
464028;37.4117;18.0616;22.5665;27.5513;17.642
487192;38.126;18.1742;24.1152;26.4505;17.7015
511514;38.2535;18.2857;25.1229;27.1548;18.0827
537052;39.5942;18.3691;26.3095;26.6357;18.7684
563866;38.9461;18.467;27.793;26.6073;18.729
592020;38.3195;18.6005;29.2094;27.2067;18.0187
621581;38.3635;18.7684;30.48;27.1694;18.2579
652620;38.5559;18.9569;32.1722;26.141;18.4585
685210;39.6948;19.2648;33.7052;26.3955;19.5369
719429;38.649;19.6428;35.3672;25.9658;19.7446
755358;39.3899;20.0671;36.9476;26.4476;19.4777
793083;40.2107;20.638;34.08;26.5681;20.0553
832694;40.21;21.4201;35.3281;26.5594;20.6564
874285;41.2793;22.7371;36.5319;44.5352;24.4105
917955;58.4197;26.6166;38.0515;44.5475;25.6299
