No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;44.9746;39.409;57.1193
10500;45.5461;39.5591;57.1429
11025;45.6567;39.7127;57.6337
11576;46.3402;40.0003;57.7305
12154;45.5295;40.1297;58.4117
12760;46.226;39.9071;59.9159
13396;46.7212;40.3279;60.3956
14063;48.924;40.3697;60.9027
14763;49.0512;40.2191;61.0361
15498;47.0967;40.1462;61.4294
16269;48.0666;40.5381;62.1129
17078;48.646;40.6629;62.5773
17927;48.771;40.896;63.0704
18818;49.0847;41.6935;63.7952
19753;49.5486;41.3017;64.3346
20734;50.3342;41.9874;64.8297
21764;50.5855;42.5635;65.3704
22845;52.3879;42.2531;65.9585
23980;52.6005;42.8766;67.0186
25171;53.2565;43.0763;68.5146
26421;53.2544;43.6315;68.9863
27733;53.9982;43.7951;69.8012
29110;54.3235;44.5467;70.6887
30555;55.0682;45.3831;71.5317
32072;55.52;45.3001;72.1433
33664;56.0923;46.3068;72.9014
35335;56.8612;46.0213;73.5426
37089;56.8425;46.7013;74.0672
38930;58.0449;47.4513;75.0988
40863;58.6236;47.6329;75.443
42892;59.356;48.0681;76.3552
45022;60.1504;49.0318;77.3152
47258;60.0155;49.0948;77.7453
49605;61.3963;48.1182;77.1457
52069;62.0234;48.5145;78.1186
54656;62.0699;48.7205;78.4819
57372;62.7556;49.2757;78.958
60223;62.7958;49.5003;79.7052
63216;62.9357;49.7464;80.1771
66358;63.512;50.0667;80.7931
69657;63.5592;50.3653;81.2227
73120;64.2079;50.7181;81.7762
76756;64.694;51.1467;82.2712
80573;65.9435;51.5592;82.9014
84580;66.4281;52.7757;82.8842
88787;66.071;52.208;83.6297
93204;66.7748;52.7801;83.9863
97841;67.4028;53.1308;84.488
102709;67.4632;52.9545;84.3236
107820;67.97;52.9221;84.7875
113186;66.9881;53.7447;85.1138
118820;68.0117;53.8286;85.5254
124735;68.5749;53.7612;85.8141
130945;68.8076;54.0938;86.1377
137465;69.0886;54.0584;86.5025
144311;69.4432;54.8569;86.9909
151499;69.1949;55.3782;87.4496
159046;69.6576;55.8563;87.9202
166970;69.5986;56.1247;88.1994
175290;69.9485;56.4065;88.4898
184026;70.3236;60.276;88.5986
193198;70.4414;56.892;89.2595
202828;70.7084;55.7098;88.2856
212939;70.7125;55.571;88.8183
223555;70.7137;56.3955;89.2625
234701;71.4905;57.2329;90.0911
246404;72.2444;57.671;90.5875
258692;72.3558;57.6261;91.8004
271594;73.011;58.3233;92.6408
285141;73.6781;58.6754;93.505
299365;74.5577;59.135;94.5339
314300;75.3052;60.0187;96.4879
329981;76.1677;60.545;97.6575
346446;77.3434;61.0781;99.3234
363734;78.8425;62.0723;101.149
381886;80.5257;65.5331;102.998
400945;82.2055;67.1746;115.48
420956;84.9818;68.5187;119.014
441967;87.1195;69.7074;122.859
464028;90.0443;70.9347;126.732
487192;92.6806;72.387;131.112
511514;95.7329;73.407;135.918
537052;100.085;75.3379;140.507
563866;104.208;77.578;146.042
592020;108.022;79.0481;151.847
621581;113.486;81.8755;158.02
652620;118.142;83.9973;164.07
685210;125.855;86.5879;170.791
719429;131.234;88.5734;177.804
755358;136.321;92.2894;185.105
793083;144.078;115.357;215.779
832694;149.539;119.265;222.728
874285;156.45;123.066;229.788
917955;164.041;126.025;236.916
963808;170.026;129.702;243.948
1011953;177.239;133.57;251.474
1062505;185.674;137.125;258.729
1115584;191.458;140.945;265.485
1171316;199.661;145.463;272.793
1229834;205.851;148.994;279.921
1291277;214.193;153.475;286.99
1355792;222.125;157.515;293.81
1423532;227.817;161.299;300.42
1494659;235.334;165.882;307.444
1569342;243.234;170.087;314.096
1647759;249.183;192.908;337.357
1730096;256.122;196.695;343.172
1816549;261.799;200.332;348.953
1907324;268.428;203.713;354.483
2002637;274.712;206.61;359.932
2102715;280.146;210.157;365.544
2207796;287.146;214.169;370.831
2318131;292.164;217.402;376.294
2433982;297.281;223.514;381.44
2555625;302.485;224.656;386.509
2683350;307.195;227.886;391.346
2817461;311.92;231.733;396.493
2958277;317.003;235.491;401.496
No-rehash runnning insertion, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;71.8694;59.5902;75.8562
10500;72.0043;60.0785;76.1635
11025;71.9257;60.3887;76.4601
11576;72.8516;60.8883;77.3011
12154;72.4221;61.5305;77.7473
