Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.508345;0.328306;0.356732
10500;0.525467;0.334224;0.3608
11025;0.523189;0.342924;0.365045
11576;0.541907;0.347753;0.373717
12154;0.546497;0.351561;0.378132
12760;0.553669;0.359894;0.386174
13396;0.554063;0.365322;0.3899
14063;0.557456;0.372483;0.396026
14763;0.57565;0.375422;0.403456
15498;0.58218;0.373747;0.408111
16269;0.590603;0.380942;0.413816
17078;0.59944;0.385576;0.417174
17927;0.602612;0.386146;0.421035
18818;0.606998;0.390061;0.427645
19753;0.618466;0.395471;0.428027
20734;0.626408;0.399648;0.434234
21764;0.62085;0.400371;0.439389
22845;0.64863;0.404614;0.442978
23980;0.659029;0.415896;0.450665
25171;0.666553;0.413501;0.456777
26421;0.671599;0.419478;0.462933
27733;0.684847;0.42496;0.466289
29110;0.686047;0.425686;0.471236
30555;0.694072;0.433977;0.474329
32072;0.699943;0.430439;0.479112
33664;0.710413;0.438279;0.482085
35335;0.718596;0.445196;0.48819
37089;0.725909;0.448813;0.493039
38930;0.728537;0.451601;0.49674
40863;0.738812;0.454722;0.502252
42892;0.729814;0.45982;0.503401
45022;0.735783;0.463004;0.510244
47258;0.746264;0.470985;0.514206
49605;0.747978;0.444614;0.51346
52069;0.755026;0.451274;0.518997
54656;0.762458;0.453635;0.520115
57372;0.76855;0.455912;0.523894
60223;0.740709;0.458141;0.529732
63216;0.780376;0.460546;0.529535
66358;0.788436;0.465111;0.531113
69657;0.79246;0.465244;0.534916
73120;0.795051;0.467191;0.542458
76756;0.800449;0.47061;0.540545
80573;0.810095;0.473984;0.542309
84580;0.81303;0.474835;0.549541
88787;0.784498;0.475789;0.549698
93204;0.794149;0.483123;0.552372
97841;0.79328;0.485833;0.554397
102709;0.797482;0.474901;0.550619
107820;0.802443;0.47508;0.553865
113186;0.805851;0.48082;0.555115
118820;0.810341;0.482401;0.557325
124735;0.81333;0.485318;0.559026
130945;0.823007;0.489977;0.561459
137465;0.825092;0.488539;0.56367
144311;0.831412;0.494876;0.565663
151499;0.826912;0.505009;0.566048
159046;0.834032;0.513172;0.570343
166970;0.839482;0.517434;0.569288
175290;0.839595;0.525308;0.57199
184026;0.849439;0.535104;0.57628
193198;0.840436;0.542833;0.576428
202828;0.872073;0.590521;0.620651
212939;0.891641;0.60613;0.634319
223555;0.924995;0.62843;0.647751
234701;0.949052;0.656518;0.652981
246404;0.959438;0.6815;0.67207
258692;0.992525;0.719214;0.691325
271594;1.01176;0.749376;0.719968
285141;1.05606;0.779382;0.740159
299365;1.08763;0.82531;0.758217
314300;1.11848;0.856387;0.788287
329981;1.15908;0.901207;0.82418
346446;1.21298;0.94172;0.866801
363734;1.44076;0.993288;0.927331
381886;1.50999;1.03406;0.939801
400945;1.59132;1.22306;1.13407
420956;1.68447;1.27491;1.19635
441967;1.7892;1.32198;1.25333
464028;1.85558;1.36285;1.32398
487192;1.97947;1.41133;1.37841
511514;2.07408;1.46453;1.46076
537052;2.20999;1.49924;1.52088
563866;2.28685;1.55557;1.60472
592020;2.42131;1.59924;1.66169
621581;2.51812;1.64918;1.73529
652620;2.6283;1.69486;1.80843
685210;2.75226;1.75106;1.87469
719429;2.98813;1.79771;1.94372
755358;3.08025;1.85123;2.01745
793083;3.17284;1.95684;2.16582
832694;3.27644;2.00342;2.22089
874285;3.36363;2.03953;2.2839
917955;3.35223;2.07567;2.35831
963808;3.34638;2.11998;2.40236
1011953;3.63447;2.1407;2.47859
1062505;3.71076;2.18054;2.50877
1115584;3.79195;2.21797;2.56551
1171316;3.85937;2.26089;2.59652
1229834;3.92204;2.29487;2.64411
1291277;3.99006;2.32483;2.72567
1355792;4.06682;2.36898;2.74784
1423532;4.16397;2.3996;2.79276
1494659;4.1948;2.43953;2.83261
1569342;4.26595;2.48818;2.85686
1647759;4.27954;2.46595;2.95049
1730096;4.38583;2.50181;2.9872
