Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;47.9268;42.0994;37.418
10500;48.0537;42.3343;37.883
11025;48.3091;42.5291;39.4346
11576;48.6309;43.0213;39.4056
12154;48.8816;42.9042;37.9105
12760;49.1525;43.2127;39.2248
13396;49.2979;43.6235;40.0725
14063;49.4645;43.4821;39.1904
14763;49.7253;43.6341;39.0472
15498;50.0354;44.0264;38.995
16269;50.3319;44.1923;39.2214
17078;50.4408;44.2894;39.1904
17927;50.6173;44.3557;39.4027
18818;50.7951;44.6016;39.3334
19753;51.1372;44.4972;39.219
20734;51.2702;44.7444;39.3871
21764;51.0905;44.8897;39.4601
22845;51.3318;45.0844;39.4771
23980;51.4268;45.2482;39.6386
25171;51.5694;44.9784;39.6056
26421;51.658;45.0219;39.6335
27733;51.8195;45.1081;39.8906
29110;52.0047;45.1901;39.9872
30555;52.1713;45.2874;40.0709
32072;52.3896;45.4107;40.195
33664;52.4639;45.4869;40.2514
35335;52.6035;45.5676;40.3438
37089;52.7483;45.6335;40.4106
38930;53.0494;45.7511;40.4968
40863;53.1739;45.8285;40.5991
42892;52.7258;45.8814;41.2573
45022;52.8532;45.9775;41.3546
47258;52.9913;46.0962;41.4475
49605;53.0517;45.7267;41.3805
52069;53.1189;45.8782;41.456
54656;53.2375;45.954;41.7091
57372;53.4495;46.0065;41.8564
60223;53.6132;46.0486;42.0099
63216;53.8103;46.297;42.0161
66358;54.1347;46.364;42.451
69657;54.7748;46.545;42.8718
73120;55.9572;46.9366;43.8717
76756;56.363;47.2745;44.207
80573;58.9461;47.861;46.9693
84580;60.4721;47.944;48.5181
88787;63.1653;51.0994;49.8601
93204;64.6603;51.4524;51.1402
97841;67.1787;54.3927;53.4378
102709;69.9629;56.3448;61.9282
107820;72.6602;57.444;63.3985
113186;77.0578;61.2654;68.1347
118820;81.5386;65.7697;70.7547
124735;86.7824;70.654;75.2814
130945;92.4431;77.2791;80.8594
137465;97.6879;82.3745;85.5806
144311;103.654;87.1833;90.4726
151499;110.068;94.936;95.9155
159046;116.405;101.692;100.685
166970;123.158;107.85;105.228
175290;130.949;113.868;108.985
184026;137.905;120.712;113.134
193198;145.142;126.784;117.067
202828;151.495;137.104;125.88
212939;157.143;142.553;129.102
223555;162.207;147.541;132.852
234701;167.236;153.07;135.952
246404;172.263;157.491;139.043
258692;177.004;161.361;142.068
271594;181.728;165.052;145.156
285141;186.083;167.594;147.992
299365;190.194;169.774;150.801
314300;194.533;172.303;153.335
329981;198.384;174.94;156.245
346446;202.247;177.263;158.156
363734;208.725;179.903;161.051
381886;212.681;182.427;163.307
400945;215.976;188.06;169.707
420956;219.221;190.004;171.926
441967;222.202;191.577;174.032
464028;225.126;193.942;175.805
487192;228.143;195.663;178.047
511514;230.89;197.513;179.911
537052;233.697;199.448;181.785
563866;236.159;201.073;183.377
592020;238.43;202.72;184.876
621581;241.187;204.622;186.677
652620;243.836;206.198;188.274
685210;246.286;207.825;189.692
719429;248.822;209.39;190.988
755358;250.902;211.05;192.421
793083;252.762;212.115;195.583
832694;255.116;213.149;196.652
874285;257.264;214.405;197.741
917955;259.092;215.561;198.923
963808;261.051;216.684;200.812
1011953;262.868;217.79;201.505
1062505;264.568;218.827;203.634
1115584;266.112;219.825;203.741
1171316;267.864;220.866;205.29
1229834;269.307;221.873;206.65
1291277;270.879;222.851;207.205
1355792;272.622;223.941;208.721
1423532;274.38;224.773;209.952
1494659;274.765;225.842;211.316
1569342;276.181;226.903;212.204
1647759;277.423;225.781;215.253
1730096;278.7;226.409;216.018
1816549;279.924;227.012;217.367
1907324;280.907;227.687;218.111
2002637;282.075;228.328;219.304
2102715;283.218;228.985;220.677
2207796;284.396;229.811;221.875
2318131;285.824;230.636;222.694
2433982;286.821;231.317;223.512
2555625;288.083;232.036;224.429
2683350;289.299;232.82;225.247
2817461;290.448;233.679;226.13
2958277;289.443;234.211;226.814
Scattered erasure, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
