No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;50.2034;42.61;42.7663
10500;50.4961;42.7682;43.1875
11025;51.3508;43.1534;43.6764
11576;51.2913;43.5405;43.9554
12154;50.7723;44.1476;44.6438
12760;50.8036;40.6152;40.1277
13396;51.3637;40.8466;40.521
14063;50.8519;41.1448;41.1447
14763;51.5107;41.5447;41.6515
15498;51.3808;41.9309;41.8904
16269;52.5324;42.608;42.791
17078;52.5225;43.2033;43.1441
17927;52.8287;43.8912;43.6027
18818;53.603;44.504;44.2549
19753;53.3603;44.8018;44.6653
20734;54.2906;45.3433;45.5676
21764;54.1031;44.7468;46.0441
22845;54.4775;45.2578;46.6847
23980;55.1666;45.895;47.4074
25171;55.2267;42.3753;42.8389
26421;55.344;42.5737;43.4694
27733;56.331;42.9525;43.9
29110;56.02;43.3341;44.3892
30555;57.2313;43.6497;44.8903
32072;56.6551;44.1673;45.4663
33664;56.2798;44.806;46.0579
35335;57.2254;45.1631;46.7405
37089;57.8136;45.7202;47.4905
38930;57.7314;46.3367;48.2232
40863;58.6025;46.9033;48.9259
42892;58.504;47.3693;49.7709
45022;59.5291;48.0194;50.5146
47258;59.3232;48.6271;51.2903
49605;58.8568;44.2478;45.3294
52069;59.9631;44.5817;45.7874
54656;60.4909;44.932;46.277
57372;61.3787;45.3831;46.8855
60223;60.9566;46.7076;47.45
63216;60.3245;47.3053;48.1517
66357;61.4585;48.051;48.7943
69656;61.0115;48.6215;49.4113
73119;61.0438;49.3039;50.1953
76755;62.0609;48.4357;50.9251
80572;61.699;49.1317;51.669
84579;62.7323;49.5926;52.4931
88786;62.5154;50.2785;53.3323
93203;62.0763;50.8938;54.1699
97840;63.0816;51.5673;55.0118
102706;62.9535;46.2485;47.4161
107816;63.9943;46.7053;47.9007
113182;63.5226;47.288;48.397
118816;63.1471;47.3241;48.9606
124731;64.2431;49.0266;49.5842
130941;63.4861;48.2045;50.1992
137461;63.2263;48.737;50.9087
144307;64.356;49.2837;51.8387
151495;63.8318;49.8541;52.5309
159042;64.8909;50.5056;53.3567
166965;64.5047;51.1241;54.2205
175284;63.958;51.7912;55.1071
184019;65.0948;52.3405;55.9713
193190;64.7044;53.7495;56.869
202820;64.1974;47.9288;49.1794
212931;65.3365;48.4256;49.8779
223547;64.9941;48.9377;50.5879
234692;66.1966;49.5033;51.3531
246395;65.9477;50.194;52.1728
258683;65.5713;50.7523;53.0422
271585;67.0055;51.4895;54.0282
285132;66.8437;52.2692;55.0274
299354;68.2975;53.275;56.1327
314289;68.3927;54.1956;57.328
329969;68.7345;54.9762;58.5937
346432;70.4006;56.6258;60.0113
363719;70.6556;57.4209;61.8881
381870;71.95;58.8566;63.5396
400928;74.1774;59.2436;61.5682
420937;75.0249;60.504;63.1654
441947;77.6098;61.8449;64.7624
464005;79.1795;63.5098;66.5965
487165;81.0448;65.0399;68.3128
511485;84.1622;66.916;70.4608
537019;86.0995;68.7629;72.7056
563827;88.4786;70.9308;75.3107
591977;92.3688;73.2447;77.7514
621532;95.7851;75.6522;80.4686
652567;100.032;78.3395;83.1175
685151;102.493;81.1425;86.4565
719359;105.959;84.2885;89.897
755280;110.87;87.7555;93.6209
792997;114.376;104.305;102.526
832595;119.619;108.513;105.133
874177;122.911;104.325;107.743
917832;126.488;110.332;110.761
963677;131.987;113.026;113.739
1011813;135.527;112.367;116.679
1062351;138.403;116.075;120.328
1115422;143.976;118.691;123.66
1171143;147.565;121.787;127.424
1229634;153.298;125.069;131.32
1291062;156.736;128.532;135.448
1355554;159.958;132.3;139.802
1423274;165.82;135.848;144.127
1494380;168.571;139.999;149.017
1569031;171.523;144.103;153.945
1647417;177.153;152.835;158.604
1729734;179.676;154.388;161.77
1816153;185.601;156.756;164.981
1906885;188.044;159.076;168.469
2002164;189.611;161.738;171.892
2102198;195.37;164.486;175.694
2207233;197.468;167.478;179.462
2317508;203.129;170.298;183.683
2433290;204.826;173.637;187.935
2554854;206.004;177.051;192.411
2682511;211.602;180.466;197.017
2816546;212.779;184.108;201.701
2957287;213.641;187.788;206.712
Runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;68.4222;63.6644;63.0042
10500;77.9034;62.6633;62.0075
11025;76.9181;62.4593;61.4247
11576;76.1221;61.7898;61.0567
12154;75.2404;61.3116;60.7964
12760;74.5985;76.2399;75.3244
13396;73.7322;75.0647;74.0755
14063;73.4284;73.8327;72.9554
14763;72.9992;72.5776;71.9205
15498;72.5662;71.2976;70.7571
16269;72.5616;70.3501;69.983
17078;72.3251;69.3112;69.1692
17927;72.3419;68.1396;68.5069
18818;72.6028;67.5555;67.8943
19753;72.5945;66.9269;67.2348
20734;72.8863;66.314;66.8291
21764;83.0557;65.6174;66.3037
22845;82.1545;65.1204;66.0834
23980;81.3096;64.6936;65.7979
25171;80.5881;81.764;82.1832
26421;80.2735;80.3161;81.3228
27733;79.6533;78.8006;79.9477
29110;79.3592;77.4038;78.7958
30555;79.2573;76.0948;77.8423
32072;79.2452;75.0181;76.7615
33664;79.221;73.9734;75.9335
35335;79.1113;73.1605;75.2683
37089;79.2618;72.3436;74.6206
38930;79.9185;71.5914;74.0599
40863;79.6999;70.9322;73.5662
42892;91.6292;70.2819;73.1736
45022;90.3152;69.7874;72.9365
47258;89.5071;69.3059;72.7001
49605;88.5249;87.5627;90.3049
52069;87.9221;85.8268;88.9574
54656;87.3069;84.2344;87.3806
57372;86.6295;82.81;86.36
60223;86.37;81.4548;84.8364
63216;86.0567;80.2432;83.7328
66357;85.7826;79.1223;82.8253
69656;85.8279;78.0418;81.5786
73119;85.6594;77.1075;80.8191
76755;85.8131;76.2578;80.3196
80572;85.9165;75.489;79.688
84579;86.0123;74.8205;79.0105
88786;97.6459;74.2099;78.8314
93203;96.2781;73.713;78.4165
97840;95.2736;73.2246;77.7923
102706;94.2847;90.6913;94.8803
