Scattered erasure:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;32.9413;19.4547;25.3458
10500;30.6935;19.6227;25.8453
11025;31.0113;19.9488;26.5263
11576;32.0407;20.3021;27.1048
12154;32.1158;20.6089;27.5199
12760;32.8394;18.9376;28.4241
13396;33.3353;19.2242;29.341
14063;34.4789;19.3906;29.8263
14763;35.0493;19.637;30.2768
15498;35.8273;19.8595;31.234
16269;36.275;19.8811;31.8745
17078;36.9057;20.1556;32.2503
17927;37.478;20.4229;32.3985
18818;37.8377;20.7534;33.372
19753;38.8305;20.9958;33.8478
20734;39.6164;21.2897;34.5049
21764;37.9905;21.5034;34.8407
22845;38.5217;21.9068;35.5557
23980;39.039;22.1174;36.0536
25171;39.5919;19.991;36.8852
26421;40.191;20.2448;37.3394
27733;40.6354;20.4173;37.7907
29110;41.3305;20.695;38.2273
30555;41.6182;20.8446;38.4728
32072;42.2201;21.0727;38.8409
33664;42.9048;21.2901;39.2295
35335;43.3768;21.5708;39.7256
37089;44.0243;21.8485;40.1304
38930;44.5963;22.1196;40.442
40863;45.134;22.3543;40.8057
42892;42.4744;22.6043;41.0605
45022;42.7083;22.8072;41.4312
47258;43.2519;23.1626;41.6804
49605;43.7815;20.6275;41.7862
52069;44.1598;20.7892;41.9247
54656;44.4671;20.9841;42.2623
57372;44.9259;21.1432;42.5459
60223;45.1258;21.3533;42.7766
63216;45.6962;21.5667;42.9537
66357;46.1357;21.799;43.1799
69656;46.5325;21.9893;43.3073
73119;47.1287;22.2144;43.5874
76755;47.5089;22.4934;43.8933
80572;48.039;22.8081;44.0526
84579;48.5252;23.1107;44.3289
88786;44.8402;23.3531;44.5207
93203;45.2062;23.5802;44.735
97840;45.7083;23.8903;44.9992
102706;46.0676;21.3164;44.6869
107816;46.3335;21.4979;44.8095
113182;46.7539;21.6282;44.8873
118816;47.1382;21.9481;45.0346
124731;47.4354;22.1691;45.0673
130941;47.8843;22.5154;45.1747
137461;48.2588;22.7062;45.3825
144307;48.6755;23.1715;45.5789
151495;48.859;23.7252;45.4073
159042;49.0098;24.3469;45.6443
166965;49.5477;24.7613;45.8309
175284;47.6645;25.035;46.1377
184019;48.7149;25.712;46.4527
193190;49.3372;26.8751;46.4739
202820;50.2326;31.7888;51.3518
212931;53.0579;33.9648;52.9541
223547;54.7384;35.4083;53.3676
234692;55.8646;37.9235;55.5595
246395;58.7251;39.3717;56.3931
258683;59.94;45.273;58.0589
271585;61.8559;44.6124;59.8812
285132;64.8135;46.4234;62.9752
299354;66.4304;48.7473;65.6858
314289;71.1063;50.996;68.5291
329969;73.7286;53.3346;71.5291
346432;76.8089;55.5477;75.8545
363719;102.863;57.7484;79.8036
381870;107.892;60.193;84.4803
400928;113.495;70.3055;114.213
420937;120.389;71.6462;118.652
441947;124.011;73.0922;125.253
464005;130.136;74.4754;131.37
487165;136.128;75.9693;136.261
511485;141.742;77.0987;142.051
537019;148.278;78.4646;148.38
563827;153.851;79.7092;153.42
591977;159.262;81.073;159.37
621532;165.425;82.4356;164.823
652567;171.314;83.8705;170.098
685151;177.017;85.3765;175.461
719359;202.458;86.6598;179.998
755280;206.693;88.1711;183.928
792997;210.861;88.4709;210.192
832595;214.632;89.367;214.383
874177;218.484;90.3789;217.976
917832;221.967;91.1118;219.759
963677;225.396;92.1101;224.588
1011813;228.612;92.7721;227.597
1062351;232.658;93.5683;230.548
1115422;236.103;94.9198;233.055
1171143;239.255;95.7989;236.541
1229634;242.771;97.1904;238.686
1291062;246.432;97.975;240.472
1355554;248.947;99.6294;244.644
1423274;252.434;100.62;247.323
1494380;262.207;101.737;249.883
1569031;264.5;103.247;252.379
1647417;266.74;97.3229;265.831
1729734;268.506;98.1841;266.365
1816153;270.65;99.0109;268.508
1906885;272.626;99.9398;268.3
2002164;274.716;101.07;272.049
2102198;277.086;101.957;273.322
2207233;279.077;102.71;274.099
2317508;281.001;103.631;275.871
2433290;282.24;103.827;277.428
2554854;285.028;105.361;278.68
2682511;287.963;106.75;280.234
2816546;289.25;108.252;281.091
2957287;291.91;109.938;282.501
