#logical cores: 6
Parallel load (N=500000, theta=0.01):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;10.4373;12.8658;17.4965;20.9344
2;19.6579;19.5774;27.347;31.2685
3;25.5242;24.4451;33.243;38.2713
4;20.8677;26.7495;34.55;43.4879
5;24.4856;31.6474;39.1056;44.2729
6;29.0408;36.9728;43.6138;50.7267
7;21.2719;34.3803;43.9592;46.5975
8;23.8687;34.5886;44.9219;51.2689
9;26.1199;34.8275;46.4619;53.0995
10;24.2398;34.6099;47.3864;54.0843
11;26.5321;34.9211;49.7096;55.2469
12;28.8667;35.1459;51.0778;59.7127
13;23.8978;35.2536;50.8313;60.0409
14;25.5651;35.0477;50.494;60.2183
15;26.6651;35.0463;51.9409;61.3391
16;25.6596;34.8846;50.454;60.8287
Parallel load (N=500000, theta=0.5):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;10.7876;12.8602;17.4088;20.7664
2;20.1109;19.1903;26.1528;31.2858
3;27.0467;25.2036;34.2238;38.4966
4;21.3022;26.6036;38.0827;41.3366
5;25.0041;31.2838;38.457;44.4086
6;29.7783;36.7954;43.9821;50.9323
7;21.7178;33.8005;44.4462;49.1267
8;25.2007;34.0763;46.2907;50.4543
9;27.5411;34.3065;47.8316;57.1876
10;24.7626;34.331;50.6888;59.0508
11;27.2711;35.0416;50.7794;59.9081
12;29.7412;35.3823;51.0939;61.3251
13;23.9507;35.5458;49.9875;62.7512
14;26.3272;35.7615;51.9909;62.2823
15;27.7162;35.5166;51.8023;61.1654
16;26.0047;35.9806;51.4307;61.8555
Parallel load (N=500000, theta=0.99):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;13.0696;13.964;19.2222;22.247
2;22.9169;23.6292;30.8874;34.2875
3;31.7399;30.8777;37.652;41.7719
4;26.8092;29.1023;40.3446;48.4962
5;31.6647;33.0556;46.3722;50.6963
6;37.4171;38.5482;45.3809;58.761
7;33.4198;34.3188;45.2652;58.8855
8;34.2022;34.7502;50.7296;58.1674
9;34.4174;34.565;52.7463;60.0605
10;34.4968;35.0333;54.4182;61.1861
11;35.1121;35.6308;54.1042;62.3278
12;34.7961;35.8451;58.615;60.7096
13;35.5045;35.9633;57.4405;61.7522
14;35.5124;35.8288;56.567;63.8705
15;35.6495;36.3291;56.4097;60.57
16;35.1414;36.9029;60.1526;61.4032
Parallel load (N=5000000, theta=0.01):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;4.76106;10.9575;14.6886;19.5806
2;9.28567;19.0788;27.6088;36.2095
3;13.3725;26.2907;39.2175;50.8931
4;15.778;26.4806;43.593;57.5179
5;19.1611;30.1138;52.8743;67.707
6;22.2524;35.3373;62.2802;79.6717
7;20.2551;33.8047;55.65;71.6768
8;20.5966;34.146;57.0903;72.7113
9;20.6589;33.5734;57.8611;73.5654
10;20.904;33.7385;58.3397;75.104
11;21.2551;34.0889;60.6681;77.8844
12;20.6583;34.967;60.0909;79.7596
13;20.978;34.6562;58.7476;79.3035
14;21.2241;34.5775;59.4708;77.8668
15;21.0611;34.7651;59.6732;79.5949
16;21.438;34.6727;59.5957;80.6299
Parallel load (N=5000000, theta=0.5):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;4.79292;11.0609;14.5672;19.6534
2;9.32721;19.1114;27.557;36.3403
3;13.504;25.9362;38.9778;50.9679
4;15.9267;26.8302;44.0683;57.5691
5;19.4147;30.2973;52.7645;69.7467
6;22.6443;35.413;61.7109;79.9955
7;20.4715;34.0543;54.0344;69.1262
8;20.8517;34.1625;55.0185;72.4743
9;20.9934;34.3302;57.0294;74.628
10;21.5668;34.5575;57.4242;76.6262
11;21.3909;34.3258;58.5127;76.9676
12;20.9076;34.6126;58.0664;76.7276
13;21.5339;34.6085;59.6201;78.5633
14;21.4029;34.6834;58.9878;76.052
15;21.3419;34.6711;59.1247;78.3625
16;21.806;35.0538;60.7631;78.8924
Parallel load (N=5000000, theta=0.99):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk
1;8.94727;13.5105;18.7343;22.266
2;17.0088;22.4601;34.5661;40.8205
3;24.4183;30.7;49.7062;57.8352
4;24.7415;29.7224;53.3498;63.7059
5;28.3648;32.7876;62.497;76.2089
6;34.3539;37.6817;72.8336;89.6024
7;31.4333;36.5706;66.8751;83.864
8;31.6523;36.7487;66.2273;81.2703
9;32.3943;37.1377;69.9206;83.4845
10;32.463;36.8369;68.7353;84.5521
11;32.2876;36.9734;69.5586;85.9868
12;32.5156;37.2726;69.1576;86.0772
13;32.7024;36.9786;69.957;86.7669
14;32.0394;36.8112;71.8068;87.0627
15;32.4428;36.9954;71.3164;87.7875
16;32.9663;36.7836;71.6751;88.8812
