Running erasure:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;0.146098;0.362098;0.400161;0.137208;0.360525
10500;0.143077;0.357708;0.400759;0.135447;0.359603
11025;0.142177;0.354137;0.400607;0.134566;0.358296
11576;0.138937;0.351098;0.402911;0.132717;0.356339
12154;0.13675;0.342874;0.404039;0.130751;0.354723
12760;0.132992;0.336913;0.406807;0.129098;0.352043
13396;0.129387;0.331398;0.407129;0.126717;0.348373
14063;0.125227;0.331314;0.407321;0.158807;0.386436
14763;0.172928;0.379952;0.406775;0.155348;0.38849
15498;0.169175;0.376578;0.407961;0.153133;0.384359
16269;0.165713;0.374986;0.40736;0.15481;0.380959
17078;0.16367;0.375813;0.407971;0.149499;0.375865
17927;0.159465;0.368912;0.408497;0.14873;0.375047
18818;0.157281;0.368795;0.408921;0.145883;0.372158
19753;0.153819;0.362984;0.409706;0.144748;0.368303
20734;0.150797;0.360545;0.408837;0.142289;0.366926
21764;0.148168;0.356544;0.408417;0.141346;0.364531
22845;0.144717;0.35293;0.410235;0.139259;0.361756
23980;0.140794;0.350577;0.410189;0.136983;0.359417
25171;0.138738;0.338994;0.412196;0.134802;0.355299
26421;0.135244;0.336305;0.410642;0.132112;0.353651
27733;0.128864;0.335088;0.412389;0.160572;0.390439
29110;0.17655;0.383712;0.412273;0.1586;0.386214
30555;0.173602;0.380493;0.412954;0.155371;0.384465
32072;0.170337;0.378617;0.413503;0.154287;0.382892
33664;0.16694;0.375429;0.412653;0.152649;0.38416
35335;0.163475;0.371975;0.412645;0.150696;0.37898
37089;0.159903;0.368272;0.412504;0.148814;0.376851
38930;0.156497;0.365581;0.413012;0.146538;0.375589
40863;0.153557;0.363193;0.413961;0.144471;0.371564
42892;0.150187;0.358446;0.413625;0.142652;0.369293
45022;0.147443;0.354861;0.412765;0.141243;0.367927
47258;0.144321;0.350509;0.41338;0.139555;0.365848
49605;0.14082;0.347093;0.416858;0.136738;0.360472
52069;0.137121;0.343062;0.417333;0.134062;0.356594
54656;0.132534;0.336106;0.41606;0.164409;0.393827
57372;0.17691;0.386617;0.41585;0.161805;0.391808
60223;0.174436;0.379911;0.415237;0.159144;0.388486
63216;0.171269;0.385205;0.416114;0.156932;0.386068
66358;0.167639;0.378516;0.414563;0.154401;0.382236
69657;0.163866;0.376065;0.415716;0.152672;0.380086
73120;0.160718;0.374638;0.41481;0.150678;0.377663
76756;0.157255;0.370038;0.415485;0.148583;0.374575
80573;0.154164;0.364878;0.413867;0.146669;0.371596
84580;0.150989;0.35917;0.414704;0.144913;0.370087
88787;0.148096;0.359926;0.415122;0.142677;0.367184
93204;0.144918;0.353387;0.415644;0.14096;0.366998
97841;0.141842;0.348507;0.415146;0.138585;0.361695
102709;0.13838;0.343449;0.41769;0.13641;0.35942
107820;0.134314;0.337491;0.416746;0.167351;0.396828
113186;0.128772;0.331749;0.416873;0.164373;0.393382
118820;0.175096;0.388674;0.418039;0.161093;0.39441
124735;0.17216;0.386785;0.41677;0.15835;0.39084
130945;0.168473;0.381164;0.416647;0.156795;0.387737
137465;0.165741;0.385392;0.417386;0.154477;0.390736
144311;0.16187;0.390681;0.418255;0.152437;0.385156
151499;0.15855;0.376727;0.418486;0.150357;0.38051
159046;0.155348;0.3737;0.421622;0.14822;0.383847
166970;0.151993;0.385363;0.424888;0.146271;0.389617
