#logical cores: 6
Parallel load (N=500000, theta=0.01):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;9.26201;13.1364;14.7235;14.8919
2;17.4204;21.7138;23.3731;23.4066
3;23.7076;27.0168;31.599;31.4809
4;19.0248;29.7616;32.6912;32.7664
5;22.5625;31.7193;39.5839;37.9808
6;26.4876;35.4419;39.3979;39.7017
7;20.0596;36.1841;39.601;38.3198
8;22.3621;39.4177;45.6564;45.5904
9;24.692;40.8168;46.0669;44.5271
10;22.3796;41.6447;48.1473;47.4272
11;24.366;42.8711;51.8273;52.0419
12;26.412;44.0907;52.333;50.0287
13;22.1006;43.8318;51.7727;51.7451
14;23.8038;45.1907;51.9251;51.6155
15;25.1598;44.6568;51.8564;52.8135
16;23.6436;45.7902;53.5535;52.4453
Parallel load (N=500000, theta=0.5):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;9.31165;12.988;14.5883;14.7646
2;17.3899;21.536;24.0898;24.0382
3;23.8433;26.1197;29.7057;29.3948
4;19.3108;27.9293;34.8897;34.7626
5;22.8749;35.1363;35.3915;35.0198
6;27.0899;35.1933;45.022;39.2398
7;20.1931;34.8337;41.1642;39.2154
8;22.7749;35.8043;46.2136;41.4654
9;24.3314;37.467;46.4157;43.0152
10;22.6762;40.7084;50.0354;46.9273
11;24.881;42.377;52.8652;50.8004
12;26.9944;41.0571;53.483;50.0656
13;22.419;43.9281;51.5722;53.5108
14;24.1059;43.5103;52.1742;52.8204
15;25.3952;43.8085;52.714;52.4099
16;24.1594;45.2204;54.2852;53.0767
Parallel load (N=500000, theta=0.99):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;10.8857;13.8067;14.9761;15.2122
2;19.4631;21.986;23.9252;24.3275
3;26.7887;29.0003;31.5572;31.8078
4;23.7155;30.881;34.9162;34.9739
5;28.0171;33.5894;38.9777;35.2355
6;33.1279;35.0268;45.1885;44.7127
7;29.62;34.8296;44.8532;45.3052
8;30.5118;38.8861;49.8691;49.8174
9;30.6296;42.5551;52.1504;49.8457
10;30.5546;44.245;52.2215;50.8269
11;30.8184;43.6758;51.445;52.0589
12;30.3863;42.4899;52.0385;52.9044
13;31.0005;44.6117;52.8103;50.3886
14;31.2392;44.6943;52.8014;52.6068
15;31.2914;45.4259;52.2915;51.8319
16;31.6673;44.7538;52.3476;53.0405
Parallel load (N=5000000, theta=0.01):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;4.88409;10.8452;13.6144;13.2569
2;9.55089;20.7131;25.9162;25.185
3;13.7746;29.7621;37.3642;36.313
4;15.7009;34.0084;42.9231;41.4833
5;18.7627;41.0263;51.6718;49.857
6;22.0485;47.5281;61.0852;58.6716
7;20.0049;42.6304;53.9541;51.344
8;20.3945;44.0366;53.9308;53.5045
9;20.6962;43.9247;52.8433;51.5963
10;21.1467;43.2995;55.7726;53.6997
11;21.024;45.0203;55.5713;55.0503
12;21.1629;44.0819;56.0989;54.3706
13;20.8165;45.306;58.3187;54.6011
14;20.744;46.0905;57.8035;55.6522
15;21.0958;46.2207;58.4845;55.4547
16;21.1085;44.7319;57.2878;56.2219
Parallel load (N=5000000, theta=0.5):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;4.96638;10.8519;13.7114;13.4363
2;9.77099;20.644;25.9669;25.4298
3;14.1346;29.7386;37.6999;37.0157
4;15.861;33.8043;42.959;41.6306
5;19.1789;39.6385;51.5822;49.4272
6;22.7154;46.9892;59.0282;57.6863
7;20.2299;42.5338;52.7622;50.5875
8;21.1477;43.3507;54.6105;50.6665
9;21.5272;44.3923;54.7184;53.1097
10;21.3797;43.8648;54.6152;52.6197
11;21.451;43.2308;55.6737;54.1833
12;21.4046;44.4985;55.7831;53.1993
13;21.6157;45.2374;55.6529;54.2425
14;21.8011;45.0142;55.9933;55.0478
15;21.5768;46.0812;57.3494;56.0802
16;21.2401;45.081;58.4815;55.4234
Parallel load (N=5000000, theta=0.99):
#threads;tbb::concurrent_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_flat_map bulk2
1;8.7408;13.1342;14.9031;15.1347
2;16.4439;24.3399;28.1109;28.3562
3;23.7706;34.654;39.895;40.3457
4;22.8694;36.497;45.3931;44.2708
5;26.3301;42.7481;54.5654;52.3159
6;31.9343;50.6471;63.2155;61.0773
7;29.0049;47.254;58.9375;57.2561
8;29.3912;46.8056;59.3121;59.6773
9;30.0939;47.5558;59.4561;58.7184
10;30.1751;47.8963;60.7306;57.4426
11;30.1344;48.1696;60.4985;59.5863
12;30.3604;47.2648;59.8377;59.7199
13;30.4381;47.9831;60.6544;59.2743
14;30.6246;48.9671;60.8598;58.9444
15;30.8769;48.7922;61.1778;60.5127
16;30.674;48.9321;61.8716;60.0148
