No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;54.0387;41.1923;57.2032
10500;50.8532;41.4647;57.5225
11025;50.8459;41.8041;57.5219
11576;50.7357;41.661;57.4829
12154;50.8473;41.6877;57.726
12760;51.5826;41.6653;59.3649
13396;51.4295;41.8578;59.6105
14063;51.7313;42.0415;59.9949
14763;52.1138;42.2463;60.1567
15498;52.1938;42.2485;60.365
16269;52.6738;42.5574;60.7403
17078;53.501;42.476;61.5708
17927;53.8616;42.5985;61.7102
18818;54.0719;42.4658;61.845
19753;54.5689;43.2255;62.4627
20734;54.875;43.2928;62.8249
21764;55.3846;43.8482;63.4113
22845;55.7885;43.766;63.9644
23980;56.158;44.3912;64.6661
25171;56.3778;44.642;65.4716
26421;56.9211;45.018;66.1739
27733;57.3864;45.35;66.728
29110;57.7991;45.7935;67.2201
30555;58.449;46.2726;67.9236
32072;58.9861;46.5107;68.2361
33664;62.6662;46.7189;68.7824
35335;62.855;47.0187;69.2033
37089;63.0384;47.2682;69.7594
38930;63.461;47.9317;70.434
40863;63.514;48.0874;70.921
42892;63.8417;48.7341;71.4167
45022;64.368;48.9334;71.9609
47258;64.264;49.4814;72.2144
49605;64.437;48.1429;72.1589
52069;64.4218;48.3725;72.5703
54656;64.9554;48.5903;72.9847
57372;64.7415;49.7846;73.7167
60223;65.0167;50.1341;74.0298
63216;65.4327;50.3755;74.3112
66358;66.3301;50.4616;74.6617
69657;66.3596;50.5354;74.8695
73120;66.562;50.7981;75.3345
76756;66.9465;51.0921;75.6398
80573;66.5228;51.3648;75.9111
84580;66.6018;51.4615;76.0165
88787;66.9671;52.0062;76.4346
93204;67.0666;51.9925;76.8165
97841;67.7463;52.5067;77.1451
102709;68.2402;54.2992;78.8225
107820;68.6125;54.1227;78.6765
113186;68.085;54.5008;79.1872
118820;68.1732;54.4363;78.7476
124735;68.4592;54.6499;79.0946
130945;68.6259;54.7545;79.4369
137465;69.6842;54.6078;79.416
144311;70.2171;54.9582;79.5377
151499;70.7564;55.2855;79.8126
159046;69.4374;55.3756;79.917
166970;69.2255;56.2598;81.0617
175290;69.2358;56.0005;80.3577
184026;70.74;56.0458;80.9835
193198;70.4355;56.2807;80.9148
202828;69.8908;56.0003;81.3619
212939;70.7414;55.8379;81.6248
223555;70.7875;56.2227;81.8042
234701;70.6492;56.6285;82.0168
246404;72.2818;56.6306;82.3908
258692;72.0786;56.5747;82.6649
271594;74.6726;56.7961;83.2933
285141;75.327;57.0507;83.956
299365;75.0658;58.3245;84.7035
314300;76.254;58.5746;86.0479
329981;78.2325;60.2325;86.9562
346446;79.1167;60.0011;86.6544
363734;79.6778;61.2353;87.8782
381886;81.3171;60.2684;87.898
400945;83.0424;62.4974;94.5263
420956;83.4893;62.0209;95.4061
441967;86.0949;62.5725;97.6856
464028;88.8317;63.4349;100.458
487192;91.4539;64.5;103.733
511514;93.8243;64.8034;107.761
537052;112.75;66.9743;113.44
563866;115.131;68.4806;116.009
592020;118.924;68.6788;121.234
621581;122.583;71.8817;126.911
652620;129.073;72.9247;130.538
685210;130.633;75.1338;136.295
719429;138.466;78.1329;143.333
755358;140.202;79.9086;147.795
793083;145.095;98.4505;171.214
832694;149.34;101.123;177.2
874285;153.976;102.66;182.042
917955;156.223;103.926;187.702
963808;161.758;107.241;193.72
1011953;165.911;111;198.902
1062505;184.011;115.775;205.303
1115584;188.196;116.941;209.714
1171316;191.158;120.087;216.027
1229834;194.197;122.698;221.949
1291277;198.805;125.686;226.641
1355792;203.163;129.244;232.836
1423532;207.805;132.533;237.782
1494659;210.031;136.684;243.344
1569342;214.478;137.738;248.69
1647759;219.621;154.585;267.442
1730096;223.006;157.603;271.011
1816549;225.233;159.698;275.679
1907324;231.261;162.515;279.762
2002637;233.285;164.659;284.29
2102715;242.573;168.847;289.185
2207796;244.778;171.295;292.789
2318131;246.125;171.855;296.637
2433982;249.61;174.293;300.193
2555625;252.289;176.379;303.67
2683350;254.951;178.842;307.496
