Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;31.4947;41.0655;36.1807
10500;31.7503;41.685;36.6126
11025;32.217;42.0287;36.8751
11576;32.3604;42.6417;37.3374
12154;32.7456;42.7479;37.2555
12760;32.5738;44.1186;38.3202
13396;33.0943;44.1219;38.7961
14063;33.2959;44.5409;39.2532
14763;33.8115;45.0941;39.7822
15498;33.9429;44.9484;39.9417
16269;34.358;45.5422;40.7412
17078;35.6384;45.4024;41.0871
17927;35.86;46.0268;41.4376
18818;36.1543;45.9915;41.8185
19753;36.5777;46.2061;42.1049
20734;36.5914;46.4176;42.4592
21764;36.8586;46.8449;42.8003
22845;36.9884;46.9909;43.4606
23980;37.2827;47.6419;43.8761
25171;37.4649;48.3054;44.5883
26421;37.9408;48.8274;45.396
27733;38.0482;48.8184;45.5657
29110;38.2914;49.3267;46.0186
30555;38.4609;49.9888;46.3593
32072;38.51;49.6177;46.8533
33664;39.8255;50.3659;47.2164
35335;40.0297;50.5525;47.7426
37089;40.0549;50.7292;47.8195
38930;40.2703;51.2536;48.2225
40863;40.2255;51.266;48.4748
42892;40.3376;51.4509;48.9132
45022;40.6463;52.2982;49.2172
47258;40.7236;52.1222;49.4072
49605;40.7089;51.1187;49.805
52069;41.0763;51.7262;50.1751
54656;40.9841;51.9755;50.1891
57372;41.1221;52.1834;50.5275
60223;41.1688;52.238;50.6523
63216;41.3367;52.6524;50.9697
66358;42.0466;52.9152;51.1063
69657;42.2569;52.7926;51.1548
73120;42.0326;53.1;51.3244
76756;42.1623;53.2974;51.6016
80573;42.4211;53.4128;51.843
84580;42.4113;53.2956;52.0658
88787;42.6251;53.5768;52.1384
93204;42.7319;53.7627;52.3576
97841;42.6041;54.0332;52.3766
102709;43.1782;54.0441;52.7636
107820;42.7113;53.9235;53.1761
113186;42.6427;54.1482;53.1862
118820;43.1223;54.499;53.2107
124735;42.8969;54.4457;53.4872
130945;42.962;54.8034;53.4321
137465;43.8835;55.5127;53.5948
144311;43.4615;54.9111;54.0013
151499;44.6987;55.9132;53.9282
159046;43.8378;55.906;54.0146
166970;43.8984;55.9881;54.3497
175290;44.2525;56.589;54.5038
184026;44.6389;56.8817;55.1314
193198;45.2071;57.9096;55.3142
202828;45.2454;59.4865;56.139
212939;45.6718;60.0012;57.0758
223555;46.3364;61.8515;58.1014
234701;47.0407;63.4444;59.0339
246404;47.6461;65.351;59.7571
258692;48.9274;68.0706;61.045
271594;56.5132;70.348;61.5504
285141;58.6417;72.988;63.627
299365;61.1905;76.0657;65.134
314300;65.0276;80.1052;68.3439
329981;68.1324;82.8107;70.5521
346446;73.208;85.8915;73.9695
363734;77.7218;90.9549;77.0597
381886;82.3966;92.9554;84.3754
400945;87.5312;117.845;100.385
420956;90.7476;118.76;107.978
441967;96.0106;122.405;114.768
464028;100.974;127.296;121.555
487192;105.007;132.037;127.715
511514;109.589;135.776;135.655
537052;127.886;140.492;144.843
563866;131.719;145.399;151.073
592020;135.961;149.937;158.104
621581;139.612;153.634;165.882
652620;142.888;157.515;172.934
685210;146.53;162.216;178.4
719429;149.071;165.736;185.135
755358;152.154;170.467;191.365
793083;155.016;186.658;208.187
832694;157.519;190.616;213.759
874285;161.336;192.634;219.845
917955;163.307;196.12;223.941
963808;165.778;199.229;229.065
1011953;168.577;202.483;233.914
1062505;182.846;207.796;239.786
1115584;185.561;209.75;244.481
1171316;187.367;212.027;249.256
1229834;189.921;215.132;252.894
1291277;191.238;218.125;256.265
1355792;193.543;221.931;260.52
1423532;195.952;223.606;264.247
1494659;197.367;227.238;267.398
1569342;199.719;229.855;271.022
1647759;200.868;237.479;281.25
1730096;202.701;239.796;283.856
1816549;205.625;241.147;287.246
1907324;205.986;243.509;290.257
2002637;207.843;244.555;292.879
2102715;215.191;247.773;295.137
2207796;216.684;249.643;297.708
2318131;217.821;251.491;300.254
2433982;219.489;253.951;302.324
2555625;220.468;255.421;304.036
2683350;221.896;257.411;306.569
2817461;222.87;260.265;308.839
2958277;224.06;262.407;310.464
Scattered erasure, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;27.3172;42.6344;36.1403
10500;29.3181;43.5707;36.6916
11025;29.4348;43.7537;37.0595
11576;29.6254;44.0883;37.4687
12154;29.4478;44.2845;37.29
12760;29.5606;44.8644;37.8971
13396;29.9998;45.9224;38.3844
14063;29.9553;46.0947;38.4074
14763;30.04;47.2086;38.7022
15498;30.1304;46.0226;39.332
16269;30.4807;46.0636;40.1583
17078;30.6043;46.6202;40.0694
17927;30.6655;47.6981;40.6526
18818;30.6706;48.0583;41.2163
19753;30.9514;48.4254;41.7669
20734;34.0204;49.0633;42.1293
21764;33.9685;49.4566;42.6456
22845;34.249;50.5125;43.1844
23980;34.7148;51.207;43.6249
25171;34.6856;51.8395;44.0872
26421;34.771;52.4954;44.5995
27733;34.8667;53.3905;45.0406
29110;35.0614;54.1808;45.6451
30555;35.276;55.2;45.9791
32072;35.4846;51.0323;46.3349
33664;35.3367;51.2425;46.9151
35335;35.5648;51.9333;47.247
37089;35.4701;52.1557;47.4722
38930;35.6465;52.7291;48.0578
40863;35.8286;53.1997;48.3932
42892;38.3827;54.0711;48.6046
45022;38.5087;54.7041;48.9379
47258;38.4809;55.3188;49.3065
49605;38.4821;55.975;49.5735
52069;38.7276;57.301;49.8025
54656;38.7057;57.7124;50.0528
57372;38.7344;58.6245;50.3824
60223;38.8271;59.4734;50.9561
63216;38.8194;55.8616;51.137
66358;38.8527;56.1008;51.3938
69657;38.981;56.6981;51.462
73120;38.9483;57.588;51.7419
76756;39.0091;57.9517;52.1332
80573;38.8992;58.331;52.0692
84580;40.8537;59.0257;52.4631
88787;40.868;59.526;52.5959
93204;41.0183;60.1755;52.7789
97841;41.0152;61.2136;53.0344
102709;40.913;61.5965;53.148
107820;40.9244;62.3648;53.5599
113186;41.0502;63.1297;53.6775
118820;40.9667;63.6849;53.6639
124735;41.1838;59.7916;54.1575
130945;41.1463;59.9531;54.2264
137465;41.0684;60.9559;54.4602
144311;41.2254;61.3391;54.6725
151499;41.2497;62.0255;54.9175
159046;41.5006;62.7224;55.0207
166970;42.8029;63.1732;55.5589
175290;42.835;64.0045;55.8736
184026;43.1749;65.1869;56.7571
193198;43.7824;66.2013;57.3214
202828;43.9971;68.0139;57.8185
212939;44.0772;68.7172;58.7754
223555;44.1102;69.8262;59.241
234701;44.8781;72.738;59.8438
246404;44.8729;66.4115;61.2606
258692;45.1826;68.1655;62.0133
271594;45.5218;70.5456;62.8291
285141;46.1855;72.8202;63.8313
299365;46.5819;76.7483;64.332
314300;46.9811;79.9052;65.579
329981;50.9044;83.5281;67.0397
346446;52.8002;87.0391;68.3614
363734;53.9034;90.4763;70.0636
381886;57.5936;94.3463;74.3059
400945;59.7617;97.6014;74.6438
420956;62.061;101.076;78.5881
441967;66.3595;108.078;83.8149
464028;69.7747;110.756;86.2566
487192;73.3986;117.081;91.8822
511514;77.8105;117.18;106.16
537052;81.1868;123.291;114.567
563866;84.956;128.86;122.914
592020;89.0606;135.573;131.666
621581;91.7924;141.84;138.492
652620;95.4385;148.934;146.529
685210;114.262;157.796;153.381
719429;117.504;162.532;159.869
755358;120.385;170.449;167.71
793083;122.963;177.612;173.457
832694;125.834;186.078;179.052
874285;128.162;192.649;185.127
917955;130.557;200.585;191.127
963808;132.573;210.19;196.91
1011953;134.726;195.101;212.205
1062505;139.07;203.683;219.458
1115584;141.06;209.17;223.616
1171316;142.737;214.572;228.225
1229834;144.734;219.951;232.309
1291277;146.347;226.377;236.724
1355792;167.891;232.085;240.489
1423532;169.654;238.698;243.903
1494659;171.526;244.807;248.432
1569342;173.128;251.45;251.125
1647759;174.817;257.826;254.71
1730096;176.653;265.095;258.327
1816549;177.847;272.831;261.341
1907324;179.832;280.815;264.893
2002637;181.023;254.935;277.569
2102715;182.372;260.402;280.139
2207796;183.464;265.212;282.548
2318131;184.19;269.53;284.921
2433982;185.737;274.36;287.631
2555625;186.941;279.693;289.741
2683350;204.788;286.052;292.257
2817461;206.255;292.439;294.351
2958277;207.624;298.349;296.63
