Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.141038;0.113696;0.114096
10500;0.139831;0.117064;0.11434
11025;0.139941;0.119036;0.116643
11576;0.144626;0.121292;0.117089
12154;0.14442;0.125057;0.119382
12760;0.147268;0.113247;0.117177
13396;0.147642;0.115927;0.119129
14063;0.150861;0.119157;0.120429
14763;0.155546;0.119832;0.120635
15498;0.153691;0.118896;0.1199
16269;0.160397;0.124665;0.122169
17078;0.145368;0.124585;0.123104
17927;0.14849;0.12569;0.123493
18818;0.150118;0.127167;0.124582
19753;0.154387;0.131763;0.125951
20734;0.159284;0.133691;0.127741
21764;0.161033;0.140045;0.129341
22845;0.164475;0.141565;0.131409
23980;0.169414;0.146671;0.132928
25171;0.171372;0.137111;0.133126
26421;0.175677;0.140627;0.134737
27733;0.180209;0.143306;0.136211
29110;0.183525;0.14935;0.139752
30555;0.189588;0.155905;0.142324
32072;0.196739;0.155758;0.14434
33664;0.166993;0.162398;0.146483
35335;0.170101;0.163316;0.14808
37089;0.173625;0.168;0.150453
38930;0.177461;0.176607;0.15369
40863;0.179668;0.173546;0.154817
42892;0.183324;0.181016;0.158229
45022;0.187866;0.188632;0.161019
47258;0.1896;0.190803;0.163704
49605;0.19276;0.150089;0.149264
52069;0.195636;0.153822;0.150387
54656;0.199685;0.156957;0.152243
57372;0.206364;0.158948;0.15408
60223;0.209692;0.163311;0.156652
63216;0.2148;0.165761;0.15771
66358;0.183004;0.168005;0.158595
69657;0.186264;0.169277;0.160191
73120;0.188977;0.172132;0.161684
76756;0.191488;0.175835;0.163173
80573;0.194818;0.17807;0.165156
84580;0.195485;0.177865;0.166129
88787;0.199628;0.183171;0.16813
93204;0.20355;0.186908;0.169474
97841;0.207358;0.189694;0.17196
102709;0.21044;0.167401;0.157548
107820;0.215968;0.169253;0.159002
113186;0.21792;0.17172;0.159733
118820;0.22187;0.174338;0.161444
124735;0.225435;0.178022;0.163039
130945;0.228908;0.18226;0.164156
137465;0.196178;0.181447;0.165809
144311;0.197336;0.186326;0.166984
151499;0.200667;0.19277;0.170068
159046;0.203119;0.197352;0.172846
166970;0.206127;0.200845;0.174848
175290;0.210287;0.206652;0.177126
184026;0.214752;0.209198;0.178777
193198;0.215802;0.21772;0.18153
202828;0.221515;0.183504;0.167494
212939;0.229432;0.183471;0.168203
223555;0.233213;0.186488;0.1694
234701;0.238533;0.193916;0.171768
246404;0.246033;0.197286;0.173755
258692;0.255557;0.201467;0.176165
271594;0.220977;0.207736;0.180356
285141;0.224464;0.21389;0.182399
299365;0.232742;0.221096;0.185881
314300;0.236666;0.228042;0.190235
329981;0.241899;0.233056;0.192803
346446;0.248269;0.239166;0.196154
363734;0.255588;0.246913;0.200892
381886;0.265479;0.256115;0.204736
400945;0.275877;0.212483;0.187
420956;0.285839;0.219116;0.189881
441967;0.306885;0.229754;0.192907
464028;0.325868;0.239243;0.196497
487192;0.347959;0.253181;0.204729
511514;0.369661;0.269208;0.20684
537052;0.386924;0.284444;0.213942
563866;0.408598;0.30357;0.220493
592020;0.442222;0.323693;0.227499
621581;0.471945;0.347406;0.240506
652620;0.508527;0.373907;0.250401
685210;0.539339;0.400221;0.266988
719429;0.567937;0.429737;0.282099
755358;0.606234;0.460804;0.30467
793083;0.639069;0.471509;0.407956
832694;0.66797;0.495112;0.431623
874285;0.705179;0.515724;0.453444
917955;0.74376;0.539872;0.473455
963808;0.778668;0.56209;0.493782
1011953;0.820797;0.591216;0.519146
1062505;0.766426;0.614926;0.543702
1115584;0.790587;0.643652;0.56716
1171316;0.818845;0.667031;0.588983
1229834;0.845509;0.689166;0.610273
1291277;0.870153;0.718366;0.63265
1355792;0.902552;0.741507;0.65869
1423532;0.930618;0.768465;0.679758
1494659;0.958418;0.796502;0.705306
1569342;0.988747;0.824323;0.728424
1647759;1.0162;0.736015;0.766915
1730096;1.05273;0.755566;0.780263
1816549;1.07827;0.772146;0.800565
1907324;1.10955;0.794404;0.818187
2002637;1.1391;0.80915;0.834777
2102715;1.00952;0.834034;0.851459
2207796;1.0304;0.856613;0.867795
2318131;1.0512;0.875549;0.881488
2433982;1.07693;0.894957;0.903464
2555625;1.09406;0.918388;0.922142
2683350;1.11848;0.939296;0.938277
2817461;1.13767;0.970267;0.956078
2958277;1.16285;0.992403;0.975232
Scattered unsuccessful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.0981649;0.0941627;0.0808532
10500;0.100891;0.0963258;0.0814163
11025;0.105843;0.100339;0.0843775
11576;0.110853;0.104828;0.0845807
12154;0.113931;0.10757;0.0857217
12760;0.118691;0.0855721;0.0779696
13396;0.122955;0.087117;0.0787734
14063;0.127974;0.0926785;0.0806483
14763;0.134605;0.0963046;0.0809918
15498;0.138691;0.0984385;0.0824088
16269;0.146268;0.102312;0.0842848
17078;0.117649;0.108055;0.0860793
17927;0.120851;0.111903;0.0877352
18818;0.123935;0.116385;0.0907527
19753;0.128;0.122745;0.0941715
20734;0.131446;0.127299;0.0963243
21764;0.133496;0.132758;0.0986367
22845;0.136831;0.138052;0.102498
23980;0.142975;0.146893;0.104302
25171;0.146759;0.11209;0.093414
26421;0.15102;0.116003;0.0951968
27733;0.155524;0.120274;0.0972829
29110;0.158939;0.122379;0.0990771
30555;0.164793;0.12741;0.10117
32072;0.168369;0.131447;0.103602
33664;0.126148;0.134099;0.105231
35335;0.129729;0.138536;0.107277
37089;0.131898;0.142826;0.109564
38930;0.137028;0.149016;0.112215
40863;0.140111;0.151278;0.11426
42892;0.143515;0.15921;0.117503
45022;0.146805;0.164379;0.120119
47258;0.14969;0.16987;0.123206
49605;0.152409;0.121173;0.104105
52069;0.157238;0.125512;0.105953
54656;0.162422;0.128904;0.107827
57372;0.16758;0.13244;0.11003
60223;0.170697;0.136163;0.111959
63216;0.177724;0.141187;0.11415
66358;0.13105;0.144034;0.115793
69657;0.133827;0.146832;0.117842
73120;0.137813;0.152153;0.119939
76756;0.140408;0.157076;0.122438
80573;0.144331;0.161198;0.125142
84580;0.149006;0.16718;0.127595
88787;0.151926;0.171959;0.130816
93204;0.155837;0.177437;0.133616
97841;0.159934;0.184305;0.136406
102709;0.163295;0.12869;0.104966
107820;0.168698;0.131922;0.10692
113186;0.17309;0.135655;0.108692
118820;0.17892;0.140873;0.110904
124735;0.18403;0.143634;0.112755
130945;0.190105;0.148199;0.114924
137465;0.137775;0.151422;0.116855
144311;0.140961;0.156404;0.119008
151499;0.144513;0.162315;0.121651
159046;0.149326;0.166208;0.123975
166970;0.153373;0.172252;0.128087
175290;0.15906;0.181675;0.130389
184026;0.164708;0.18913;0.13449
193198;0.170894;0.196894;0.138028
202828;0.176043;0.139007;0.111096
212939;0.184064;0.144137;0.114116
223555;0.192382;0.150878;0.117455
234701;0.201238;0.157344;0.120708
246404;0.210157;0.162305;0.124164
258692;0.220209;0.169129;0.127404
271594;0.200252;0.175895;0.13123
