No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;49.6267;46.721;45.9929
10500;47.2747;46.754;45.9758
11025;47.4443;47.363;46.7383
11576;47.6054;47.6592;46.9762
12154;47.716;47.703;47.075
12760;48.2484;44.5334;44.5103
13396;48.5785;44.8822;44.6622
14063;48.7899;45.1052;44.8803
14763;49.1617;45.28;45.0643
15498;49.7288;45.9066;45.4764
16269;49.9194;46.06;45.7218
17078;48.786;46.2887;46.3626
17927;48.7579;46.5965;46.5598
18818;49.0552;46.8678;46.9656
19753;49.3077;47.4809;47.5625
20734;49.4917;47.7234;47.8884
21764;49.8981;48.0077;48.4575
22845;50.1154;48.3644;48.8389
23980;50.4599;48.9394;49.3948
25171;50.7612;46.1778;46.3715
26421;51.1767;46.5679;46.8386
27733;51.4983;46.8645;47.2233
29110;51.809;47.0736;47.5486
30555;52.2405;47.53;47.9683
32072;52.5526;47.7248;48.404
33664;53.5051;48.1337;48.8364
35335;53.559;48.6506;49.4049
37089;53.7642;48.9279;49.8678
38930;53.7465;49.4596;50.3198
40863;54.0843;49.9312;50.9854
42892;54.1372;50.3976;51.5304
45022;54.3808;50.7312;51.9659
47258;54.6815;51.4125;52.7056
49605;54.6525;48.1153;48.9989
52069;55.0093;48.3096;49.2973
54656;55.2283;48.3828;49.3672
57372;55.1006;48.661;49.8169
60223;55.6848;49.0527;50.0349
63216;55.9348;49.3976;50.6594
66357;54.2757;49.1632;51.0526
69656;54.3079;49.4977;51.6319
73119;54.4062;49.8571;52.1124
76755;54.181;50.2297;52.6373
80572;54.6907;50.6647;53.1965
84579;54.4523;51.0518;53.7373
88786;54.7717;51.5384;54.3858
93203;54.9186;51.9788;54.9907
97840;55.0931;52.5748;55.588
102706;55.4011;50.7765;51.6329
107816;56.126;50.7417;52.2939
113182;56.3439;51.2426;52.4001
118816;56.5472;51.3456;52.7276
124731;56.67;51.5513;53.225
130941;57.0041;52.6951;53.4336
137461;55.4742;52.1439;54.0951
144307;55.4665;52.1836;54.4378
151495;55.8162;52.9618;55.0357
159042;55.8628;52.9749;55.1347
166965;56.2669;53.6705;56.1642
175284;57.4662;53.9301;56.5104
184019;56.597;54.4723;56.9408
193190;57.1437;54.7328;57.8728
202820;57.3976;52.0415;53.0544
212931;57.9054;52.3475;53.9021
223547;58.1286;54.2077;54.8811
234692;60.4325;54.9438;55.1053
246395;60.2996;54.4812;54.8885
258683;59.6142;53.8519;55.0426
271585;60.315;55.6855;56.1856
285132;63.1585;56.0853;57.6965
299354;63.5054;57.2309;59.7565
314289;65.6265;57.2982;59.6624
329969;66.8787;57.8651;59.4481
346432;65.9525;58.1978;60.6243
363719;67.8301;58.4203;61.0775
381870;69.7299;58.4695;62.072
400928;70.2239;57.9634;58.3507
420937;73.6766;58.5196;59.7421
441947;74.6879;59.5189;60.7297
464005;77.6666;61.9657;62.7872
487165;79.5538;62.1974;63.0597
511485;82.7468;64.5506;65.5475
537019;102.314;65.3266;67.0933
563827;102.736;67.1627;68.4445
591977;104.328;69.6368;70.4415
621532;107.626;69.6565;72.2831
652567;108.961;71.5614;73.7851
685151;110.826;72.8547;75.5092
719359;112.135;76.4689;78.7958
755280;114.214;78.6193;80.8096
792997;117.023;87.4105;86.4448
