Scattered erasure:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;27.2903;27.8089;25.2981
10500;27.6504;28.0596;25.6971
11025;28.1421;28.2124;26.3967
11576;28.616;28.423;26.6506
12154;29.0545;28.9098;27.0817
12760;29.5897;27.9887;26.5515
13396;30.2559;28.2748;27.2287
14063;30.7218;28.3696;27.6138
14763;31.1609;28.5157;28.1327
15498;31.767;28.553;28.6243
16269;32.3059;28.7826;29.0849
17078;30.8546;29.091;29.3805
17927;31.0285;29.0825;29.7153
18818;31.3738;29.2673;30.3233
19753;31.8614;29.6457;30.7789
20734;32.2132;29.6568;31.2462
21764;32.7239;30.0187;31.8324
22845;33.1354;30.295;32.3642
23980;33.5795;30.6266;32.7542
25171;33.9112;29.6296;32.133
26421;34.2975;29.836;32.641
27733;34.8159;29.9452;32.8867
29110;35.3121;30.1598;33.3467
30555;35.7278;30.2087;33.6843
32072;36.0803;30.3185;33.9308
33664;33.9551;30.4598;34.1832
35335;34.2549;30.6063;34.5307
37089;34.6562;31.1715;34.9999
38930;34.9638;31.2095;35.5201
40863;35.4117;31.4655;35.8084
42892;35.5607;31.729;36.1287
45022;36.0061;32.2273;36.5117
47258;36.3744;32.3468;36.8059
49605;36.8216;31.3379;35.7572
52069;36.9666;31.4502;35.9494
54656;37.5444;31.6138;36.1543
57372;37.6439;31.793;36.4781
60223;37.8872;31.7409;36.6601
63216;38.2811;31.9805;36.9024
66357;36.267;32.3027;37.1481
69656;36.202;32.5896;37.41
73119;36.592;32.6217;37.7156
76755;36.7727;32.8685;37.9177
80572;37.1258;32.9276;38.1803
84579;37.1872;33.122;38.3987
88786;37.6401;33.5233;38.662
93203;37.8836;33.6425;38.964
97840;38.1772;33.8019;39.2015
102706;38.3622;32.8824;37.9924
107816;39.0273;33.0513;38.0544
113182;39.1344;33.5938;38.3054
118816;39.4751;33.674;38.4239
124731;39.9635;33.5458;38.8332
130941;40.369;33.7718;39.2004
137461;37.399;33.9158;39.1137
144307;37.7194;34.2891;39.8196
151495;38.3248;34.2535;39.6651
159042;38.583;34.529;40.3208
166965;38.977;34.9693;40.2777
175284;38.9331;35.3653;40.6253
184019;39.5377;35.7751;40.9605
193190;40.383;35.9139;41.1756
202820;40.8484;38.2984;41.947
212931;42.3358;38.9803;42.395
223547;43.1471;40.5923;43.1708
234692;44.3188;42.7105;44.5185
246395;46.17;46.0897;46.163
258683;46.9831;47.0215;46.3673
271585;65.673;50.0669;47.5251
285132;69.1559;51.8489;49.2392
299354;74.1793;54.5858;51.2739
314289;78.1705;58.3805;54.8866
329969;81.6676;59.809;56.1216
346432;85.2529;62.0145;60.0538
363719;89.9569;64.6062;66.0088
381870;94.447;66.5821;64.6231
400928;99.0339;84.5258;94.4074
420937;103.286;86.8588;99.5768
441947;107.113;89.5252;104.474
464005;112.101;91.3503;108.958
487165;115.679;93.2291;114.494
511485;119.725;95.6344;119.37
537019;139.066;97.4478;123.843
563827;142.355;99.7969;128.177
591977;144.169;101.616;131.851
621532;147.802;102.696;136.903
652567;150.737;105.281;141.221
685151;153.705;106.351;145.273
719359;156.972;108.504;148.647
755280;159.131;110.274;153.828
792997;161.794;120.202;170.462
832595;164.143;119.77;172.424
874177;166.551;120.662;175.741
917832;170.006;121.813;178.228
963677;171.375;122.467;180.985
1011813;173.856;123.551;183.86
1062351;185.174;127.906;187.434
1115422;188.644;129.531;190.309
1171143;189.188;130.803;192.23
1229634;190.802;131.868;193.701
1291062;192.796;133.135;196.072
1355554;194.462;134.032;198.655
1423274;196.216;135.296;200.732
1494380;198.351;136.714;203.063
1569031;199.806;137.955;204.692
1647417;201.319;138.53;214.842
1729734;203.008;139.626;216.868
1816153;204.784;140.028;217.215
1906885;206.589;141.316;218.986
2002164;207.973;142.024;220.451
2102198;211.921;143.158;221.62
2207233;214.193;143.985;222.506
2317508;215.016;145.21;223.733
2433290;216.604;146.136;224.991
2554854;217.58;146.778;226.391
2682511;218.13;148.465;226.891
2816546;219.67;149.884;228.437
2957287;220.848;151.306;229.95
