Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;13.6152;12.8341;13.7709
10500;13.9404;12.9615;13.9718
11025;14.2678;13.4027;14.3665
11576;14.6744;13.6877;14.6738
12154;15.1491;14.0456;14.9947
12760;15.6026;11.6016;12.7645
13396;16.0514;11.8089;12.9413
14063;16.4711;12.0627;13.2417
14763;16.8799;12.3786;13.569
15498;17.3425;12.6548;13.8105
16269;17.7639;12.9447;14.0713
17078;15.1544;13.2723;14.4483
17927;15.4534;13.5881;14.7722
18818;15.8374;13.9514;15.2151
19753;16.127;14.2372;15.48
20734;16.4868;14.6479;15.8519
21764;16.7534;14.9159;16.1401
22845;17.156;15.2088;16.523
23980;17.5612;15.5794;16.7469
25171;17.9085;12.9574;14.1654
26421;18.2342;13.26;14.4042
27733;18.6027;13.5194;14.8045
29110;18.9473;13.785;15.0082
30555;19.2571;14.0453;15.3347
32072;19.6074;14.3664;15.5899
33664;16.1016;14.6986;15.8983
35335;16.4591;15.047;16.2897
37089;16.5847;15.3979;16.626
38930;16.9823;15.7289;16.9634
40863;17.4477;16.0385;17.377
42892;17.7217;16.3848;17.6098
45022;17.9175;16.7737;18.1114
47258;18.215;17.0565;18.3544
49605;18.5711;13.7008;15.1076
52069;18.9439;13.9316;15.3182
54656;19.1971;14.1819;15.5846
57372;19.7454;14.4631;15.9164
60223;19.9063;14.7823;16.2118
63216;20.2298;15.0812;16.6306
66358;16.748;15.4203;16.9611
69657;16.9189;15.6881;17.1831
73120;17.2228;16.0514;17.5239
76756;17.4954;16.387;17.9363
80573;17.7705;16.7417;18.277
84580;18.0277;17.0694;18.6742
88787;18.3331;17.4314;18.9572
93204;18.683;17.7462;19.3358
97841;19.0065;18.0386;19.6917
102709;19.3382;14.1966;15.04
107820;19.7219;14.4338;15.3069
113186;19.9824;14.7189;15.5517
118820;20.3296;15.0565;15.8548
124735;20.611;15.3008;16.2048
130945;20.9432;15.6143;16.527
